Species,x,y
Acronicta_inclara,239142,3928653
Acronicta_inclara,242517,3942637
Acronicta_inclara,242743,3934747
Acronicta_inclara,244705,3956218
Acronicta_inclara,248438,3943416
Acronicta_inclara,248536,3943119
Acronicta_inclara,249410,3945124
Acronicta_inclara,256496,3947275
Acronicta_inclara,256521,3947351
Acronicta_inclara,263903,3947885
Acronicta_inclara,263919,3948094
Acronicta_inclara,263946,3947793
Acronicta_inclara,263946,3947795
Acronicta_inclara,263962,3948002
Acronicta_inclara,263962,3948004
Acronicta_inclara,264146,3947812
Acronicta_inclara,264155,3945069
Acronicta_inclara,264162,3948021
Acronicta_inclara,264171,3945278
Acronicta_inclara,264218,3945057
Acronicta_inclara,264234,3945266
Acronicta_inclara,272416,3929229
Acronicta_inclara,274071,3926410
Acronicta_inclara,275512,3946793
Acronicta_inclara,282686,3940320
Acronicta_inclara,282711,3940265
Acronicta_inclara,283068,3939671
Acronicta_inclara,283865,3952717
Acronicta_inclara,283881,3952927
Acronicta_inclara,284081,3953721
Acronicta_inclara,284087,3952889
Acronicta_inclara,284103,3953099
Acronicta_inclara,284340,3954737
Acronicta_inclara,284587,3954109
Acronicta_inclara,284603,3954319
Acronicta_inclara,286398,3940466
Acronicta_inclara,289947,3937460
Acronicta_inclara,290953,3932802
Acronicta_inclara,291266,3932698
Acronicta_inclara,298142,3964955
Acronicta_inclara,298410,3965161
Acronicta_inclara,298425,3965061
Acronicta_inclara,300363,3966793
Acronicta_inclara,307827,3943480
Acronicta_inclara,312007,3939804
Acronicta_inclara,312149,3939847
Acronicta_inclara,312166,3940057
Acronicta_inclara,312180,3940009
Acronicta_inclara,312196,3939535
Acronicta_inclara,312279,3939198
Acronicta_inclara,312841,3939962
Acronicta_inclara,314385,3945734
