Species,x,y
Acronicta_modica,242743,3934747
Acronicta_modica,244121,3927396
Acronicta_modica,244121,3927397
Acronicta_modica,246000,3948274
Acronicta_modica,248438,3943416
Acronicta_modica,251770,3926404
Acronicta_modica,251770,3926405
Acronicta_modica,253047,3928774
Acronicta_modica,253047,3928775
Acronicta_modica,263275,3925149
Acronicta_modica,263275,3925150
Acronicta_modica,268504,3926530
Acronicta_modica,270422,3952199
Acronicta_modica,275512,3946793
Acronicta_modica,276176,3951140
Acronicta_modica,283865,3952717
Acronicta_modica,283881,3952927
Acronicta_modica,286398,3940466
Acronicta_modica,289947,3937460
Acronicta_modica,290364,3937609
Acronicta_modica,291499,3931811
Acronicta_modica,291781,3932248
Acronicta_modica,291888,3932912
Acronicta_modica,298142,3964955
Acronicta_modica,298425,3965061
Acronicta_modica,299313,3965559
Acronicta_modica,299884,3961587
Acronicta_modica,309173,3952488
Acronicta_modica,312180,3940009
Acronicta_modica,313360,3945702
