Species,x,y
Acronicta_spinigera,239142,3928653
Acronicta_spinigera,239253,3928719
Acronicta_spinigera,249493,3945161
Acronicta_spinigera,256484,3947482
Acronicta_spinigera,263946,3947793
Acronicta_spinigera,263962,3948002
Acronicta_spinigera,264199,3945002
Acronicta_spinigera,264215,3945211
Acronicta_spinigera,264218,3945057
Acronicta_spinigera,264234,3945266
Acronicta_spinigera,264277,3945045
Acronicta_spinigera,264293,3945254
Acronicta_spinigera,264335,3945031
Acronicta_spinigera,264351,3945240
Acronicta_spinigera,265526,3949769
Acronicta_spinigera,272416,3929229
Acronicta_spinigera,274457,3946720
Acronicta_spinigera,275180,3946971
Acronicta_spinigera,275512,3946793
Acronicta_spinigera,276499,3934505
Acronicta_spinigera,278045,3945567
Acronicta_spinigera,282686,3940320
Acronicta_spinigera,283068,3939671
Acronicta_spinigera,286667,3953270
Acronicta_spinigera,286683,3953480
Acronicta_spinigera,290953,3932802
Acronicta_spinigera,291133,3931709
Acronicta_spinigera,291266,3932698
Acronicta_spinigera,291888,3932912
Acronicta_spinigera,299884,3961587
Acronicta_spinigera,300205,3959804
Acronicta_spinigera,301075,3958230
Acronicta_spinigera,309283,3952834
Acronicta_spinigera,309517,3952830
Acronicta_spinigera,312007,3939804
Acronicta_spinigera,312166,3940057
Acronicta_spinigera,312180,3940009
Acronicta_spinigera,313360,3945702
