Species,x,y
Antennaria_plantaginifolia,228802,3936144
Antennaria_plantaginifolia,228848,3937964
Antennaria_plantaginifolia,228897,3938550
Antennaria_plantaginifolia,229058,3938836
Antennaria_plantaginifolia,230362,3939051
Antennaria_plantaginifolia,230366,3939180
Antennaria_plantaginifolia,230703,3939382
Antennaria_plantaginifolia,232621,3933175
Antennaria_plantaginifolia,232997,3933536
Antennaria_plantaginifolia,234135,3940968
Antennaria_plantaginifolia,234325,3939788
Antennaria_plantaginifolia,234375,3941008
Antennaria_plantaginifolia,234425,3941088
Antennaria_plantaginifolia,234435,3941178
Antennaria_plantaginifolia,234515,3941208
Antennaria_plantaginifolia,234545,3941108
Antennaria_plantaginifolia,234735,3941258
Antennaria_plantaginifolia,235530,3940119
Antennaria_plantaginifolia,235665,3938428
Antennaria_plantaginifolia,238083,3942153
Antennaria_plantaginifolia,238585,3948938
Antennaria_plantaginifolia,238695,3949328
Antennaria_plantaginifolia,239924,3934606
Antennaria_plantaginifolia,240991,3930354
Antennaria_plantaginifolia,241566,3944885
Antennaria_plantaginifolia,243529,3937849
Antennaria_plantaginifolia,243978,3937628
Antennaria_plantaginifolia,244020,3944832
Antennaria_plantaginifolia,245856,3948228
Antennaria_plantaginifolia,245859,3948407
Antennaria_plantaginifolia,245908,3948562
Antennaria_plantaginifolia,246530,3927928
Antennaria_plantaginifolia,248730,3941262
Antennaria_plantaginifolia,248946,3944929
Antennaria_plantaginifolia,250946,3947358
Antennaria_plantaginifolia,253479,3928062
Antennaria_plantaginifolia,254923,3929405
Antennaria_plantaginifolia,258021,3925013
Antennaria_plantaginifolia,261912,3925588
Antennaria_plantaginifolia,268745,3927276
Antennaria_plantaginifolia,269665,3927376
Antennaria_plantaginifolia,271691,3928341
Antennaria_plantaginifolia,272739,3931033
Antennaria_plantaginifolia,273897,3935680
Antennaria_plantaginifolia,308155,3957508
