Species,x,y
Antheraea_polyphemus,239253,3928719
Antheraea_polyphemus,242743,3934747
Antheraea_polyphemus,244121,3927396
Antheraea_polyphemus,244121,3927397
Antheraea_polyphemus,245076,3943259
Antheraea_polyphemus,248536,3943119
Antheraea_polyphemus,249410,3945124
Antheraea_polyphemus,251770,3926404
Antheraea_polyphemus,251770,3926405
Antheraea_polyphemus,252437,3928875
Antheraea_polyphemus,253047,3928774
Antheraea_polyphemus,253047,3928775
Antheraea_polyphemus,256484,3947482
Antheraea_polyphemus,263275,3925149
Antheraea_polyphemus,263275,3925150
Antheraea_polyphemus,265526,3949769
Antheraea_polyphemus,266434,3948640
Antheraea_polyphemus,267754,3927974
Antheraea_polyphemus,267754,3927975
Antheraea_polyphemus,268504,3926530
Antheraea_polyphemus,272416,3929229
Antheraea_polyphemus,276176,3951140
Antheraea_polyphemus,276499,3934505
Antheraea_polyphemus,277945,3923257
Antheraea_polyphemus,282686,3940320
Antheraea_polyphemus,289947,3937460
Antheraea_polyphemus,291781,3932248
Antheraea_polyphemus,291888,3932912
Antheraea_polyphemus,309283,3952834
Antheraea_polyphemus,309517,3952830
Antheraea_polyphemus,312007,3939804
Antheraea_polyphemus,312166,3940057
Antheraea_polyphemus,312180,3940009
Antheraea_polyphemus,312196,3939535
Antheraea_polyphemus,312279,3939198
Antheraea_polyphemus,314578,3946285
