Species,x,y
Arisaema_triphyllum,228835,3938698
Arisaema_triphyllum,229056,3938781
Arisaema_triphyllum,230062,3934530
Arisaema_triphyllum,230307,3939034
Arisaema_triphyllum,232755,3933168
Arisaema_triphyllum,234221,3944853
Arisaema_triphyllum,235348,3943903
Arisaema_triphyllum,235348,3943904
Arisaema_triphyllum,235927,3942957
Arisaema_triphyllum,238345,3928418
Arisaema_triphyllum,238725,3949298
Arisaema_triphyllum,239118,3946109
Arisaema_triphyllum,239849,3928877
Arisaema_triphyllum,239859,3930787
Arisaema_triphyllum,239863,3935855
Arisaema_triphyllum,239905,3934575
Arisaema_triphyllum,240056,3934732
Arisaema_triphyllum,240059,3935680
Arisaema_triphyllum,240116,3935168
Arisaema_triphyllum,240119,3935181
Arisaema_triphyllum,240119,3935182
Arisaema_triphyllum,240145,3934851
Arisaema_triphyllum,240189,3934841
Arisaema_triphyllum,240240,3934682
Arisaema_triphyllum,240240,3934683
Arisaema_triphyllum,240246,3934248
Arisaema_triphyllum,240281,3935230
Arisaema_triphyllum,240341,3943404
Arisaema_triphyllum,240473,3935625
Arisaema_triphyllum,240778,3938142
Arisaema_triphyllum,240791,3941644
Arisaema_triphyllum,240891,3942755
Arisaema_triphyllum,240972,3934637
Arisaema_triphyllum,240973,3934638
Arisaema_triphyllum,241180,3934823
Arisaema_triphyllum,241182,3934669
Arisaema_triphyllum,241185,3935110
Arisaema_triphyllum,241193,3935214
Arisaema_triphyllum,241219,3934692
Arisaema_triphyllum,241326,3942428
Arisaema_triphyllum,241356,3941674
Arisaema_triphyllum,241464,3934878
Arisaema_triphyllum,241806,3935779
Arisaema_triphyllum,241806,3935780
Arisaema_triphyllum,242116,3934588
Arisaema_triphyllum,242140,3934591
Arisaema_triphyllum,242141,3934592
Arisaema_triphyllum,242216,3950188
Arisaema_triphyllum,242350,3934601
Arisaema_triphyllum,242396,3934818
Arisaema_triphyllum,242671,3938160
Arisaema_triphyllum,242672,3938161
Arisaema_triphyllum,242682,3936351
Arisaema_triphyllum,242745,3934746
Arisaema_triphyllum,242752,3934750
Arisaema_triphyllum,242846,3935908
Arisaema_triphyllum,242856,3937445
Arisaema_triphyllum,242856,3937446
Arisaema_triphyllum,242860,3935929
Arisaema_triphyllum,242896,3941480
Arisaema_triphyllum,242972,3940736
Arisaema_triphyllum,242980,3937527
Arisaema_triphyllum,242981,3937528
Arisaema_triphyllum,243027,3936731
Arisaema_triphyllum,243027,3936732
Arisaema_triphyllum,243144,3934897
Arisaema_triphyllum,243182,3937021
Arisaema_triphyllum,243266,3936798
Arisaema_triphyllum,243267,3936814
Arisaema_triphyllum,243268,3936814
Arisaema_triphyllum,243345,3936740
Arisaema_triphyllum,243345,3936741
Arisaema_triphyllum,243396,3936648
Arisaema_triphyllum,243416,3936640
Arisaema_triphyllum,243466,3936469
Arisaema_triphyllum,243467,3936469
Arisaema_triphyllum,243978,3937628
Arisaema_triphyllum,244260,3956335
Arisaema_triphyllum,244725,3945139
Arisaema_triphyllum,244733,3934868
Arisaema_triphyllum,244846,3932333
Arisaema_triphyllum,244969,3956295
Arisaema_triphyllum,245234,3934719
Arisaema_triphyllum,245375,3936472
Arisaema_triphyllum,245386,3936953
Arisaema_triphyllum,245538,3939064
Arisaema_triphyllum,245690,3936871
Arisaema_triphyllum,245691,3936871
Arisaema_triphyllum,245726,3948128
Arisaema_triphyllum,245741,3939623
Arisaema_triphyllum,245836,3947998
Arisaema_triphyllum,245856,3948228
Arisaema_triphyllum,245892,3948077
Arisaema_triphyllum,245896,3936731
Arisaema_triphyllum,245916,3948308
Arisaema_triphyllum,247501,3942562
Arisaema_triphyllum,247510,3942888
Arisaema_triphyllum,247682,3927977
Arisaema_triphyllum,248030,3941811
Arisaema_triphyllum,248063,3941619
Arisaema_triphyllum,248135,3941577
Arisaema_triphyllum,248164,3941348
Arisaema_triphyllum,248491,3939583
Arisaema_triphyllum,248724,3941101
Arisaema_triphyllum,248794,3941060
Arisaema_triphyllum,248817,3938427
Arisaema_triphyllum,248946,3944929
Arisaema_triphyllum,248954,3941865
Arisaema_triphyllum,249257,3941292
Arisaema_triphyllum,249306,3941288
Arisaema_triphyllum,249436,3941695
Arisaema_triphyllum,249437,3941696
