Species,x,y
Arundinaria_gigantea,229693,3935980
Arundinaria_gigantea,229700,3935924
Arundinaria_gigantea,229715,3934929
Arundinaria_gigantea,229883,3935806
Arundinaria_gigantea,229894,3935280
Arundinaria_gigantea,230248,3935834
Arundinaria_gigantea,230405,3938984
Arundinaria_gigantea,230473,3938827
Arundinaria_gigantea,234122,3944312
Arundinaria_gigantea,234248,3944861
Arundinaria_gigantea,234515,3944558
Arundinaria_gigantea,236750,3944949
Arundinaria_gigantea,238345,3928418
Arundinaria_gigantea,238725,3949298
Arundinaria_gigantea,241036,3948718
Arundinaria_gigantea,242695,3927194
Arundinaria_gigantea,242834,3927179
Arundinaria_gigantea,242921,3942758
Arundinaria_gigantea,246321,3943427
Arundinaria_gigantea,247390,3943760
Arundinaria_gigantea,253523,3927991
Arundinaria_gigantea,258106,3924914
Arundinaria_gigantea,258176,3924921
Arundinaria_gigantea,258339,3924911
Arundinaria_gigantea,258421,3924936
Arundinaria_gigantea,259181,3950453
Arundinaria_gigantea,261467,3925592
Arundinaria_gigantea,263416,3926194
Arundinaria_gigantea,263840,3926096
Arundinaria_gigantea,264103,3925710
Arundinaria_gigantea,264132,3925678
Arundinaria_gigantea,264188,3925708
Arundinaria_gigantea,264267,3926585
Arundinaria_gigantea,266594,3926333
Arundinaria_gigantea,266594,3926369
Arundinaria_gigantea,266705,3926059
Arundinaria_gigantea,267026,3924696
Arundinaria_gigantea,267455,3927541
Arundinaria_gigantea,270770,3951555
Arundinaria_gigantea,270773,3951619
Arundinaria_gigantea,270805,3951498
Arundinaria_gigantea,278612,3927014
