Species,x,y
Baetis_intercalaris,229388,3940397
Baetis_intercalaris,229429,3940635
Baetis_intercalaris,231183,3942401
Baetis_intercalaris,231279,3942576
Baetis_intercalaris,231355,3942164
Baetis_intercalaris,234122,3944658
Baetis_intercalaris,234180,3944030
Baetis_intercalaris,234184,3944208
Baetis_intercalaris,234193,3944224
Baetis_intercalaris,234360,3944696
Baetis_intercalaris,234850,3945100
Baetis_intercalaris,238073,3948407
Baetis_intercalaris,241428,3942384
Baetis_intercalaris,241446,3942374
Baetis_intercalaris,242353,3950394
Baetis_intercalaris,247447,3943781
Baetis_intercalaris,251626,3940619
Baetis_intercalaris,252731,3929124
Baetis_intercalaris,253226,3928829
Baetis_intercalaris,254971,3949747
Baetis_intercalaris,256199,3950767
Baetis_intercalaris,258706,3932159
Baetis_intercalaris,261145,3950756
Baetis_intercalaris,261385,3956323
Baetis_intercalaris,263061,3958055
Baetis_intercalaris,263148,3957942
Baetis_intercalaris,264633,3955904
Baetis_intercalaris,264741,3956567
Baetis_intercalaris,265838,3956982
Baetis_intercalaris,266180,3956196
Baetis_intercalaris,266279,3956526
Baetis_intercalaris,267020,3957173
Baetis_intercalaris,267353,3927862
Baetis_intercalaris,267386,3941879
Baetis_intercalaris,268389,3957581
Baetis_intercalaris,268866,3947259
Baetis_intercalaris,269059,3959007
Baetis_intercalaris,271649,3961160
Baetis_intercalaris,273736,3952050
Baetis_intercalaris,275276,3953100
Baetis_intercalaris,276270,3945424
Baetis_intercalaris,279966,3930059
Baetis_intercalaris,281229,3942516
Baetis_intercalaris,282872,3961322
Baetis_intercalaris,283366,3958740
Baetis_intercalaris,284089,3959294
Baetis_intercalaris,285326,3941000
Baetis_intercalaris,285528,3958486
Baetis_intercalaris,285976,3940870
Baetis_intercalaris,290677,3938520
Baetis_intercalaris,291376,3935794
Baetis_intercalaris,292577,3962421
Baetis_intercalaris,293922,3961946
Baetis_intercalaris,294026,3957240
Baetis_intercalaris,295077,3946840
Baetis_intercalaris,296990,3965538
Baetis_intercalaris,308657,3944560
Baetis_intercalaris,312384,3948991
