Species,x,y
Brillia_flavifrons,229455,3936048
Brillia_flavifrons,234193,3944224
Brillia_flavifrons,241446,3942374
Brillia_flavifrons,251336,3946999
Brillia_flavifrons,254189,3948005
Brillia_flavifrons,257576,3936109
Brillia_flavifrons,258706,3932159
Brillia_flavifrons,259146,3942589
Brillia_flavifrons,259266,3940699
Brillia_flavifrons,266279,3956526
Brillia_flavifrons,266856,3928449
Brillia_flavifrons,267386,3941879
Brillia_flavifrons,267596,3929859
Brillia_flavifrons,267886,3931009
Brillia_flavifrons,268389,3957581
Brillia_flavifrons,268416,3933179
Brillia_flavifrons,268866,3947259
Brillia_flavifrons,269916,3934209
Brillia_flavifrons,270046,3933969
Brillia_flavifrons,271016,3944369
Brillia_flavifrons,271186,3935119
Brillia_flavifrons,273736,3952050
Brillia_flavifrons,275276,3953100
Brillia_flavifrons,279106,3956260
Brillia_flavifrons,279266,3935129
Brillia_flavifrons,279966,3930059
Brillia_flavifrons,280406,3934105
Brillia_flavifrons,281229,3942516
Brillia_flavifrons,281576,3950240
Brillia_flavifrons,282946,3948800
Brillia_flavifrons,283366,3958740
Brillia_flavifrons,285976,3940870
Brillia_flavifrons,287926,3959660
Brillia_flavifrons,289796,3942740
Brillia_flavifrons,299616,3958040
Brillia_flavifrons,300176,3959720
Brillia_flavifrons,302797,3936620
Brillia_flavifrons,303247,3947510
Brillia_flavifrons,303367,3937090
Brillia_flavifrons,303437,3936160
Brillia_flavifrons,305607,3945870
Brillia_flavifrons,308216,3959320
Brillia_flavifrons,308657,3944560
