Species,x,y
Carex_pensylvanica,229033,3936004
Carex_pensylvanica,234712,3934398
Carex_pensylvanica,238547,3934091
Carex_pensylvanica,239905,3934575
Carex_pensylvanica,239924,3934606
Carex_pensylvanica,240059,3935680
Carex_pensylvanica,240119,3935182
Carex_pensylvanica,240246,3934248
Carex_pensylvanica,240791,3941644
Carex_pensylvanica,240808,3934416
Carex_pensylvanica,240973,3934638
Carex_pensylvanica,241182,3934669
Carex_pensylvanica,242141,3934592
Carex_pensylvanica,242350,3934601
Carex_pensylvanica,242745,3934746
Carex_pensylvanica,243144,3934897
Carex_pensylvanica,243416,3936640
Carex_pensylvanica,244136,3944352
Carex_pensylvanica,244471,3932583
Carex_pensylvanica,245066,3933333
Carex_pensylvanica,245597,3936535
Carex_pensylvanica,246068,3937313
Carex_pensylvanica,247792,3937659
Carex_pensylvanica,248262,3928863
Carex_pensylvanica,249070,3939250
Carex_pensylvanica,249204,3939540
Carex_pensylvanica,249205,3939271
Carex_pensylvanica,249741,3938518
Carex_pensylvanica,250299,3934607
Carex_pensylvanica,250564,3939020
Carex_pensylvanica,250565,3939021
Carex_pensylvanica,250606,3939008
Carex_pensylvanica,252665,3939019
Carex_pensylvanica,252850,3939060
Carex_pensylvanica,259268,3944410
Carex_pensylvanica,260392,3940891
Carex_pensylvanica,260679,3941217
Carex_pensylvanica,260680,3941218
Carex_pensylvanica,260686,3939561
Carex_pensylvanica,260686,3941209
Carex_pensylvanica,260743,3939607
Carex_pensylvanica,261199,3939414
Carex_pensylvanica,261214,3939690
Carex_pensylvanica,261214,3939691
Carex_pensylvanica,261222,3939413
Carex_pensylvanica,261373,3925554
Carex_pensylvanica,261672,3939564
Carex_pensylvanica,266125,3936927
Carex_pensylvanica,266259,3936917
Carex_pensylvanica,267628,3938839
Carex_pensylvanica,271591,3950463
Carex_pensylvanica,272379,3930286
Carex_pensylvanica,272578,3936166
Carex_pensylvanica,272625,3935068
Carex_pensylvanica,272888,3931174
Carex_pensylvanica,273121,3931597
Carex_pensylvanica,273282,3935260
Carex_pensylvanica,273323,3935287
Carex_pensylvanica,273444,3935381
Carex_pensylvanica,273885,3935740
Carex_pensylvanica,273892,3935671
Carex_pensylvanica,273895,3935569
Carex_pensylvanica,273897,3935680
Carex_pensylvanica,273943,3935697
Carex_pensylvanica,274894,3947772
Carex_pensylvanica,275692,3947786
Carex_pensylvanica,275830,3951052
Carex_pensylvanica,276407,3945673
Carex_pensylvanica,278168,3953212
Carex_pensylvanica,278935,3943585
Carex_pensylvanica,279685,3950548
Carex_pensylvanica,279758,3950499
Carex_pensylvanica,282879,3953033
Carex_pensylvanica,282937,3958105
Carex_pensylvanica,282987,3953002
Carex_pensylvanica,282996,3956635
Carex_pensylvanica,283417,3939830
Carex_pensylvanica,283713,3952988
Carex_pensylvanica,292082,3935379
Carex_pensylvanica,293394,3943011
Carex_pensylvanica,295353,3942655
Carex_pensylvanica,295562,3943083
Carex_pensylvanica,296826,3943231
Carex_pensylvanica,297391,3946149
Carex_pensylvanica,297757,3945530
Carex_pensylvanica,299389,3945582
Carex_pensylvanica,300666,3941566
Carex_pensylvanica,301227,3941309
Carex_pensylvanica,301627,3959749
Carex_pensylvanica,303062,3936359
Carex_pensylvanica,303971,3936891
Carex_pensylvanica,304038,3937382
Carex_pensylvanica,304559,3938147
Carex_pensylvanica,307866,3937240
Carex_pensylvanica,307928,3952974
Carex_pensylvanica,308155,3957508
Carex_pensylvanica,309248,3952357
