Species,x,y
Condica_vecors,238721,3934120
Condica_vecors,239253,3928719
Condica_vecors,239289,3934314
Condica_vecors,239574,3934428
Condica_vecors,239598,3934327
Condica_vecors,240106,3934601
Condica_vecors,248438,3943416
Condica_vecors,249410,3945124
Condica_vecors,256521,3947351
Condica_vecors,264277,3945045
Condica_vecors,264293,3945254
Condica_vecors,264335,3945031
Condica_vecors,264351,3945240
Condica_vecors,266239,3947971
Condica_vecors,272874,3938259
Condica_vecors,273568,3938303
Condica_vecors,274071,3926410
Condica_vecors,274457,3946720
Condica_vecors,275115,3938658
Condica_vecors,280456,3941998
Condica_vecors,282711,3940265
Condica_vecors,284081,3953721
Condica_vecors,284087,3952889
Condica_vecors,284103,3953099
Condica_vecors,284340,3954737
Condica_vecors,284587,3954109
Condica_vecors,284603,3954319
Condica_vecors,286266,3940704
Condica_vecors,291133,3931709
Condica_vecors,291781,3932248
Condica_vecors,291888,3932912
Condica_vecors,298425,3965061
Condica_vecors,299884,3961587
Condica_vecors,300420,3966572
Condica_vecors,300709,3958391
Condica_vecors,302929,3937790
Condica_vecors,309173,3952488
Condica_vecors,311854,3946009
Condica_vecors,311970,3939947
Condica_vecors,312007,3939804
Condica_vecors,312149,3939847
Condica_vecors,312166,3940057
Condica_vecors,312180,3940009
Condica_vecors,312196,3939535
Condica_vecors,312279,3939198
Condica_vecors,312749,3939877
Condica_vecors,312841,3939962
