Species,x,y
Conopholis_americana,232997,3933536
Conopholis_americana,234885,3939772
Conopholis_americana,239022,3935430
Conopholis_americana,239863,3935855
Conopholis_americana,240372,3929025
Conopholis_americana,240791,3941644
Conopholis_americana,241029,3938350
Conopholis_americana,242350,3934601
Conopholis_americana,242634,3935646
Conopholis_americana,243144,3934897
Conopholis_americana,243400,3936788
Conopholis_americana,243529,3937849
Conopholis_americana,244471,3932583
Conopholis_americana,244589,3937700
Conopholis_americana,244725,3945139
Conopholis_americana,245836,3947998
Conopholis_americana,245859,3948407
Conopholis_americana,245896,3936731
Conopholis_americana,246068,3937313
Conopholis_americana,247733,3936339
Conopholis_americana,247881,3942923
Conopholis_americana,248724,3941101
Conopholis_americana,249257,3941292
Conopholis_americana,249406,3942964
Conopholis_americana,249448,3940682
Conopholis_americana,249571,3943778
Conopholis_americana,249741,3938518
Conopholis_americana,250415,3936299
Conopholis_americana,258021,3925873
Conopholis_americana,258058,3927979
Conopholis_americana,261935,3927723
Conopholis_americana,261936,3927693
Conopholis_americana,263301,3931966
Conopholis_americana,264313,3951595
Conopholis_americana,270926,3925599
Conopholis_americana,272264,3932824
Conopholis_americana,273661,3930944
Conopholis_americana,273826,3952002
Conopholis_americana,273897,3935680
Conopholis_americana,274355,3932086
Conopholis_americana,274965,3947446
Conopholis_americana,275393,3932376
Conopholis_americana,275445,3951299
Conopholis_americana,275830,3951052
Conopholis_americana,276160,3949523
Conopholis_americana,276468,3951483
Conopholis_americana,276587,3933733
Conopholis_americana,276659,3937301
Conopholis_americana,276792,3934907
Conopholis_americana,276880,3936399
Conopholis_americana,282896,3958294
Conopholis_americana,282937,3958105
Conopholis_americana,282987,3953002
Conopholis_americana,282996,3956635
Conopholis_americana,288105,3954017
Conopholis_americana,295875,3942487
Conopholis_americana,297964,3943734
Conopholis_americana,300666,3941566
Conopholis_americana,302238,3943574
Conopholis_americana,307159,3942022
Conopholis_americana,307667,3942810
Conopholis_americana,308017,3943010
Conopholis_americana,309160,3941368
Conopholis_americana,309207,3944151
Conopholis_americana,310567,3944010
Conopholis_americana,310847,3939780
Conopholis_americana,311418,3940064
Conopholis_americana,312483,3939459
Conopholis_americana,314117,3946710
