Species,x,y
Crambidia_pallida,244121,3927396
Crambidia_pallida,244121,3927397
Crambidia_pallida,245079,3943452
Crambidia_pallida,248438,3943416
Crambidia_pallida,251770,3926404
Crambidia_pallida,251770,3926405
Crambidia_pallida,253047,3928774
Crambidia_pallida,253047,3928775
Crambidia_pallida,256321,3947482
Crambidia_pallida,256521,3947351
Crambidia_pallida,263275,3925149
Crambidia_pallida,263275,3925150
Crambidia_pallida,267754,3927974
Crambidia_pallida,267754,3927975
Crambidia_pallida,268504,3926530
Crambidia_pallida,276176,3951140
Crambidia_pallida,281512,3957331
Crambidia_pallida,282396,3956671
Crambidia_pallida,290364,3937609
Crambidia_pallida,290792,3936489
Crambidia_pallida,290953,3932802
Crambidia_pallida,291133,3931709
Crambidia_pallida,291266,3932698
Crambidia_pallida,291413,3932035
Crambidia_pallida,291499,3931811
Crambidia_pallida,291781,3932248
Crambidia_pallida,291888,3932912
Crambidia_pallida,298425,3965061
Crambidia_pallida,299884,3961587
Crambidia_pallida,302832,3968069
Crambidia_pallida,314578,3946285
