Species,x,y
Cystopteris_protrusa,229033,3936004
Cystopteris_protrusa,229155,3938745
Cystopteris_protrusa,229563,3938732
Cystopteris_protrusa,230262,3939355
Cystopteris_protrusa,232755,3933168
Cystopteris_protrusa,239619,3929544
Cystopteris_protrusa,240246,3934248
Cystopteris_protrusa,240341,3943404
Cystopteris_protrusa,240559,3929027
Cystopteris_protrusa,240778,3938142
Cystopteris_protrusa,240791,3941644
Cystopteris_protrusa,241182,3934669
Cystopteris_protrusa,241532,3929580
Cystopteris_protrusa,242216,3942770
Cystopteris_protrusa,242396,3934818
Cystopteris_protrusa,242627,3938366
Cystopteris_protrusa,242690,3936957
Cystopteris_protrusa,242691,3936958
Cystopteris_protrusa,242750,3938154
Cystopteris_protrusa,242896,3941480
Cystopteris_protrusa,242980,3937527
Cystopteris_protrusa,242981,3937528
Cystopteris_protrusa,243128,3937058
Cystopteris_protrusa,243211,3937300
Cystopteris_protrusa,243345,3936740
Cystopteris_protrusa,243345,3936741
Cystopteris_protrusa,245386,3936953
Cystopteris_protrusa,245726,3948128
Cystopteris_protrusa,245870,3928170
Cystopteris_protrusa,246664,3940577
Cystopteris_protrusa,246867,3940688
Cystopteris_protrusa,247766,3943238
Cystopteris_protrusa,248030,3941811
Cystopteris_protrusa,248063,3941619
Cystopteris_protrusa,248164,3941348
Cystopteris_protrusa,248491,3939583
Cystopteris_protrusa,248954,3941865
Cystopteris_protrusa,249481,3946069
Cystopteris_protrusa,249758,3945747
Cystopteris_protrusa,250298,3936608
Cystopteris_protrusa,250916,3947008
Cystopteris_protrusa,250946,3947358
Cystopteris_protrusa,251080,3947268
Cystopteris_protrusa,251116,3947008
Cystopteris_protrusa,251123,3945440
Cystopteris_protrusa,251217,3944073
Cystopteris_protrusa,258552,3943577
Cystopteris_protrusa,258569,3950259
Cystopteris_protrusa,258617,3944538
Cystopteris_protrusa,258700,3944707
Cystopteris_protrusa,258712,3943499
Cystopteris_protrusa,258789,3950337
Cystopteris_protrusa,258863,3944651
Cystopteris_protrusa,259050,3950375
Cystopteris_protrusa,259133,3950420
Cystopteris_protrusa,259772,3944323
Cystopteris_protrusa,260496,3951085
Cystopteris_protrusa,260793,3950523
