Species,x,y
Danthonia_spicata,228802,3936144
Danthonia_spicata,228907,3937474
Danthonia_spicata,229028,3936705
Danthonia_spicata,231597,3933597
Danthonia_spicata,232755,3933168
Danthonia_spicata,234435,3941178
Danthonia_spicata,234735,3941258
Danthonia_spicata,235665,3938428
Danthonia_spicata,237818,3942138
Danthonia_spicata,238547,3934091
Danthonia_spicata,238585,3948938
Danthonia_spicata,239924,3934606
Danthonia_spicata,240990,3945596
Danthonia_spicata,241182,3934566
Danthonia_spicata,241446,3927275
Danthonia_spicata,241566,3944885
Danthonia_spicata,241663,3933595
Danthonia_spicata,241844,3933404
Danthonia_spicata,242086,3942798
Danthonia_spicata,242820,3970798
Danthonia_spicata,243096,3941038
Danthonia_spicata,243333,3934829
Danthonia_spicata,243529,3937849
Danthonia_spicata,245266,3943708
Danthonia_spicata,246159,3943976
Danthonia_spicata,246416,3943788
Danthonia_spicata,247766,3943238
Danthonia_spicata,249307,3939001
Danthonia_spicata,249386,3941134
Danthonia_spicata,250166,3947458
Danthonia_spicata,251017,3938509
Danthonia_spicata,252665,3939019
Danthonia_spicata,254674,3939518
Danthonia_spicata,256258,3952169
Danthonia_spicata,257894,3926102
Danthonia_spicata,257988,3924949
Danthonia_spicata,257989,3924977
Danthonia_spicata,258001,3924961
Danthonia_spicata,267628,3938839
Danthonia_spicata,273897,3935680
Danthonia_spicata,309410,3937626
Danthonia_spicata,314117,3946710
