Species,x,y
Datana_angusii,244121,3927396
Datana_angusii,244121,3927397
Datana_angusii,245079,3943452
Datana_angusii,245748,3944014
Datana_angusii,248438,3943416
Datana_angusii,248536,3943119
Datana_angusii,251770,3926404
Datana_angusii,251770,3926405
Datana_angusii,252437,3928875
Datana_angusii,253377,3928674
Datana_angusii,256321,3947482
Datana_angusii,256484,3947482
Datana_angusii,263275,3925149
Datana_angusii,263275,3925150
Datana_angusii,263946,3947795
Datana_angusii,263962,3948004
Datana_angusii,264146,3947812
Datana_angusii,264162,3948021
Datana_angusii,266434,3948640
Datana_angusii,267754,3927974
Datana_angusii,267754,3927975
Datana_angusii,268504,3926530
Datana_angusii,284587,3954109
Datana_angusii,284603,3954319
Datana_angusii,289947,3937460
Datana_angusii,290364,3937609
Datana_angusii,291133,3931709
Datana_angusii,291781,3932248
Datana_angusii,291888,3932912
Datana_angusii,297756,3964806
Datana_angusii,298142,3964955
Datana_angusii,299437,3965815
Datana_angusii,299626,3962018
Datana_angusii,299992,3961138
Datana_angusii,300709,3958391
Datana_angusii,309283,3952834
Datana_angusii,309517,3952830
Datana_angusii,313360,3945702
