Species,x,y
Dryopteris_marginalis,228802,3936144
Dryopteris_marginalis,228968,3936040
Dryopteris_marginalis,228971,3935992
Dryopteris_marginalis,229155,3938745
Dryopteris_marginalis,229563,3938732
Dryopteris_marginalis,229693,3935980
Dryopteris_marginalis,229797,3935129
Dryopteris_marginalis,230262,3939355
Dryopteris_marginalis,230307,3939034
Dryopteris_marginalis,230482,3938516
Dryopteris_marginalis,230525,3938746
Dryopteris_marginalis,234248,3944861
Dryopteris_marginalis,235348,3943903
Dryopteris_marginalis,235348,3943904
Dryopteris_marginalis,235701,3938595
Dryopteris_marginalis,239314,3950720
Dryopteris_marginalis,239733,3929849
Dryopteris_marginalis,239787,3930163
Dryopteris_marginalis,240281,3935230
Dryopteris_marginalis,240315,3929028
Dryopteris_marginalis,240337,3929060
Dryopteris_marginalis,240341,3943404
Dryopteris_marginalis,240343,3929007
Dryopteris_marginalis,240588,3941799
Dryopteris_marginalis,240622,3930151
Dryopteris_marginalis,240778,3938142
Dryopteris_marginalis,240791,3941644
Dryopteris_marginalis,240891,3942755
Dryopteris_marginalis,240973,3934638
Dryopteris_marginalis,241047,3929276
Dryopteris_marginalis,241131,3943118
Dryopteris_marginalis,241532,3929580
Dryopteris_marginalis,241615,3929649
Dryopteris_marginalis,241774,3939096
Dryopteris_marginalis,241879,3930073
Dryopteris_marginalis,242319,3936164
Dryopteris_marginalis,242350,3934601
Dryopteris_marginalis,244745,3935574
Dryopteris_marginalis,245663,3928254
Dryopteris_marginalis,245741,3939623
Dryopteris_marginalis,245870,3928170
Dryopteris_marginalis,246443,3928024
Dryopteris_marginalis,246468,3927958
Dryopteris_marginalis,246530,3927928
Dryopteris_marginalis,246637,3928202
Dryopteris_marginalis,246655,3928381
Dryopteris_marginalis,246664,3940577
Dryopteris_marginalis,246670,3928292
Dryopteris_marginalis,246685,3928203
Dryopteris_marginalis,246867,3940688
Dryopteris_marginalis,247501,3942562
Dryopteris_marginalis,248030,3941811
Dryopteris_marginalis,248262,3928863
Dryopteris_marginalis,248826,3944858
Dryopteris_marginalis,248946,3944929
Dryopteris_marginalis,248954,3941865
Dryopteris_marginalis,249257,3941292
Dryopteris_marginalis,249436,3941695
Dryopteris_marginalis,249437,3941696
Dryopteris_marginalis,249481,3946069
Dryopteris_marginalis,249596,3942148
Dryopteris_marginalis,249758,3945747
Dryopteris_marginalis,250211,3941558
Dryopteris_marginalis,250299,3934607
Dryopteris_marginalis,250415,3936299
Dryopteris_marginalis,251022,3944381
Dryopteris_marginalis,251061,3944320
Dryopteris_marginalis,251108,3945165
Dryopteris_marginalis,251123,3945440
Dryopteris_marginalis,252611,3946432
Dryopteris_marginalis,252758,3946315
Dryopteris_marginalis,252826,3928701
Dryopteris_marginalis,253164,3928806
Dryopteris_marginalis,253832,3928572
Dryopteris_marginalis,255301,3930047
Dryopteris_marginalis,255365,3930028
Dryopteris_marginalis,255424,3929969
Dryopteris_marginalis,258326,3944635
Dryopteris_marginalis,258392,3943655
Dryopteris_marginalis,258472,3944574
Dryopteris_marginalis,258617,3944538
Dryopteris_marginalis,258789,3950337
Dryopteris_marginalis,258848,3950364
Dryopteris_marginalis,258863,3944651
Dryopteris_marginalis,258881,3950046
Dryopteris_marginalis,258931,3950363
Dryopteris_marginalis,259014,3950363
Dryopteris_marginalis,259026,3944594
Dryopteris_marginalis,259050,3950375
Dryopteris_marginalis,259086,3950387
Dryopteris_marginalis,259133,3950420
Dryopteris_marginalis,259183,3949611
Dryopteris_marginalis,259500,3944453
Dryopteris_marginalis,259746,3943889
Dryopteris_marginalis,259746,3943890
Dryopteris_marginalis,259746,3943891
Dryopteris_marginalis,259766,3925307
Dryopteris_marginalis,259772,3944323
Dryopteris_marginalis,259810,3925344
Dryopteris_marginalis,260389,3941610
Dryopteris_marginalis,260591,3953228
Dryopteris_marginalis,260598,3941252
Dryopteris_marginalis,260622,3941157
Dryopteris_marginalis,260695,3953215
Dryopteris_marginalis,260743,3953249
Dryopteris_marginalis,260757,3950575
Dryopteris_marginalis,260793,3950523
Dryopteris_marginalis,260857,3950489
Dryopteris_marginalis,260865,3941272
Dryopteris_marginalis,260978,3953281
Dryopteris_marginalis,261066,3953272
Dryopteris_marginalis,261073,3950107
Dryopteris_marginalis,261148,3953305
Dryopteris_marginalis,261158,3943727
Dryopteris_marginalis,261170,3949949
Dryopteris_marginalis,261230,3953338
Dryopteris_marginalis,261292,3953311
Dryopteris_marginalis,261307,3952373
Dryopteris_marginalis,261326,3952462
Dryopteris_marginalis,261339,3953172
Dryopteris_marginalis,261347,3953228
Dryopteris_marginalis,261354,3953284
Dryopteris_marginalis,261369,3952545
Dryopteris_marginalis,261405,3953170
Dryopteris_marginalis,261490,3927924
Dryopteris_marginalis,261497,3953215
Dryopteris_marginalis,261563,3952881
Dryopteris_marginalis,261571,3953339
Dryopteris_marginalis,261691,3953480
Dryopteris_marginalis,261763,3953544
Dryopteris_marginalis,261923,3953730
Dryopteris_marginalis,262067,3953804
Dryopteris_marginalis,262183,3953647
Dryopteris_marginalis,262267,3953661
Dryopteris_marginalis,262317,3953733
Dryopteris_marginalis,267027,3927975
Dryopteris_marginalis,267973,3948049
Dryopteris_marginalis,268022,3948007
Dryopteris_marginalis,268113,3947979
Dryopteris_marginalis,268203,3947951
Dryopteris_marginalis,268277,3947911
Dryopteris_marginalis,269550,3927035
Dryopteris_marginalis,269613,3926642
Dryopteris_marginalis,269664,3948758
Dryopteris_marginalis,269844,3948770
Dryopteris_marginalis,270008,3948815
Dryopteris_marginalis,270225,3948964
Dryopteris_marginalis,270444,3949132
Dryopteris_marginalis,270862,3927341
Dryopteris_marginalis,270920,3927246
Dryopteris_marginalis,270943,3927144
Dryopteris_marginalis,271006,3927503
Dryopteris_marginalis,271666,3928320
Dryopteris_marginalis,271870,3928599
Dryopteris_marginalis,272226,3928789
Dryopteris_marginalis,272234,3928678
Dryopteris_marginalis,272332,3928942
Dryopteris_marginalis,273724,3954055
Dryopteris_marginalis,273887,3953958
Dryopteris_marginalis,273997,3953876
Dryopteris_marginalis,274037,3946327
Dryopteris_marginalis,274306,3949659
Dryopteris_marginalis,274965,3947446
Dryopteris_marginalis,275026,3950105
Dryopteris_marginalis,275042,3950649
Dryopteris_marginalis,275078,3950605
Dryopteris_marginalis,275151,3950491
Dryopteris_marginalis,276587,3951494
Dryopteris_marginalis,276665,3948983
Dryopteris_marginalis,277709,3928979
Dryopteris_marginalis,278935,3943585
Dryopteris_marginalis,279098,3953265
Dryopteris_marginalis,279158,3949332
Dryopteris_marginalis,279203,3952561
Dryopteris_marginalis,279617,3928499
Dryopteris_marginalis,279685,3950548
Dryopteris_marginalis,279750,3928149
Dryopteris_marginalis,280018,3928191
Dryopteris_marginalis,281884,3950954
Dryopteris_marginalis,282725,3930724
Dryopteris_marginalis,282987,3953002
Dryopteris_marginalis,283009,3950612
Dryopteris_marginalis,283041,3950794
Dryopteris_marginalis,289327,3938789
Dryopteris_marginalis,290687,3937993
Dryopteris_marginalis,291216,3941509
Dryopteris_marginalis,292289,3941797
Dryopteris_marginalis,292377,3941836
Dryopteris_marginalis,295878,3942609
Dryopteris_marginalis,297651,3959656
Dryopteris_marginalis,297832,3959627
Dryopteris_marginalis,297903,3959556
Dryopteris_marginalis,298006,3959530
Dryopteris_marginalis,298224,3959498
Dryopteris_marginalis,305814,3945383
Dryopteris_marginalis,306001,3945667
Dryopteris_marginalis,306045,3945752
Dryopteris_marginalis,306165,3945916
Dryopteris_marginalis,306333,3946008
Dryopteris_marginalis,306513,3946070
Dryopteris_marginalis,306598,3949042
Dryopteris_marginalis,306689,3946126
Dryopteris_marginalis,306755,3947931
Dryopteris_marginalis,306885,3947443
Dryopteris_marginalis,306969,3947286
Dryopteris_marginalis,307070,3946078
Dryopteris_marginalis,307170,3946003
Dryopteris_marginalis,307314,3956788
Dryopteris_marginalis,307415,3945870
Dryopteris_marginalis,307528,3956932
Dryopteris_marginalis,307594,3956999
Dryopteris_marginalis,307630,3957104
Dryopteris_marginalis,307666,3957208
Dryopteris_marginalis,307695,3945626
Dryopteris_marginalis,307883,3957341
Dryopteris_marginalis,307984,3957347
Dryopteris_marginalis,308047,3945654
Dryopteris_marginalis,308048,3957437
Dryopteris_marginalis,308155,3945449
Dryopteris_marginalis,308159,3959356
Dryopteris_marginalis,308213,3945344
Dryopteris_marginalis,308257,3945231
Dryopteris_marginalis,308317,3945022
Dryopteris_marginalis,308478,3957786
Dryopteris_marginalis,308607,3956976
