Species,x,y
Echiniscus_virginicus,237501,3936914
Echiniscus_virginicus,240047,3934493
Echiniscus_virginicus,240095,3934507
Echiniscus_virginicus,240339,3934672
Echiniscus_virginicus,246789,3943154
Echiniscus_virginicus,255655,3947514
Echiniscus_virginicus,255688,3947605
Echiniscus_virginicus,256233,3947690
Echiniscus_virginicus,257259,3950800
Echiniscus_virginicus,268972,3938637
Echiniscus_virginicus,268976,3938813
Echiniscus_virginicus,268977,3938826
Echiniscus_virginicus,269703,3944079
Echiniscus_virginicus,269727,3944138
Echiniscus_virginicus,269741,3944034
Echiniscus_virginicus,273877,3952197
Echiniscus_virginicus,273947,3952162
Echiniscus_virginicus,276468,3945861
Echiniscus_virginicus,276948,3951392
Echiniscus_virginicus,278659,3943579
Echiniscus_virginicus,278660,3943561
Echiniscus_virginicus,278734,3943643
Echiniscus_virginicus,279506,3950719
Echiniscus_virginicus,279769,3950704
Echiniscus_virginicus,279895,3950948
Echiniscus_virginicus,288068,3954299
Echiniscus_virginicus,288078,3954250
Echiniscus_virginicus,288084,3954244
Echiniscus_virginicus,288111,3954233
Echiniscus_virginicus,288114,3954013
Echiniscus_virginicus,288773,3954137
Echiniscus_virginicus,291149,3931958
Echiniscus_virginicus,291158,3931930
Echiniscus_virginicus,291161,3932003
Echiniscus_virginicus,293748,3956967
Echiniscus_virginicus,293780,3956995
Echiniscus_virginicus,293795,3956994
Echiniscus_virginicus,299272,3957771
Echiniscus_virginicus,300246,3958525
Echiniscus_virginicus,311383,3940481
Echiniscus_virginicus,311462,3940380
Echiniscus_virginicus,311469,3940425
Echiniscus_virginicus,311478,3940449
Echiniscus_virginicus,311481,3940415
Echiniscus_virginicus,311493,3940436
Echiniscus_virginicus,313269,3940740
Echiniscus_virginicus,313363,3940643
Echiniscus_virginicus,313418,3940639
Echiniscus_virginicus,313419,3940637
Echiniscus_virginicus,313424,3940666
