Species,x,y
Elaphe_obsoleta,228157,3938596
Elaphe_obsoleta,230842,3944891
Elaphe_obsoleta,231864,3945523
Elaphe_obsoleta,234268,3947883
Elaphe_obsoleta,241673,3933423
Elaphe_obsoleta,241903,3942013
Elaphe_obsoleta,241914,3941988
Elaphe_obsoleta,242148,3942829
Elaphe_obsoleta,242176,3943112
Elaphe_obsoleta,242199,3943107
Elaphe_obsoleta,242264,3942343
Elaphe_obsoleta,242484,3942315
Elaphe_obsoleta,242505,3942148
Elaphe_obsoleta,242514,3942167
Elaphe_obsoleta,242762,3941312
Elaphe_obsoleta,243359,3941880
Elaphe_obsoleta,244947,3956129
Elaphe_obsoleta,245025,3942801
Elaphe_obsoleta,245064,3956312
Elaphe_obsoleta,245214,3927778
Elaphe_obsoleta,245730,3943898
Elaphe_obsoleta,245732,3943954
Elaphe_obsoleta,245742,3943935
Elaphe_obsoleta,245873,3944375
Elaphe_obsoleta,245949,3946793
Elaphe_obsoleta,247264,3943221
Elaphe_obsoleta,247364,3942234
Elaphe_obsoleta,250036,3943162
Elaphe_obsoleta,252168,3932045
Elaphe_obsoleta,253170,3945837
Elaphe_obsoleta,254651,3948568
Elaphe_obsoleta,255638,3950307
Elaphe_obsoleta,256106,3948293
Elaphe_obsoleta,256261,3947419
Elaphe_obsoleta,256262,3947676
Elaphe_obsoleta,256417,3947570
Elaphe_obsoleta,256427,3947513
Elaphe_obsoleta,256441,3947550
Elaphe_obsoleta,256474,3947480
Elaphe_obsoleta,256487,3947503
Elaphe_obsoleta,256537,3947384
Elaphe_obsoleta,256741,3947794
Elaphe_obsoleta,257346,3945170
Elaphe_obsoleta,257528,3950530
Elaphe_obsoleta,259072,3950529
Elaphe_obsoleta,260476,3951067
Elaphe_obsoleta,262026,3953021
Elaphe_obsoleta,263885,3949512
Elaphe_obsoleta,265906,3949322
Elaphe_obsoleta,268624,3951163
Elaphe_obsoleta,270061,3951427
Elaphe_obsoleta,272397,3948382
Elaphe_obsoleta,275061,3950603
Elaphe_obsoleta,288149,3939372
Elaphe_obsoleta,290710,3933073
Elaphe_obsoleta,291266,3934836
Elaphe_obsoleta,291451,3931673
Elaphe_obsoleta,291761,3932161
Elaphe_obsoleta,294818,3960024
Elaphe_obsoleta,301354,3957927
