Species,x,y
Eupatorium_purpureum,228854,3938720
Eupatorium_purpureum,228882,3936054
Eupatorium_purpureum,230307,3939034
Eupatorium_purpureum,230362,3939051
Eupatorium_purpureum,230525,3938746
Eupatorium_purpureum,231141,3934776
Eupatorium_purpureum,235280,3944031
Eupatorium_purpureum,235348,3943904
Eupatorium_purpureum,235528,3943176
Eupatorium_purpureum,236217,3945576
Eupatorium_purpureum,238426,3945758
Eupatorium_purpureum,238609,3945910
Eupatorium_purpureum,239778,3946250
Eupatorium_purpureum,239783,3934753
Eupatorium_purpureum,239863,3935855
Eupatorium_purpureum,240059,3935680
Eupatorium_purpureum,240145,3934851
Eupatorium_purpureum,240240,3934683
Eupatorium_purpureum,240246,3934248
Eupatorium_purpureum,240281,3935230
Eupatorium_purpureum,240906,3929333
Eupatorium_purpureum,240973,3934638
Eupatorium_purpureum,241154,3934931
Eupatorium_purpureum,241182,3934669
Eupatorium_purpureum,241219,3934692
Eupatorium_purpureum,241464,3934878
Eupatorium_purpureum,241806,3935780
Eupatorium_purpureum,241959,3945163
Eupatorium_purpureum,242607,3936850
Eupatorium_purpureum,242745,3934746
Eupatorium_purpureum,242896,3941480
Eupatorium_purpureum,243141,3936490
Eupatorium_purpureum,243144,3934897
Eupatorium_purpureum,243467,3936469
Eupatorium_purpureum,244471,3932583
Eupatorium_purpureum,244534,3936815
Eupatorium_purpureum,245109,3937591
Eupatorium_purpureum,245375,3936472
Eupatorium_purpureum,245655,3936813
Eupatorium_purpureum,245691,3936871
Eupatorium_purpureum,245859,3948407
Eupatorium_purpureum,245892,3948077
Eupatorium_purpureum,246041,3935319
Eupatorium_purpureum,247733,3936339
Eupatorium_purpureum,248724,3941101
Eupatorium_purpureum,248817,3938427
Eupatorium_purpureum,249061,3938998
Eupatorium_purpureum,249070,3939250
Eupatorium_purpureum,249741,3938518
Eupatorium_purpureum,249762,3939230
Eupatorium_purpureum,249881,3939372
Eupatorium_purpureum,250230,3934787
Eupatorium_purpureum,250299,3934607
Eupatorium_purpureum,258937,3943587
Eupatorium_purpureum,260743,3939607
Eupatorium_purpureum,260865,3941272
Eupatorium_purpureum,261672,3939564
Eupatorium_purpureum,264077,3926420
Eupatorium_purpureum,267628,3938839
Eupatorium_purpureum,270850,3927442
Eupatorium_purpureum,273869,3937573
Eupatorium_purpureum,273908,3936960
Eupatorium_purpureum,273977,3931238
Eupatorium_purpureum,273978,3938314
Eupatorium_purpureum,275247,3951322
Eupatorium_purpureum,276468,3951483
Eupatorium_purpureum,277290,3945611
Eupatorium_purpureum,277709,3928979
Eupatorium_purpureum,292082,3935379
Eupatorium_purpureum,294386,3958827
Eupatorium_purpureum,296091,3943226
Eupatorium_purpureum,298522,3959264
Eupatorium_purpureum,301704,3959959
Eupatorium_purpureum,307170,3946003
Eupatorium_purpureum,308927,3940970
Eupatorium_purpureum,310936,3944991
Eupatorium_purpureum,313363,3940632
