Species,x,y
Eurhoptus_pyriformis,242432,3938679
Eurhoptus_pyriformis,242995,3936867
Eurhoptus_pyriformis,247560,3944051
Eurhoptus_pyriformis,248127,3943917
Eurhoptus_pyriformis,254340,3928999
Eurhoptus_pyriformis,257814,3945295
Eurhoptus_pyriformis,259374,3944498
Eurhoptus_pyriformis,264598,3951589
Eurhoptus_pyriformis,265295,3950871
Eurhoptus_pyriformis,271428,3949594
Eurhoptus_pyriformis,274018,3946544
Eurhoptus_pyriformis,275790,3949640
Eurhoptus_pyriformis,278707,3950291
Eurhoptus_pyriformis,279628,3944369
Eurhoptus_pyriformis,280016,3950809
Eurhoptus_pyriformis,280645,3928323
Eurhoptus_pyriformis,282993,3950238
Eurhoptus_pyriformis,283021,3951087
Eurhoptus_pyriformis,283891,3955427
Eurhoptus_pyriformis,284436,3939504
Eurhoptus_pyriformis,287857,3938299
Eurhoptus_pyriformis,293900,3957285
Eurhoptus_pyriformis,294040,3957083
Eurhoptus_pyriformis,297649,3959487
Eurhoptus_pyriformis,302400,3946055
Eurhoptus_pyriformis,303094,3936451
Eurhoptus_pyriformis,308049,3959434
Eurhoptus_pyriformis,311778,3939789
Eurhoptus_pyriformis,311787,3939936
Eurhoptus_pyriformis,312771,3940810
