Species,x,y
Everes_comyntas,228256,3941566
Everes_comyntas,228545,3937156
Everes_comyntas,240198,3934575
Everes_comyntas,242393,3942514
Everes_comyntas,242396,3942807
Everes_comyntas,242485,3942504
Everes_comyntas,242707,3927197
Everes_comyntas,245096,3928128
Everes_comyntas,245739,3944171
Everes_comyntas,246658,3943009
Everes_comyntas,246703,3942999
Everes_comyntas,247114,3943651
Everes_comyntas,247178,3942735
Everes_comyntas,247344,3942440
Everes_comyntas,247863,3929604
Everes_comyntas,248967,3930128
Everes_comyntas,252560,3928696
Everes_comyntas,256473,3947438
Everes_comyntas,256487,3947503
Everes_comyntas,267524,3927851
Everes_comyntas,269586,3938689
Everes_comyntas,270757,3926435
Everes_comyntas,273016,3938309
Everes_comyntas,273462,3938273
Everes_comyntas,278714,3926718
Everes_comyntas,279337,3948876
Everes_comyntas,298634,3942843
Everes_comyntas,312080,3940127
Everes_comyntas,312182,3940000
Everes_comyntas,312205,3939529
Everes_comyntas,312460,3939785
