Species,x,y
Halesia_tetraptera,228435,3938958
Halesia_tetraptera,228535,3938968
Halesia_tetraptera,228596,3937322
Halesia_tetraptera,228835,3938698
Halesia_tetraptera,228854,3938720
Halesia_tetraptera,228968,3936040
Halesia_tetraptera,229278,3938605
Halesia_tetraptera,229295,3938568
Halesia_tetraptera,229330,3938567
Halesia_tetraptera,230116,3934033
Halesia_tetraptera,230307,3939034
Halesia_tetraptera,230362,3939051
Halesia_tetraptera,230366,3939180
Halesia_tetraptera,230401,3933756
Halesia_tetraptera,230405,3938984
Halesia_tetraptera,230525,3938746
Halesia_tetraptera,230588,3938934
Halesia_tetraptera,230851,3935195
Halesia_tetraptera,230876,3939208
Halesia_tetraptera,233653,3936187
Halesia_tetraptera,234049,3940888
Halesia_tetraptera,234325,3939788
Halesia_tetraptera,234435,3941178
Halesia_tetraptera,234560,3944957
Halesia_tetraptera,235032,3940477
Halesia_tetraptera,235122,3941046
Halesia_tetraptera,235244,3942001
Halesia_tetraptera,235329,3939887
Halesia_tetraptera,235348,3943903
Halesia_tetraptera,235348,3943904
Halesia_tetraptera,235425,3938349
Halesia_tetraptera,235453,3945836
Halesia_tetraptera,235528,3943176
Halesia_tetraptera,235530,3940119
Halesia_tetraptera,235665,3938428
Halesia_tetraptera,235700,3943230
Halesia_tetraptera,235701,3938595
Halesia_tetraptera,235820,3938585
Halesia_tetraptera,235927,3942957
Halesia_tetraptera,236079,3939959
Halesia_tetraptera,236146,3938369
Halesia_tetraptera,236262,3938153
Halesia_tetraptera,236278,3936082
Halesia_tetraptera,236497,3938054
Halesia_tetraptera,236622,3936382
Halesia_tetraptera,236642,3947522
Halesia_tetraptera,236675,3937890
Halesia_tetraptera,236868,3936393
Halesia_tetraptera,236968,3942820
Halesia_tetraptera,237015,3936434
Halesia_tetraptera,237092,3937750
Halesia_tetraptera,237145,3936391
Halesia_tetraptera,237281,3937532
Halesia_tetraptera,237452,3937481
Halesia_tetraptera,237716,3936614
Halesia_tetraptera,237818,3942138
Halesia_tetraptera,237848,3948137
Halesia_tetraptera,238268,3948701
Halesia_tetraptera,238384,3936448
Halesia_tetraptera,238426,3945758
Halesia_tetraptera,238584,3945936
Halesia_tetraptera,238609,3945910
Halesia_tetraptera,238679,3936556
Halesia_tetraptera,238735,3936086
Halesia_tetraptera,238804,3936213
Halesia_tetraptera,238818,3936203
Halesia_tetraptera,238818,3936373
Halesia_tetraptera,238894,3946211
Halesia_tetraptera,238914,3946267
Halesia_tetraptera,238977,3935732
Halesia_tetraptera,238989,3933097
Halesia_tetraptera,238990,3935761
Halesia_tetraptera,239063,3931306
Halesia_tetraptera,239118,3946109
Halesia_tetraptera,239153,3932570
Halesia_tetraptera,239183,3935425
Halesia_tetraptera,239207,3933067
Halesia_tetraptera,239209,3932760
Halesia_tetraptera,239210,3928910
Halesia_tetraptera,239260,3932407
Halesia_tetraptera,239309,3932904
Halesia_tetraptera,239384,3932170
Halesia_tetraptera,239431,3932297
Halesia_tetraptera,239599,3937842
Halesia_tetraptera,239601,3932171
Halesia_tetraptera,239614,3931914
Halesia_tetraptera,239632,3935509
Halesia_tetraptera,239723,3929913
Halesia_tetraptera,239727,3930645
Halesia_tetraptera,239752,3934958
Halesia_tetraptera,239778,3946250
Halesia_tetraptera,239781,3934741
Halesia_tetraptera,239783,3934753
Halesia_tetraptera,239797,3932210
Halesia_tetraptera,239825,3937955
Halesia_tetraptera,239852,3935391
Halesia_tetraptera,239863,3935855
Halesia_tetraptera,239883,3935073
Halesia_tetraptera,239903,3944062
Halesia_tetraptera,240004,3935258
Halesia_tetraptera,240028,3935408
Halesia_tetraptera,240059,3935680
Halesia_tetraptera,240116,3935168
Halesia_tetraptera,240117,3930620
Halesia_tetraptera,240119,3935181
Halesia_tetraptera,240119,3935182
Halesia_tetraptera,240128,3947588
Halesia_tetraptera,240185,3938262
Halesia_tetraptera,240246,3934248
Halesia_tetraptera,240265,3943709
Halesia_tetraptera,240281,3935230
Halesia_tetraptera,240337,3930628
Halesia_tetraptera,240341,3943404
Halesia_tetraptera,240346,3934908
Halesia_tetraptera,240438,3930111
Halesia_tetraptera,240465,3930508
Halesia_tetraptera,240473,3935625
Halesia_tetraptera,240506,3930464
Halesia_tetraptera,240525,3929024
Halesia_tetraptera,240651,3938535
Halesia_tetraptera,240709,3930172
Halesia_tetraptera,240778,3938142
Halesia_tetraptera,240791,3941644
Halesia_tetraptera,240891,3942755
Halesia_tetraptera,241029,3938350
Halesia_tetraptera,241044,3942528
Halesia_tetraptera,241054,3934911
Halesia_tetraptera,241131,3929262
Halesia_tetraptera,241154,3934931
Halesia_tetraptera,241166,3930389
Halesia_tetraptera,241167,3941674
Halesia_tetraptera,241168,3941674
Halesia_tetraptera,241182,3934669
Halesia_tetraptera,241185,3935110
Halesia_tetraptera,241193,3935214
Halesia_tetraptera,241219,3934692
Halesia_tetraptera,241219,3941535
Halesia_tetraptera,241220,3941536
Halesia_tetraptera,241328,3935215
Halesia_tetraptera,241354,3945073
Halesia_tetraptera,241354,3945074
Halesia_tetraptera,241390,3935172
Halesia_tetraptera,241391,3935173
Halesia_tetraptera,241402,3942061
Halesia_tetraptera,241403,3942062
Halesia_tetraptera,241424,3935328
Halesia_tetraptera,241445,3934219
Halesia_tetraptera,241445,3942239
Halesia_tetraptera,241478,3935358
Halesia_tetraptera,241496,3930462
Halesia_tetraptera,241507,3933917
Halesia_tetraptera,241563,3935539
Halesia_tetraptera,241623,3929625
Halesia_tetraptera,241623,3933424
Halesia_tetraptera,241628,3933632
Halesia_tetraptera,241767,3935661
Halesia_tetraptera,241795,3942201
Halesia_tetraptera,241806,3935779
Halesia_tetraptera,241806,3935780
Halesia_tetraptera,241937,3935799
Halesia_tetraptera,242001,3933310
Halesia_tetraptera,242001,3934513
Halesia_tetraptera,242014,3935761
Halesia_tetraptera,242016,3935768
Halesia_tetraptera,242070,3938187
Halesia_tetraptera,242116,3934588
Halesia_tetraptera,242116,3935962
Halesia_tetraptera,242136,3936328
Halesia_tetraptera,242140,3934591
Halesia_tetraptera,242141,3934592
Halesia_tetraptera,242165,3934633
Halesia_tetraptera,242195,3933191
Halesia_tetraptera,242200,3933177
Halesia_tetraptera,242224,3944586
Halesia_tetraptera,242280,3936149
Halesia_tetraptera,242289,3936109
Halesia_tetraptera,242316,3938658
Halesia_tetraptera,242319,3936164
Halesia_tetraptera,242341,3936337
Halesia_tetraptera,242350,3934601
Halesia_tetraptera,242353,3944614
Halesia_tetraptera,242393,3930500
Halesia_tetraptera,242480,3936721
Halesia_tetraptera,242491,3936408
Halesia_tetraptera,242492,3936408
Halesia_tetraptera,242519,3936933
Halesia_tetraptera,242524,3932989
Halesia_tetraptera,242536,3937143
Halesia_tetraptera,242542,3938574
Halesia_tetraptera,242556,3936739
Halesia_tetraptera,242576,3930496
Halesia_tetraptera,242606,3936850
Halesia_tetraptera,242607,3936850
Halesia_tetraptera,242634,3935646
Halesia_tetraptera,242655,3932359
Halesia_tetraptera,242671,3938160
Halesia_tetraptera,242672,3938161
Halesia_tetraptera,242682,3936351
Halesia_tetraptera,242690,3936957
Halesia_tetraptera,242691,3936958
Halesia_tetraptera,242697,3937905
Halesia_tetraptera,242745,3934746
Halesia_tetraptera,242752,3934750
Halesia_tetraptera,242802,3942181
Halesia_tetraptera,242814,3930670
Halesia_tetraptera,242827,3930394
Halesia_tetraptera,242856,3937445
Halesia_tetraptera,242856,3937446
Halesia_tetraptera,242860,3935929
Halesia_tetraptera,242867,3932249
Halesia_tetraptera,242904,3937059
Halesia_tetraptera,242972,3940736
Halesia_tetraptera,242980,3937527
Halesia_tetraptera,242981,3937528
Halesia_tetraptera,243027,3936731
Halesia_tetraptera,243027,3936732
Halesia_tetraptera,243027,3936937
Halesia_tetraptera,243028,3937586
Halesia_tetraptera,243046,3937718
Halesia_tetraptera,243046,3937766
Halesia_tetraptera,243079,3937768
Halesia_tetraptera,243096,3941038
Halesia_tetraptera,243101,3936942
Halesia_tetraptera,243128,3937058
Halesia_tetraptera,243134,3936330
Halesia_tetraptera,243135,3936330
Halesia_tetraptera,243140,3936489
Halesia_tetraptera,243141,3936490
Halesia_tetraptera,243144,3934897
Halesia_tetraptera,243156,3943688
Halesia_tetraptera,243166,3937008
Halesia_tetraptera,243182,3937020
Halesia_tetraptera,243182,3937021
Halesia_tetraptera,243191,3937165
Halesia_tetraptera,243194,3934924
Halesia_tetraptera,243211,3937300
Halesia_tetraptera,243266,3936798
Halesia_tetraptera,243267,3936814
Halesia_tetraptera,243268,3936814
Halesia_tetraptera,243345,3936740
Halesia_tetraptera,243345,3936741
Halesia_tetraptera,243365,3937529
Halesia_tetraptera,243376,3936808
Halesia_tetraptera,243396,3936648
Halesia_tetraptera,243399,3936788
Halesia_tetraptera,243400,3936788
Halesia_tetraptera,243416,3936640
Halesia_tetraptera,243448,3930984
Halesia_tetraptera,243466,3936469
Halesia_tetraptera,243467,3936469
