Species,x,y
Helianthus_microcephalus,228105,3938898
Helianthus_microcephalus,228671,3938902
Helianthus_microcephalus,228797,3938338
Helianthus_microcephalus,228884,3937815
Helianthus_microcephalus,228907,3937474
Helianthus_microcephalus,229010,3936840
Helianthus_microcephalus,229047,3936851
Helianthus_microcephalus,229081,3939716
Helianthus_microcephalus,229512,3940058
Helianthus_microcephalus,229736,3935883
Helianthus_microcephalus,230982,3934072
Helianthus_microcephalus,231597,3933597
Helianthus_microcephalus,232609,3932680
Helianthus_microcephalus,232664,3932680
Helianthus_microcephalus,232694,3932608
Helianthus_microcephalus,233653,3936187
Helianthus_microcephalus,234325,3939788
Helianthus_microcephalus,235122,3941046
Helianthus_microcephalus,235201,3929519
Helianthus_microcephalus,235418,3929386
Helianthus_microcephalus,237059,3928666
Helianthus_microcephalus,238882,3928316
Helianthus_microcephalus,239732,3927692
Helianthus_microcephalus,239938,3927524
Helianthus_microcephalus,240244,3927142
Helianthus_microcephalus,240264,3927177
Helianthus_microcephalus,240530,3927200
Helianthus_microcephalus,240917,3927207
Helianthus_microcephalus,241078,3927270
Helianthus_microcephalus,241276,3927296
Helianthus_microcephalus,241326,3927263
Helianthus_microcephalus,241921,3927281
Helianthus_microcephalus,242684,3927237
Helianthus_microcephalus,242695,3927194
Helianthus_microcephalus,243392,3927113
Helianthus_microcephalus,245246,3933728
Helianthus_microcephalus,245836,3947998
Helianthus_microcephalus,245856,3948228
Helianthus_microcephalus,245859,3948407
Helianthus_microcephalus,245908,3948562
Helianthus_microcephalus,245916,3948308
Helianthus_microcephalus,250946,3947358
Helianthus_microcephalus,252665,3928717
Helianthus_microcephalus,252687,3928747
Helianthus_microcephalus,252726,3928743
Helianthus_microcephalus,252817,3929268
Helianthus_microcephalus,253465,3928048
Helianthus_microcephalus,282996,3956635
