Species,x,y
Hieracium_venosum,228105,3938898
Hieracium_venosum,229010,3936840
Hieracium_venosum,229028,3936705
Hieracium_venosum,229299,3935543
Hieracium_venosum,229402,3934880
Hieracium_venosum,229712,3936162
Hieracium_venosum,229754,3936000
Hieracium_venosum,229873,3936080
Hieracium_venosum,229913,3935026
Hieracium_venosum,229964,3938809
Hieracium_venosum,229973,3935874
Hieracium_venosum,230366,3939180
Hieracium_venosum,230703,3939382
Hieracium_venosum,232664,3932680
Hieracium_venosum,233155,3933628
Hieracium_venosum,233415,3936238
Hieracium_venosum,233971,3944517
Hieracium_venosum,234135,3940968
Hieracium_venosum,234335,3944268
Hieracium_venosum,234365,3941058
Hieracium_venosum,234375,3941008
Hieracium_venosum,234425,3941088
Hieracium_venosum,234515,3941158
Hieracium_venosum,234545,3941108
Hieracium_venosum,234735,3941258
Hieracium_venosum,235187,3944036
Hieracium_venosum,235187,3944037
Hieracium_venosum,235215,3943228
Hieracium_venosum,235649,3945603
Hieracium_venosum,236147,3942606
Hieracium_venosum,236898,3942881
Hieracium_venosum,237677,3936327
Hieracium_venosum,238265,3950088
Hieracium_venosum,238455,3950181
Hieracium_venosum,239503,3938490
Hieracium_venosum,239895,3930774
Hieracium_venosum,241167,3941674
Hieracium_venosum,241168,3941674
Hieracium_venosum,241294,3941596
Hieracium_venosum,241294,3941597
Hieracium_venosum,241566,3944885
Hieracium_venosum,242086,3942798
Hieracium_venosum,244020,3944832
Hieracium_venosum,245537,3944048
Hieracium_venosum,245695,3942114
Hieracium_venosum,247461,3944110
Hieracium_venosum,254118,3950174
Hieracium_venosum,262965,3927285
Hieracium_venosum,268447,3927795
Hieracium_venosum,268979,3927117
Hieracium_venosum,269665,3927376
Hieracium_venosum,271325,3926860
Hieracium_venosum,271461,3928674
Hieracium_venosum,271832,3932412
Hieracium_venosum,271870,3932356
Hieracium_venosum,308778,3958260
