Species,x,y
Hypsibius_convergens,238837,3928646
Hypsibius_convergens,240339,3934672
Hypsibius_convergens,242900,3942474
Hypsibius_convergens,242910,3942474
Hypsibius_convergens,242910,3942484
Hypsibius_convergens,245741,3944441
Hypsibius_convergens,245857,3948396
Hypsibius_convergens,255712,3947542
Hypsibius_convergens,268972,3938637
Hypsibius_convergens,268976,3938813
Hypsibius_convergens,268977,3938826
Hypsibius_convergens,269711,3944014
Hypsibius_convergens,269797,3944046
Hypsibius_convergens,269968,3944039
Hypsibius_convergens,273860,3938049
Hypsibius_convergens,275818,3945191
Hypsibius_convergens,275818,3945213
Hypsibius_convergens,275832,3945200
Hypsibius_convergens,276452,3945954
Hypsibius_convergens,276458,3945811
Hypsibius_convergens,276468,3945861
Hypsibius_convergens,276469,3945966
Hypsibius_convergens,276473,3945973
Hypsibius_convergens,276474,3945950
Hypsibius_convergens,277240,3943540
Hypsibius_convergens,277245,3943546
Hypsibius_convergens,277337,3943530
Hypsibius_convergens,278504,3948439
Hypsibius_convergens,278547,3945188
Hypsibius_convergens,278659,3943579
Hypsibius_convergens,278660,3943561
Hypsibius_convergens,278682,3943564
Hypsibius_convergens,278734,3943643
Hypsibius_convergens,279506,3950719
Hypsibius_convergens,279895,3950948
Hypsibius_convergens,284484,3954147
Hypsibius_convergens,288114,3954013
Hypsibius_convergens,291205,3932041
Hypsibius_convergens,293779,3957013
Hypsibius_convergens,299272,3957771
Hypsibius_convergens,299601,3961866
Hypsibius_convergens,300202,3959811
Hypsibius_convergens,308220,3944040
Hypsibius_convergens,308640,3944570
Hypsibius_convergens,311383,3940481
Hypsibius_convergens,311462,3940380
Hypsibius_convergens,311469,3940425
Hypsibius_convergens,311481,3940415
Hypsibius_convergens,311493,3940436
