Species,x,y
Idia_americalis,239142,3928653
Idia_americalis,239253,3928719
Idia_americalis,242743,3934747
Idia_americalis,244121,3927396
Idia_americalis,244121,3927397
Idia_americalis,245076,3943259
Idia_americalis,245079,3943452
Idia_americalis,248438,3943416
Idia_americalis,248536,3943119
Idia_americalis,248710,3943571
Idia_americalis,251770,3926404
Idia_americalis,251770,3926405
Idia_americalis,252164,3929169
Idia_americalis,252196,3929336
Idia_americalis,252437,3928875
Idia_americalis,253047,3928774
Idia_americalis,253047,3928775
Idia_americalis,253377,3928674
Idia_americalis,256484,3947482
Idia_americalis,256521,3947351
Idia_americalis,263275,3925149
Idia_americalis,263275,3925150
Idia_americalis,263946,3947795
Idia_americalis,263962,3948004
Idia_americalis,265526,3949769
Idia_americalis,265687,3950695
Idia_americalis,267754,3927974
Idia_americalis,267754,3927975
Idia_americalis,268504,3926530
Idia_americalis,270241,3952388
Idia_americalis,270422,3952199
Idia_americalis,272416,3929229
Idia_americalis,274343,3946299
Idia_americalis,274457,3946720
Idia_americalis,275180,3946971
Idia_americalis,276176,3951140
Idia_americalis,276499,3934505
Idia_americalis,282396,3956671
Idia_americalis,282686,3940320
Idia_americalis,283068,3939671
Idia_americalis,284324,3954570
Idia_americalis,286398,3940466
Idia_americalis,289947,3937460
Idia_americalis,290900,3932597
Idia_americalis,290953,3932802
Idia_americalis,291133,3931709
Idia_americalis,291266,3932698
Idia_americalis,291499,3931811
Idia_americalis,291781,3932248
Idia_americalis,291888,3932912
Idia_americalis,295061,3960340
Idia_americalis,296031,3960831
Idia_americalis,298142,3964955
Idia_americalis,298425,3965061
Idia_americalis,299437,3965815
Idia_americalis,299567,3965526
Idia_americalis,299626,3962018
Idia_americalis,299884,3961587
Idia_americalis,299992,3961138
Idia_americalis,300163,3959052
Idia_americalis,300205,3959804
Idia_americalis,300709,3958391
Idia_americalis,307827,3943480
Idia_americalis,308602,3952846
Idia_americalis,309173,3952488
Idia_americalis,309517,3952830
Idia_americalis,312007,3939804
Idia_americalis,312149,3939847
Idia_americalis,312166,3940057
Idia_americalis,312180,3940009
Idia_americalis,313360,3945702
Idia_americalis,313389,3945726
Idia_americalis,313758,3945810
Idia_americalis,314385,3945734
