Species,x,y
Lambdina_pellucidaria,245076,3943259
Lambdina_pellucidaria,245079,3943452
Lambdina_pellucidaria,245830,3944319
Lambdina_pellucidaria,248438,3943416
Lambdina_pellucidaria,248536,3943119
Lambdina_pellucidaria,256484,3947482
Lambdina_pellucidaria,256496,3947275
Lambdina_pellucidaria,256521,3947351
Lambdina_pellucidaria,270241,3952388
Lambdina_pellucidaria,270422,3952199
Lambdina_pellucidaria,272416,3929229
Lambdina_pellucidaria,273826,3952003
Lambdina_pellucidaria,276176,3951140
Lambdina_pellucidaria,276429,3946162
Lambdina_pellucidaria,276499,3934505
Lambdina_pellucidaria,282396,3956671
Lambdina_pellucidaria,282639,3940680
Lambdina_pellucidaria,282686,3940320
Lambdina_pellucidaria,283068,3939671
Lambdina_pellucidaria,289947,3937460
Lambdina_pellucidaria,291781,3932248
Lambdina_pellucidaria,298425,3965061
Lambdina_pellucidaria,299884,3961587
Lambdina_pellucidaria,307827,3943480
Lambdina_pellucidaria,309517,3952830
Lambdina_pellucidaria,312007,3939804
Lambdina_pellucidaria,312166,3940057
Lambdina_pellucidaria,312180,3940009
Lambdina_pellucidaria,312279,3939198
Lambdina_pellucidaria,314385,3945734
