Species,x,y
Lysimachia_quadrifolia,228671,3938902
Lysimachia_quadrifolia,228740,3938484
Lysimachia_quadrifolia,228797,3938338
Lysimachia_quadrifolia,228897,3938550
Lysimachia_quadrifolia,228907,3937474
Lysimachia_quadrifolia,229010,3936840
Lysimachia_quadrifolia,229028,3936705
Lysimachia_quadrifolia,229047,3936851
Lysimachia_quadrifolia,229268,3935563
Lysimachia_quadrifolia,229299,3935543
Lysimachia_quadrifolia,229678,3935930
Lysimachia_quadrifolia,230307,3939034
Lysimachia_quadrifolia,230362,3939051
Lysimachia_quadrifolia,230567,3934423
Lysimachia_quadrifolia,230588,3938934
Lysimachia_quadrifolia,230607,3934434
Lysimachia_quadrifolia,230703,3939382
Lysimachia_quadrifolia,230752,3934312
Lysimachia_quadrifolia,230982,3934072
Lysimachia_quadrifolia,231308,3933840
Lysimachia_quadrifolia,231597,3933597
Lysimachia_quadrifolia,231962,3933235
Lysimachia_quadrifolia,231972,3933272
Lysimachia_quadrifolia,232621,3933175
Lysimachia_quadrifolia,232694,3932608
Lysimachia_quadrifolia,232755,3933168
Lysimachia_quadrifolia,232997,3933536
Lysimachia_quadrifolia,234227,3931049
Lysimachia_quadrifolia,234259,3931071
Lysimachia_quadrifolia,234325,3939788
Lysimachia_quadrifolia,234435,3941178
Lysimachia_quadrifolia,234505,3930660
Lysimachia_quadrifolia,234545,3941108
Lysimachia_quadrifolia,234595,3930436
Lysimachia_quadrifolia,234631,3930456
Lysimachia_quadrifolia,234712,3934398
Lysimachia_quadrifolia,234735,3941258
Lysimachia_quadrifolia,234803,3930086
Lysimachia_quadrifolia,234875,3945468
Lysimachia_quadrifolia,235071,3943664
Lysimachia_quadrifolia,235112,3929651
Lysimachia_quadrifolia,235168,3929485
Lysimachia_quadrifolia,235201,3929519
Lysimachia_quadrifolia,235418,3929386
Lysimachia_quadrifolia,235515,3929290
Lysimachia_quadrifolia,235588,3936264
Lysimachia_quadrifolia,235665,3938428
Lysimachia_quadrifolia,235956,3938293
Lysimachia_quadrifolia,235995,3942508
Lysimachia_quadrifolia,237059,3928666
Lysimachia_quadrifolia,237158,3928689
Lysimachia_quadrifolia,237174,3928644
Lysimachia_quadrifolia,237491,3928583
Lysimachia_quadrifolia,237495,3928622
Lysimachia_quadrifolia,238547,3934091
Lysimachia_quadrifolia,238695,3949328
Lysimachia_quadrifolia,238880,3928356
Lysimachia_quadrifolia,238882,3928316
Lysimachia_quadrifolia,239022,3935430
Lysimachia_quadrifolia,239353,3928113
Lysimachia_quadrifolia,239410,3928047
Lysimachia_quadrifolia,239438,3928075
Lysimachia_quadrifolia,239503,3938490
Lysimachia_quadrifolia,239732,3927692
Lysimachia_quadrifolia,239849,3928877
Lysimachia_quadrifolia,239863,3935855
Lysimachia_quadrifolia,239924,3934606
Lysimachia_quadrifolia,239938,3927524
Lysimachia_quadrifolia,240059,3935680
Lysimachia_quadrifolia,240123,3930610
Lysimachia_quadrifolia,240190,3941880
Lysimachia_quadrifolia,240190,3941881
Lysimachia_quadrifolia,240244,3927142
Lysimachia_quadrifolia,240264,3927177
Lysimachia_quadrifolia,240525,3929024
Lysimachia_quadrifolia,240530,3927200
Lysimachia_quadrifolia,240548,3927165
Lysimachia_quadrifolia,240808,3934416
Lysimachia_quadrifolia,240917,3927207
Lysimachia_quadrifolia,241078,3927270
Lysimachia_quadrifolia,241098,3927232
Lysimachia_quadrifolia,241154,3934931
Lysimachia_quadrifolia,241219,3941535
Lysimachia_quadrifolia,241220,3941536
Lysimachia_quadrifolia,241276,3927296
Lysimachia_quadrifolia,241298,3942911
Lysimachia_quadrifolia,241354,3945073
Lysimachia_quadrifolia,241354,3945074
Lysimachia_quadrifolia,241356,3941674
Lysimachia_quadrifolia,241390,3935172
Lysimachia_quadrifolia,241391,3935173
Lysimachia_quadrifolia,241446,3927275
Lysimachia_quadrifolia,241707,3927349
Lysimachia_quadrifolia,241758,3945171
Lysimachia_quadrifolia,241758,3945172
Lysimachia_quadrifolia,241806,3935779
Lysimachia_quadrifolia,241806,3935780
Lysimachia_quadrifolia,241921,3927281
Lysimachia_quadrifolia,241959,3945163
Lysimachia_quadrifolia,242014,3935761
Lysimachia_quadrifolia,242016,3935768
Lysimachia_quadrifolia,242050,3927309
Lysimachia_quadrifolia,242350,3934601
Lysimachia_quadrifolia,242372,3934603
Lysimachia_quadrifolia,242606,3936850
Lysimachia_quadrifolia,242607,3936850
Lysimachia_quadrifolia,242684,3927237
Lysimachia_quadrifolia,242695,3927194
Lysimachia_quadrifolia,242697,3937905
Lysimachia_quadrifolia,242834,3927179
Lysimachia_quadrifolia,242847,3927217
Lysimachia_quadrifolia,242972,3940736
Lysimachia_quadrifolia,243135,3936330
Lysimachia_quadrifolia,243144,3934897
Lysimachia_quadrifolia,243194,3934924
Lysimachia_quadrifolia,243301,3927124
Lysimachia_quadrifolia,243324,3927159
Lysimachia_quadrifolia,243392,3927113
Lysimachia_quadrifolia,243400,3936788
Lysimachia_quadrifolia,243416,3936640
Lysimachia_quadrifolia,243529,3937849
Lysimachia_quadrifolia,243970,3927087
Lysimachia_quadrifolia,243979,3927045
Lysimachia_quadrifolia,244400,3936681
Lysimachia_quadrifolia,244534,3936815
Lysimachia_quadrifolia,244589,3937700
Lysimachia_quadrifolia,245109,3937591
Lysimachia_quadrifolia,245246,3933728
Lysimachia_quadrifolia,245597,3936535
Lysimachia_quadrifolia,245654,3936813
Lysimachia_quadrifolia,245655,3936813
Lysimachia_quadrifolia,245690,3936871
Lysimachia_quadrifolia,245691,3936871
Lysimachia_quadrifolia,245862,3944302
Lysimachia_quadrifolia,245878,3936746
Lysimachia_quadrifolia,245896,3936731
Lysimachia_quadrifolia,245916,3948308
Lysimachia_quadrifolia,246068,3937313
Lysimachia_quadrifolia,247233,3937000
Lysimachia_quadrifolia,247733,3936339
Lysimachia_quadrifolia,248899,3939217
Lysimachia_quadrifolia,249074,3935258
Lysimachia_quadrifolia,249205,3939271
Lysimachia_quadrifolia,249257,3941292
Lysimachia_quadrifolia,249307,3939001
Lysimachia_quadrifolia,249448,3940682
Lysimachia_quadrifolia,249962,3932794
Lysimachia_quadrifolia,250146,3941518
Lysimachia_quadrifolia,250230,3934787
Lysimachia_quadrifolia,250299,3934607
Lysimachia_quadrifolia,250916,3947008
Lysimachia_quadrifolia,251416,3944008
Lysimachia_quadrifolia,251696,3944108
Lysimachia_quadrifolia,252272,3940490
Lysimachia_quadrifolia,252665,3939019
Lysimachia_quadrifolia,253082,3951939
Lysimachia_quadrifolia,253450,3929582
Lysimachia_quadrifolia,254923,3929405
Lysimachia_quadrifolia,255703,3951286
Lysimachia_quadrifolia,256258,3952169
Lysimachia_quadrifolia,258020,3925984
Lysimachia_quadrifolia,260442,3941729
Lysimachia_quadrifolia,261199,3939414
Lysimachia_quadrifolia,261222,3939413
Lysimachia_quadrifolia,267628,3938839
Lysimachia_quadrifolia,268497,3926438
Lysimachia_quadrifolia,269127,3927088
Lysimachia_quadrifolia,269405,3927298
Lysimachia_quadrifolia,269595,3926720
Lysimachia_quadrifolia,269665,3927376
Lysimachia_quadrifolia,270788,3926826
Lysimachia_quadrifolia,270850,3927442
Lysimachia_quadrifolia,271461,3928674
Lysimachia_quadrifolia,271590,3928385
Lysimachia_quadrifolia,272264,3932824
Lysimachia_quadrifolia,272374,3929275
Lysimachia_quadrifolia,272379,3930286
Lysimachia_quadrifolia,272481,3929694
Lysimachia_quadrifolia,272625,3935068
Lysimachia_quadrifolia,273897,3935680
Lysimachia_quadrifolia,273977,3931238
Lysimachia_quadrifolia,274148,3931683
Lysimachia_quadrifolia,274355,3932086
Lysimachia_quadrifolia,274894,3947772
Lysimachia_quadrifolia,275247,3951322
Lysimachia_quadrifolia,275445,3951299
Lysimachia_quadrifolia,276468,3951483
Lysimachia_quadrifolia,276792,3934907
Lysimachia_quadrifolia,276880,3936399
Lysimachia_quadrifolia,276925,3935828
Lysimachia_quadrifolia,277207,3934881
Lysimachia_quadrifolia,280147,3929391
Lysimachia_quadrifolia,282896,3958294
Lysimachia_quadrifolia,283178,3952906
Lysimachia_quadrifolia,283713,3952988
Lysimachia_quadrifolia,283963,3952285
Lysimachia_quadrifolia,291238,3933099
Lysimachia_quadrifolia,292082,3935379
Lysimachia_quadrifolia,295781,3956952
Lysimachia_quadrifolia,298648,3958052
