Species,x,y
Maccaffertium_ithaca,229388,3940397
Maccaffertium_ithaca,229429,3940635
Maccaffertium_ithaca,229683,3940433
Maccaffertium_ithaca,231183,3942401
Maccaffertium_ithaca,231279,3942576
Maccaffertium_ithaca,231355,3942164
Maccaffertium_ithaca,234122,3944658
Maccaffertium_ithaca,234180,3944030
Maccaffertium_ithaca,234193,3944224
Maccaffertium_ithaca,234360,3944696
Maccaffertium_ithaca,241420,3942150
Maccaffertium_ithaca,248568,3943663
Maccaffertium_ithaca,252731,3929124
Maccaffertium_ithaca,260287,3951823
Maccaffertium_ithaca,261014,3956000
Maccaffertium_ithaca,261145,3950756
Maccaffertium_ithaca,261385,3956323
Maccaffertium_ithaca,263061,3958055
Maccaffertium_ithaca,265838,3956982
Maccaffertium_ithaca,266279,3956526
Maccaffertium_ithaca,269059,3959007
Maccaffertium_ithaca,269337,3959222
Maccaffertium_ithaca,271386,3961500
Maccaffertium_ithaca,271649,3961160
Maccaffertium_ithaca,282872,3961322
Maccaffertium_ithaca,282946,3948800
Maccaffertium_ithaca,283195,3959760
Maccaffertium_ithaca,283650,3959860
Maccaffertium_ithaca,291150,3934652
Maccaffertium_ithaca,296786,3964543
Maccaffertium_ithaca,296990,3965538
Maccaffertium_ithaca,312384,3948991
