Species,x,y
Macrobiotus_pallarii,238837,3928646
Macrobiotus_pallarii,240047,3934493
Macrobiotus_pallarii,240095,3934507
Macrobiotus_pallarii,240339,3934672
Macrobiotus_pallarii,242910,3942474
Macrobiotus_pallarii,242920,3942474
Macrobiotus_pallarii,245850,3944473
Macrobiotus_pallarii,255655,3947514
Macrobiotus_pallarii,255685,3947610
Macrobiotus_pallarii,255688,3947605
Macrobiotus_pallarii,255712,3947542
Macrobiotus_pallarii,257259,3950800
Macrobiotus_pallarii,268972,3938637
Macrobiotus_pallarii,268976,3938813
Macrobiotus_pallarii,268977,3938826
Macrobiotus_pallarii,269703,3944079
Macrobiotus_pallarii,269711,3944014
Macrobiotus_pallarii,269727,3944138
Macrobiotus_pallarii,269797,3944046
Macrobiotus_pallarii,269968,3944039
Macrobiotus_pallarii,273604,3952061
Macrobiotus_pallarii,273860,3938049
Macrobiotus_pallarii,273862,3935651
Macrobiotus_pallarii,273863,3938087
Macrobiotus_pallarii,273880,3935711
Macrobiotus_pallarii,273881,3935670
Macrobiotus_pallarii,273885,3935672
Macrobiotus_pallarii,273898,3935683
Macrobiotus_pallarii,273942,3952120
Macrobiotus_pallarii,278504,3948439
Macrobiotus_pallarii,278659,3943579
Macrobiotus_pallarii,278660,3943561
Macrobiotus_pallarii,278682,3943564
Macrobiotus_pallarii,278734,3943643
Macrobiotus_pallarii,279506,3950719
Macrobiotus_pallarii,279512,3948319
Macrobiotus_pallarii,279738,3950725
Macrobiotus_pallarii,279769,3950704
Macrobiotus_pallarii,279895,3950948
Macrobiotus_pallarii,288068,3954299
Macrobiotus_pallarii,288078,3954250
Macrobiotus_pallarii,288084,3954244
Macrobiotus_pallarii,288111,3954233
Macrobiotus_pallarii,288114,3954013
Macrobiotus_pallarii,291142,3931934
Macrobiotus_pallarii,291149,3931958
Macrobiotus_pallarii,291158,3931930
Macrobiotus_pallarii,293719,3956955
Macrobiotus_pallarii,293739,3957048
Macrobiotus_pallarii,293748,3956967
Macrobiotus_pallarii,299272,3957771
Macrobiotus_pallarii,300246,3958525
Macrobiotus_pallarii,300276,3958606
Macrobiotus_pallarii,308220,3944040
Macrobiotus_pallarii,311383,3940481
Macrobiotus_pallarii,311456,3940398
Macrobiotus_pallarii,311462,3940380
Macrobiotus_pallarii,311469,3940425
Macrobiotus_pallarii,311478,3940449
Macrobiotus_pallarii,311481,3940415
Macrobiotus_pallarii,311493,3940436
Macrobiotus_pallarii,312038,3940131
Macrobiotus_pallarii,312171,3940021
Macrobiotus_pallarii,313269,3940740
Macrobiotus_pallarii,313282,3940738
Macrobiotus_pallarii,313363,3940643
Macrobiotus_pallarii,313411,3940653
Macrobiotus_pallarii,313418,3940639
Macrobiotus_pallarii,313419,3940637
Macrobiotus_pallarii,313424,3940666
