Species,x,y
Monarda_clinopodia,227122,3939033
Monarda_clinopodia,228856,3936126
Monarda_clinopodia,229565,3934879
Monarda_clinopodia,230104,3934331
Monarda_clinopodia,239074,3935640
Monarda_clinopodia,240279,3929009
Monarda_clinopodia,240791,3941644
Monarda_clinopodia,241663,3933595
Monarda_clinopodia,242350,3934601
Monarda_clinopodia,242972,3940736
Monarda_clinopodia,243416,3936640
Monarda_clinopodia,244352,3934737
Monarda_clinopodia,244846,3932333
Monarda_clinopodia,245138,3956100
Monarda_clinopodia,245597,3936535
Monarda_clinopodia,245726,3948128
Monarda_clinopodia,245892,3948077
Monarda_clinopodia,245896,3936731
Monarda_clinopodia,246068,3937313
Monarda_clinopodia,247233,3937000
Monarda_clinopodia,247398,3937435
Monarda_clinopodia,247792,3937659
Monarda_clinopodia,248724,3941101
Monarda_clinopodia,249257,3941292
Monarda_clinopodia,249448,3940682
Monarda_clinopodia,249758,3945747
Monarda_clinopodia,249962,3932794
Monarda_clinopodia,250299,3934607
Monarda_clinopodia,250916,3946808
Monarda_clinopodia,250916,3947008
Monarda_clinopodia,250946,3947358
Monarda_clinopodia,251116,3947008
Monarda_clinopodia,251116,3947058
Monarda_clinopodia,251166,3946978
Monarda_clinopodia,251216,3946908
Monarda_clinopodia,252013,3938618
Monarda_clinopodia,252019,3938691
Monarda_clinopodia,259744,3925544
Monarda_clinopodia,260392,3940891
Monarda_clinopodia,262971,3931996
Monarda_clinopodia,271765,3933616
Monarda_clinopodia,272420,3932820
Monarda_clinopodia,274037,3946327
Monarda_clinopodia,276407,3945673
Monarda_clinopodia,276468,3951483
Monarda_clinopodia,276587,3951494
Monarda_clinopodia,282879,3953033
Monarda_clinopodia,282987,3953002
Monarda_clinopodia,283048,3951067
Monarda_clinopodia,291188,3931842
Monarda_clinopodia,297439,3944705
Monarda_clinopodia,306209,3951258
Monarda_clinopodia,306238,3942040
Monarda_clinopodia,307426,3941402
Monarda_clinopodia,308137,3936580
Monarda_clinopodia,308208,3952846
Monarda_clinopodia,309058,3958254
Monarda_clinopodia,311418,3940064
