Species,x,y
Mychocerus_striatus,233542,3947205
Mychocerus_striatus,234920,3945623
Mychocerus_striatus,235242,3945799
Mychocerus_striatus,241616,3933393
Mychocerus_striatus,242448,3938887
Mychocerus_striatus,242995,3936867
Mychocerus_striatus,245862,3931294
Mychocerus_striatus,245912,3946809
Mychocerus_striatus,247576,3944260
Mychocerus_striatus,248143,3944126
Mychocerus_striatus,248597,3943308
Mychocerus_striatus,254356,3929208
Mychocerus_striatus,257814,3945295
Mychocerus_striatus,259373,3944596
Mychocerus_striatus,264598,3951589
Mychocerus_striatus,271428,3949594
Mychocerus_striatus,274018,3946544
Mychocerus_striatus,278351,3943661
Mychocerus_striatus,281496,3944601
Mychocerus_striatus,282993,3950238
Mychocerus_striatus,283021,3951087
Mychocerus_striatus,283891,3955427
Mychocerus_striatus,288238,3953873
Mychocerus_striatus,291384,3930741
Mychocerus_striatus,293900,3957285
Mychocerus_striatus,293949,3957185
Mychocerus_striatus,294040,3957083
Mychocerus_striatus,297461,3961273
Mychocerus_striatus,297665,3959697
Mychocerus_striatus,299870,3961961
Mychocerus_striatus,308049,3959434
Mychocerus_striatus,308762,3942309
Mychocerus_striatus,311795,3939999
