Species,x,y
Notophthalmus_viridescens,234955,3945478
Notophthalmus_viridescens,235171,3929267
Notophthalmus_viridescens,237987,3948350
Notophthalmus_viridescens,238585,3949011
Notophthalmus_viridescens,238601,3948966
Notophthalmus_viridescens,239169,3928842
Notophthalmus_viridescens,240000,3947397
Notophthalmus_viridescens,240388,3951210
Notophthalmus_viridescens,240939,3930311
Notophthalmus_viridescens,241905,3942211
Notophthalmus_viridescens,241936,3942181
Notophthalmus_viridescens,241939,3942197
Notophthalmus_viridescens,241989,3942188
Notophthalmus_viridescens,242281,3942703
Notophthalmus_viridescens,242303,3942579
Notophthalmus_viridescens,242346,3942626
Notophthalmus_viridescens,242783,3942093
Notophthalmus_viridescens,242806,3942098
Notophthalmus_viridescens,242860,3942086
Notophthalmus_viridescens,242868,3942100
Notophthalmus_viridescens,244140,3945148
Notophthalmus_viridescens,244377,3944048
Notophthalmus_viridescens,244810,3943926
Notophthalmus_viridescens,244812,3943686
Notophthalmus_viridescens,244969,3942410
Notophthalmus_viridescens,245183,3941972
Notophthalmus_viridescens,245353,3943870
Notophthalmus_viridescens,245804,3948140
Notophthalmus_viridescens,245839,3948184
Notophthalmus_viridescens,245940,3948212
Notophthalmus_viridescens,246907,3943579
Notophthalmus_viridescens,247354,3942420
Notophthalmus_viridescens,247363,3942435
Notophthalmus_viridescens,247487,3942369
Notophthalmus_viridescens,251099,3947203
Notophthalmus_viridescens,252213,3941390
Notophthalmus_viridescens,261982,3953103
Notophthalmus_viridescens,262620,3955698
Notophthalmus_viridescens,264709,3949994
Notophthalmus_viridescens,270335,3952143
Notophthalmus_viridescens,312065,3939536
