Species,x,y
Pantographa_limata,234040,3944482
Pantographa_limata,245076,3943259
Pantographa_limata,246000,3948274
Pantographa_limata,248536,3943119
Pantographa_limata,256484,3947482
Pantographa_limata,256496,3947275
Pantographa_limata,256521,3947351
Pantographa_limata,265526,3949769
Pantographa_limata,266045,3947651
Pantographa_limata,266434,3948640
Pantographa_limata,270419,3952088
Pantographa_limata,272201,3954485
Pantographa_limata,272416,3929229
Pantographa_limata,276344,3946387
Pantographa_limata,279031,3926782
Pantographa_limata,280318,3927417
Pantographa_limata,282686,3940320
Pantographa_limata,284340,3954737
Pantographa_limata,289947,3937460
Pantographa_limata,290364,3937609
Pantographa_limata,290792,3936489
Pantographa_limata,290953,3932802
Pantographa_limata,291266,3932698
Pantographa_limata,291781,3932248
Pantographa_limata,296031,3960831
Pantographa_limata,297088,3965869
Pantographa_limata,299313,3965559
Pantographa_limata,299884,3961587
Pantographa_limata,300205,3959804
Pantographa_limata,300709,3958391
Pantographa_limata,302832,3968069
Pantographa_limata,302904,3936547
Pantographa_limata,307827,3943480
Pantographa_limata,309517,3952830
Pantographa_limata,311854,3946009
Pantographa_limata,312007,3939804
Pantographa_limata,312166,3940057
