Species,x,y
Pinus_rigida,227570,3939241
Pinus_rigida,228671,3938902
Pinus_rigida,228688,3938914
Pinus_rigida,229268,3935563
Pinus_rigida,229384,3935468
Pinus_rigida,229712,3936162
Pinus_rigida,229754,3936000
Pinus_rigida,229827,3936037
Pinus_rigida,229913,3935026
Pinus_rigida,230126,3934847
Pinus_rigida,230362,3939051
Pinus_rigida,230366,3939180
Pinus_rigida,230426,3937912
Pinus_rigida,230588,3938934
Pinus_rigida,230703,3939382
Pinus_rigida,230982,3934072
Pinus_rigida,231015,3934089
Pinus_rigida,231962,3933235
Pinus_rigida,232621,3933175
Pinus_rigida,232664,3932680
Pinus_rigida,232997,3933536
Pinus_rigida,233145,3933578
Pinus_rigida,233155,3933628
Pinus_rigida,233385,3936168
Pinus_rigida,233415,3936238
Pinus_rigida,234135,3940968
Pinus_rigida,234335,3944268
Pinus_rigida,234365,3941058
Pinus_rigida,234365,3944158
Pinus_rigida,234370,3936005
Pinus_rigida,234375,3941008
Pinus_rigida,234425,3941088
Pinus_rigida,234474,3930637
Pinus_rigida,234515,3941158
Pinus_rigida,234515,3941208
Pinus_rigida,234545,3941108
Pinus_rigida,234631,3930456
Pinus_rigida,234635,3939628
Pinus_rigida,234735,3941258
Pinus_rigida,234862,3941089
Pinus_rigida,234875,3945468
Pinus_rigida,234946,3940496
Pinus_rigida,235015,3936208
Pinus_rigida,235071,3943664
Pinus_rigida,235112,3929651
Pinus_rigida,235115,3943996
Pinus_rigida,235187,3944036
Pinus_rigida,235187,3944037
Pinus_rigida,235215,3943228
Pinus_rigida,235216,3949337
Pinus_rigida,235244,3943165
Pinus_rigida,235289,3937966
Pinus_rigida,235335,3943168
Pinus_rigida,235372,3942326
Pinus_rigida,235444,3942480
Pinus_rigida,235446,3943966
Pinus_rigida,235471,3943140
Pinus_rigida,235515,3929290
Pinus_rigida,235521,3947951
Pinus_rigida,235562,3949713
Pinus_rigida,235665,3938428
Pinus_rigida,235699,3939007
Pinus_rigida,235715,3940099
Pinus_rigida,235740,3947175
Pinus_rigida,235773,3947618
Pinus_rigida,235857,3939216
Pinus_rigida,235956,3938293
Pinus_rigida,235984,3948130
Pinus_rigida,235995,3942508
Pinus_rigida,236015,3939208
Pinus_rigida,236041,3943073
Pinus_rigida,236115,3942528
Pinus_rigida,236147,3942606
Pinus_rigida,236171,3948071
Pinus_rigida,236262,3938153
Pinus_rigida,236497,3938054
Pinus_rigida,236502,3947768
Pinus_rigida,236649,3947917
Pinus_rigida,236675,3937890
Pinus_rigida,236849,3947383
Pinus_rigida,236921,3937735
Pinus_rigida,236951,3945042
Pinus_rigida,237015,3937208
Pinus_rigida,237059,3928666
Pinus_rigida,237114,3947557
Pinus_rigida,237281,3937532
Pinus_rigida,237281,3947556
Pinus_rigida,237450,3947605
Pinus_rigida,237452,3937481
Pinus_rigida,237463,3937106
Pinus_rigida,237565,3942369
Pinus_rigida,237581,3937325
Pinus_rigida,237583,3947699
Pinus_rigida,237624,3936788
Pinus_rigida,237714,3936985
Pinus_rigida,237762,3936303
Pinus_rigida,237781,3942019
Pinus_rigida,237800,3936951
Pinus_rigida,237817,3942089
Pinus_rigida,237823,3947372
Pinus_rigida,237956,3948331
Pinus_rigida,237984,3942145
Pinus_rigida,237984,3946989
Pinus_rigida,238015,3936208
Pinus_rigida,238192,3945429
Pinus_rigida,238265,3950088
Pinus_rigida,238273,3941879
Pinus_rigida,238296,3941874
Pinus_rigida,238309,3946732
Pinus_rigida,238344,3946373
Pinus_rigida,238455,3950181
Pinus_rigida,238531,3941707
Pinus_rigida,238547,3934091
Pinus_rigida,238584,3945936
Pinus_rigida,238585,3948938
Pinus_rigida,238604,3934083
Pinus_rigida,238656,3941673
Pinus_rigida,238675,3941694
Pinus_rigida,238679,3936556
Pinus_rigida,238695,3949328
Pinus_rigida,238733,3944547
Pinus_rigida,238760,3946346
Pinus_rigida,238846,3941819
Pinus_rigida,238855,3941843
Pinus_rigida,238894,3946211
Pinus_rigida,238914,3946267
Pinus_rigida,238962,3950523
Pinus_rigida,239042,3941995
Pinus_rigida,239047,3935641
Pinus_rigida,239061,3941998
Pinus_rigida,239173,3946086
Pinus_rigida,239233,3949879
Pinus_rigida,239259,3946557
Pinus_rigida,239274,3944310
Pinus_rigida,239283,3942052
Pinus_rigida,239291,3931473
Pinus_rigida,239325,3950068
Pinus_rigida,239503,3938490
Pinus_rigida,239521,3941837
Pinus_rigida,239530,3938570
Pinus_rigida,239574,3946144
Pinus_rigida,239593,3938635
Pinus_rigida,239771,3946232
Pinus_rigida,239920,3941730
Pinus_rigida,239924,3934606
Pinus_rigida,240008,3946141
Pinus_rigida,240124,3938730
Pinus_rigida,240124,3938731
Pinus_rigida,240148,3943861
Pinus_rigida,240150,3941823
Pinus_rigida,240171,3938505
Pinus_rigida,240172,3938506
Pinus_rigida,240302,3941820
Pinus_rigida,240548,3927165
Pinus_rigida,240549,3948132
Pinus_rigida,240612,3945879
Pinus_rigida,240700,3943295
Pinus_rigida,240757,3941317
Pinus_rigida,240917,3927207
Pinus_rigida,240959,3942042
Pinus_rigida,241035,3945554
Pinus_rigida,241044,3942528
Pinus_rigida,241078,3927270
Pinus_rigida,241222,3945413
Pinus_rigida,241276,3927296
Pinus_rigida,241294,3941596
Pinus_rigida,241294,3941597
Pinus_rigida,241357,3944761
Pinus_rigida,241515,3944887
Pinus_rigida,241535,3942550
Pinus_rigida,241898,3943580
Pinus_rigida,241934,3945075
Pinus_rigida,242026,3944066
Pinus_rigida,242086,3942798
Pinus_rigida,242086,3944903
Pinus_rigida,242116,3934588
Pinus_rigida,242128,3942641
Pinus_rigida,242138,3944293
Pinus_rigida,242216,3950188
Pinus_rigida,242224,3943337
Pinus_rigida,242316,3938658
Pinus_rigida,242504,3939395
Pinus_rigida,242516,3938808
Pinus_rigida,242621,3937150
Pinus_rigida,242622,3937150
Pinus_rigida,242660,3936177
Pinus_rigida,242707,3937309
Pinus_rigida,242716,3937668
Pinus_rigida,242734,3937656
Pinus_rigida,242735,3937657
Pinus_rigida,242802,3942181
Pinus_rigida,242804,3939405
Pinus_rigida,243156,3943688
Pinus_rigida,243398,3951200
Pinus_rigida,243448,3930984
Pinus_rigida,243529,3937849
Pinus_rigida,243596,3951319
Pinus_rigida,243668,3950413
Pinus_rigida,243717,3950621
Pinus_rigida,243752,3950807
Pinus_rigida,243799,3937602
Pinus_rigida,243858,3944749
Pinus_rigida,243902,3944663
Pinus_rigida,244054,3944375
Pinus_rigida,244067,3944677
Pinus_rigida,244093,3931084
Pinus_rigida,244132,3944575
Pinus_rigida,244181,3944877
Pinus_rigida,244276,3949777
Pinus_rigida,244298,3945266
Pinus_rigida,244331,3949680
Pinus_rigida,244540,3937723
Pinus_rigida,244549,3948644
Pinus_rigida,244589,3937700
Pinus_rigida,244597,3937475
Pinus_rigida,244638,3944623
Pinus_rigida,244708,3948427
Pinus_rigida,244785,3948936
Pinus_rigida,244791,3948937
Pinus_rigida,244792,3949487
Pinus_rigida,244812,3943094
Pinus_rigida,245004,3937321
Pinus_rigida,245109,3937591
Pinus_rigida,245150,3943635
Pinus_rigida,245172,3944049
Pinus_rigida,245173,3945748
Pinus_rigida,245179,3945874
Pinus_rigida,245200,3937478
Pinus_rigida,245291,3946589
Pinus_rigida,245345,3945912
Pinus_rigida,245382,3945554
Pinus_rigida,245408,3927948
Pinus_rigida,245695,3942114
Pinus_rigida,245739,3928224
Pinus_rigida,245759,3947060
Pinus_rigida,245814,3944430
Pinus_rigida,245872,3944169
Pinus_rigida,245966,3947935
Pinus_rigida,246116,3944408
Pinus_rigida,246187,3947985
Pinus_rigida,246231,3945368
Pinus_rigida,246278,3947833
Pinus_rigida,246346,3945383
Pinus_rigida,246390,3947667
Pinus_rigida,246416,3943788
Pinus_rigida,246508,3945837
Pinus_rigida,246515,3927975
Pinus_rigida,246716,3945938
Pinus_rigida,246898,3946070
Pinus_rigida,246980,3929489
Pinus_rigida,247107,3947259
Pinus_rigida,247135,3946176
Pinus_rigida,247152,3944400
Pinus_rigida,247316,3942548
Pinus_rigida,247366,3942940
Pinus_rigida,247461,3944110
Pinus_rigida,247492,3944088
Pinus_rigida,247510,3942888
Pinus_rigida,247762,3944406
Pinus_rigida,247776,3943228
Pinus_rigida,247881,3942923
Pinus_rigida,248213,3942644
Pinus_rigida,248498,3930466
Pinus_rigida,248651,3945631
Pinus_rigida,248719,3944371
Pinus_rigida,248826,3944858
Pinus_rigida,248899,3939217
Pinus_rigida,249000,3944759
Pinus_rigida,249068,3939042
Pinus_rigida,249096,3941267
Pinus_rigida,249096,3941288
Pinus_rigida,249107,3944853
Pinus_rigida,249207,3942312
Pinus_rigida,249340,3943458
Pinus_rigida,249368,3942638
Pinus_rigida,249487,3940788
Pinus_rigida,249536,3940798
Pinus_rigida,249985,3943386
Pinus_rigida,250028,3942792
Pinus_rigida,250132,3932946
Pinus_rigida,250138,3946520
Pinus_rigida,250256,3947595
Pinus_rigida,250892,3947699
Pinus_rigida,250937,3947748
Pinus_rigida,251102,3947907
Pinus_rigida,251232,3944113
Pinus_rigida,251387,3947721
Pinus_rigida,251416,3944008
Pinus_rigida,251416,3944108
Pinus_rigida,251419,3947640
Pinus_rigida,251528,3944135
