Species,x,y
Polia_detracta,238544,3933980
Polia_detracta,239142,3928653
Polia_detracta,239253,3928719
Polia_detracta,239289,3934314
Polia_detracta,244121,3927396
Polia_detracta,244121,3927397
Polia_detracta,245076,3943259
Polia_detracta,248438,3943416
Polia_detracta,248536,3943119
Polia_detracta,251770,3926404
Polia_detracta,251770,3926405
Polia_detracta,252302,3939029
Polia_detracta,253047,3928774
Polia_detracta,253047,3928775
Polia_detracta,256521,3947351
Polia_detracta,263275,3925149
Polia_detracta,263275,3925150
Polia_detracta,263903,3947885
Polia_detracta,263919,3948094
Polia_detracta,263946,3947793
Polia_detracta,263946,3947795
Polia_detracta,263962,3948002
Polia_detracta,263962,3948004
Polia_detracta,264146,3947812
Polia_detracta,264162,3948021
Polia_detracta,267754,3927974
Polia_detracta,267754,3927975
Polia_detracta,268504,3926530
Polia_detracta,270419,3952088
Polia_detracta,274071,3926410
Polia_detracta,276176,3951140
Polia_detracta,280456,3941998
Polia_detracta,282686,3940320
Polia_detracta,282711,3940265
Polia_detracta,284081,3953721
Polia_detracta,284340,3954737
Polia_detracta,286398,3940466
Polia_detracta,289947,3937460
Polia_detracta,290364,3937609
Polia_detracta,291499,3931811
Polia_detracta,291781,3932248
Polia_detracta,291888,3932912
Polia_detracta,298142,3964955
Polia_detracta,298425,3965061
Polia_detracta,299884,3961587
Polia_detracta,300363,3966793
Polia_detracta,302279,3938314
Polia_detracta,302296,3938524
Polia_detracta,302832,3968069
Polia_detracta,304142,3937696
Polia_detracta,304148,3962020
Polia_detracta,304159,3937906
Polia_detracta,307827,3943480
Polia_detracta,309173,3952488
Polia_detracta,309517,3952830
Polia_detracta,311516,3938580
Polia_detracta,311970,3939947
Polia_detracta,312007,3939804
Polia_detracta,312149,3939847
Polia_detracta,312166,3940057
Polia_detracta,312180,3940009
Polia_detracta,312477,3939249
Polia_detracta,313360,3945702
Polia_detracta,313389,3945726
Polia_detracta,314012,3946370
Polia_detracta,314385,3945734
Polia_detracta,314692,3945565
