Species,x,y
Polycentropus_maculatus,241816,3930016
Polycentropus_maculatus,242922,3941187
Polycentropus_maculatus,242977,3941423
Polycentropus_maculatus,243069,3936733
Polycentropus_maculatus,244466,3946059
Polycentropus_maculatus,245076,3943259
Polycentropus_maculatus,249334,3943119
Polycentropus_maculatus,251215,3932563
Polycentropus_maculatus,251626,3940619
Polycentropus_maculatus,257972,3943822
Polycentropus_maculatus,258797,3932051
Polycentropus_maculatus,260075,3933279
Polycentropus_maculatus,261609,3949861
Polycentropus_maculatus,264208,3935586
Polycentropus_maculatus,264901,3929963
Polycentropus_maculatus,265837,3936542
Polycentropus_maculatus,269696,3943748
Polycentropus_maculatus,270471,3952326
Polycentropus_maculatus,273803,3951997
Polycentropus_maculatus,273826,3952003
Polycentropus_maculatus,273892,3935671
Polycentropus_maculatus,276176,3951140
Polycentropus_maculatus,276972,3951242
Polycentropus_maculatus,278086,3945649
Polycentropus_maculatus,278096,3945648
Polycentropus_maculatus,282341,3956562
Polycentropus_maculatus,282686,3940320
Polycentropus_maculatus,282925,3951142
Polycentropus_maculatus,283159,3952196
Polycentropus_maculatus,283178,3951714
Polycentropus_maculatus,288275,3938480
Polycentropus_maculatus,299272,3957771
Polycentropus_maculatus,299603,3962004
Polycentropus_maculatus,299920,3961563
Polycentropus_maculatus,300416,3958917
Polycentropus_maculatus,309517,3952830
