Species,x,y
Polygonatum_biflorum,228105,3938898
Polygonatum_biflorum,229056,3938781
Polygonatum_biflorum,229464,3936068
Polygonatum_biflorum,229832,3935348
Polygonatum_biflorum,232621,3933175
Polygonatum_biflorum,232755,3933168
Polygonatum_biflorum,232997,3933536
Polygonatum_biflorum,234735,3941258
Polygonatum_biflorum,236147,3942606
Polygonatum_biflorum,236951,3945042
Polygonatum_biflorum,237271,3944800
Polygonatum_biflorum,239314,3950720
Polygonatum_biflorum,239863,3935855
Polygonatum_biflorum,240059,3935680
Polygonatum_biflorum,240341,3943404
Polygonatum_biflorum,240372,3929025
Polygonatum_biflorum,240778,3938142
Polygonatum_biflorum,240791,3941644
Polygonatum_biflorum,240990,3945596
Polygonatum_biflorum,241182,3934669
Polygonatum_biflorum,242141,3934592
Polygonatum_biflorum,242350,3934601
Polygonatum_biflorum,242856,3937445
Polygonatum_biflorum,242856,3937446
Polygonatum_biflorum,242972,3940736
Polygonatum_biflorum,243135,3936330
Polygonatum_biflorum,243144,3934897
Polygonatum_biflorum,243268,3936814
Polygonatum_biflorum,243396,3936648
Polygonatum_biflorum,243400,3936788
Polygonatum_biflorum,243416,3936640
Polygonatum_biflorum,243529,3937849
Polygonatum_biflorum,244132,3943685
Polygonatum_biflorum,244733,3934868
Polygonatum_biflorum,244969,3956295
Polygonatum_biflorum,245234,3934719
Polygonatum_biflorum,245660,3928228
Polygonatum_biflorum,245690,3936871
Polygonatum_biflorum,245691,3936871
Polygonatum_biflorum,245726,3948128
Polygonatum_biflorum,245741,3939623
Polygonatum_biflorum,245836,3947998
Polygonatum_biflorum,245859,3948407
Polygonatum_biflorum,245878,3936746
Polygonatum_biflorum,245892,3948077
Polygonatum_biflorum,245896,3936731
Polygonatum_biflorum,245916,3948308
Polygonatum_biflorum,246829,3929426
Polygonatum_biflorum,247733,3936339
Polygonatum_biflorum,248030,3941811
Polygonatum_biflorum,248262,3928863
Polygonatum_biflorum,249070,3939250
Polygonatum_biflorum,249257,3941292
Polygonatum_biflorum,249448,3940682
Polygonatum_biflorum,249694,3938985
Polygonatum_biflorum,249758,3945747
Polygonatum_biflorum,250216,3947398
Polygonatum_biflorum,250299,3934607
Polygonatum_biflorum,250306,3947658
Polygonatum_biflorum,250415,3936299
Polygonatum_biflorum,250565,3939021
Polygonatum_biflorum,250938,3947415
Polygonatum_biflorum,250946,3947358
Polygonatum_biflorum,252639,3946375
Polygonatum_biflorum,253450,3929582
Polygonatum_biflorum,254190,3932857
Polygonatum_biflorum,254540,3950031
Polygonatum_biflorum,257529,3934111
Polygonatum_biflorum,257818,3926133
Polygonatum_biflorum,257988,3924949
Polygonatum_biflorum,257989,3924977
Polygonatum_biflorum,258001,3924961
Polygonatum_biflorum,258770,3943500
Polygonatum_biflorum,258937,3943587
Polygonatum_biflorum,259156,3943357
Polygonatum_biflorum,259268,3944410
Polygonatum_biflorum,259746,3943889
Polygonatum_biflorum,259746,3943890
Polygonatum_biflorum,259746,3943891
Polygonatum_biflorum,260276,3941969
Polygonatum_biflorum,260388,3941609
Polygonatum_biflorum,260389,3941610
Polygonatum_biflorum,260391,3940890
Polygonatum_biflorum,260392,3940891
Polygonatum_biflorum,260396,3940889
Polygonatum_biflorum,260396,3941619
Polygonatum_biflorum,260442,3941728
Polygonatum_biflorum,260442,3941729
Polygonatum_biflorum,260446,3941739
Polygonatum_biflorum,260622,3941157
Polygonatum_biflorum,260679,3941217
Polygonatum_biflorum,260686,3941209
Polygonatum_biflorum,260865,3941272
Polygonatum_biflorum,261116,3942709
Polygonatum_biflorum,261124,3942711
Polygonatum_biflorum,261125,3942711
Polygonatum_biflorum,261199,3939414
Polygonatum_biflorum,261214,3939690
Polygonatum_biflorum,261214,3939691
Polygonatum_biflorum,261222,3939413
Polygonatum_biflorum,261273,3939583
Polygonatum_biflorum,261273,3939584
Polygonatum_biflorum,261384,3943700
Polygonatum_biflorum,264264,3934246
Polygonatum_biflorum,268979,3927117
Polygonatum_biflorum,269405,3927298
Polygonatum_biflorum,269595,3926720
Polygonatum_biflorum,269648,3943851
Polygonatum_biflorum,269665,3927376
Polygonatum_biflorum,270850,3927442
Polygonatum_biflorum,271325,3926860
Polygonatum_biflorum,271425,3927985
Polygonatum_biflorum,272226,3928789
Polygonatum_biflorum,272234,3928678
Polygonatum_biflorum,272264,3932824
Polygonatum_biflorum,272374,3929275
Polygonatum_biflorum,272379,3930286
Polygonatum_biflorum,272481,3929694
Polygonatum_biflorum,272530,3930846
Polygonatum_biflorum,272891,3930373
Polygonatum_biflorum,272901,3929908
Polygonatum_biflorum,273121,3931597
Polygonatum_biflorum,273661,3930944
Polygonatum_biflorum,273899,3953773
Polygonatum_biflorum,273977,3931238
Polygonatum_biflorum,274286,3946474
Polygonatum_biflorum,274355,3932086
Polygonatum_biflorum,275026,3950105
Polygonatum_biflorum,275393,3932376
Polygonatum_biflorum,275696,3932804
Polygonatum_biflorum,276468,3951483
Polygonatum_biflorum,276587,3933733
Polygonatum_biflorum,276792,3934907
Polygonatum_biflorum,276880,3936399
Polygonatum_biflorum,277166,3951475
Polygonatum_biflorum,277207,3934881
Polygonatum_biflorum,278935,3943585
Polygonatum_biflorum,279685,3950548
Polygonatum_biflorum,281168,3951709
Polygonatum_biflorum,282996,3956635
Polygonatum_biflorum,283048,3951067
Polygonatum_biflorum,291059,3936105
Polygonatum_biflorum,291483,3936424
Polygonatum_biflorum,292082,3935379
Polygonatum_biflorum,297964,3943734
Polygonatum_biflorum,299340,3944456
Polygonatum_biflorum,301704,3959959
Polygonatum_biflorum,302238,3943574
Polygonatum_biflorum,304279,3945619
Polygonatum_biflorum,304537,3936832
Polygonatum_biflorum,306165,3940467
Polygonatum_biflorum,307159,3942022
Polygonatum_biflorum,307963,3942450
Polygonatum_biflorum,308017,3943010
Polygonatum_biflorum,308155,3957508
Polygonatum_biflorum,310567,3944010
Polygonatum_biflorum,311418,3940064
Polygonatum_biflorum,314117,3946710
