Species,x,y
Prodiamesa_olivacea,239485,3929208
Prodiamesa_olivacea,253226,3928829
Prodiamesa_olivacea,254189,3948005
Prodiamesa_olivacea,257576,3936109
Prodiamesa_olivacea,258706,3932159
Prodiamesa_olivacea,259146,3942589
Prodiamesa_olivacea,259266,3940699
Prodiamesa_olivacea,261145,3950756
Prodiamesa_olivacea,262426,3935039
Prodiamesa_olivacea,266856,3928449
Prodiamesa_olivacea,267386,3941879
Prodiamesa_olivacea,268866,3947259
Prodiamesa_olivacea,271186,3935119
Prodiamesa_olivacea,271546,3954110
Prodiamesa_olivacea,273736,3952050
Prodiamesa_olivacea,275276,3953100
Prodiamesa_olivacea,276270,3945424
Prodiamesa_olivacea,279966,3930059
Prodiamesa_olivacea,282146,3932640
Prodiamesa_olivacea,282946,3948800
Prodiamesa_olivacea,289796,3942740
Prodiamesa_olivacea,296285,3960275
Prodiamesa_olivacea,300176,3959720
Prodiamesa_olivacea,302797,3936620
Prodiamesa_olivacea,303247,3947510
Prodiamesa_olivacea,303367,3937090
Prodiamesa_olivacea,303437,3936160
Prodiamesa_olivacea,304267,3947170
Prodiamesa_olivacea,305067,3945610
Prodiamesa_olivacea,308216,3959320
Prodiamesa_olivacea,308657,3944560
Prodiamesa_olivacea,312384,3948991
