Species,x,y
Pseudohermonassa_bicarnea,240106,3934601
Pseudohermonassa_bicarnea,245079,3943452
Pseudohermonassa_bicarnea,248438,3943416
Pseudohermonassa_bicarnea,248532,3943687
Pseudohermonassa_bicarnea,256521,3947351
Pseudohermonassa_bicarnea,266239,3947971
Pseudohermonassa_bicarnea,266434,3948640
Pseudohermonassa_bicarnea,274457,3946720
Pseudohermonassa_bicarnea,275064,3938759
Pseudohermonassa_bicarnea,275151,3938635
Pseudohermonassa_bicarnea,275271,3946969
Pseudohermonassa_bicarnea,276224,3940997
Pseudohermonassa_bicarnea,280351,3943512
Pseudohermonassa_bicarnea,282396,3956671
Pseudohermonassa_bicarnea,283068,3939671
Pseudohermonassa_bicarnea,291133,3931709
Pseudohermonassa_bicarnea,291499,3931811
Pseudohermonassa_bicarnea,291781,3932248
Pseudohermonassa_bicarnea,291888,3932912
Pseudohermonassa_bicarnea,298425,3965061
Pseudohermonassa_bicarnea,303690,3936615
Pseudohermonassa_bicarnea,311516,3938580
Pseudohermonassa_bicarnea,311854,3946009
Pseudohermonassa_bicarnea,312007,3939804
Pseudohermonassa_bicarnea,312124,3939816
Pseudohermonassa_bicarnea,312141,3939888
Pseudohermonassa_bicarnea,312149,3939847
Pseudohermonassa_bicarnea,312166,3940057
Pseudohermonassa_bicarnea,312180,3940009
Pseudohermonassa_bicarnea,312477,3939249
Pseudohermonassa_bicarnea,312841,3939962
