Species,x,y
Pteridium_aquilinum,228671,3938902
Pteridium_aquilinum,228740,3938484
Pteridium_aquilinum,228797,3938338
Pteridium_aquilinum,228869,3937761
Pteridium_aquilinum,228884,3937815
Pteridium_aquilinum,228907,3937474
Pteridium_aquilinum,229010,3936840
Pteridium_aquilinum,229028,3936705
Pteridium_aquilinum,229047,3936851
Pteridium_aquilinum,229107,3936477
Pteridium_aquilinum,229299,3935484
Pteridium_aquilinum,229299,3935543
Pteridium_aquilinum,229384,3935468
Pteridium_aquilinum,229402,3934880
Pteridium_aquilinum,229821,3936853
Pteridium_aquilinum,229912,3935024
Pteridium_aquilinum,229913,3935026
Pteridium_aquilinum,230126,3934847
Pteridium_aquilinum,230199,3934736
Pteridium_aquilinum,230222,3934763
Pteridium_aquilinum,230607,3934434
Pteridium_aquilinum,230742,3934274
Pteridium_aquilinum,230982,3934072
Pteridium_aquilinum,231015,3934089
Pteridium_aquilinum,231274,3933823
Pteridium_aquilinum,231597,3933597
Pteridium_aquilinum,231962,3933235
Pteridium_aquilinum,232621,3933175
Pteridium_aquilinum,232664,3932680
Pteridium_aquilinum,232694,3932608
Pteridium_aquilinum,232755,3933168
Pteridium_aquilinum,232997,3933536
Pteridium_aquilinum,233145,3933578
Pteridium_aquilinum,233155,3933628
Pteridium_aquilinum,233385,3936168
Pteridium_aquilinum,233415,3936238
Pteridium_aquilinum,234135,3940968
Pteridium_aquilinum,234227,3931049
Pteridium_aquilinum,234259,3931071
Pteridium_aquilinum,234365,3941058
Pteridium_aquilinum,234370,3936005
Pteridium_aquilinum,234375,3941008
Pteridium_aquilinum,234425,3941088
Pteridium_aquilinum,234435,3941178
Pteridium_aquilinum,234474,3930637
Pteridium_aquilinum,234505,3930660
Pteridium_aquilinum,234515,3941158
Pteridium_aquilinum,234515,3941208
Pteridium_aquilinum,234545,3941108
Pteridium_aquilinum,234595,3930436
Pteridium_aquilinum,234635,3939628
Pteridium_aquilinum,234735,3941258
Pteridium_aquilinum,234803,3930086
Pteridium_aquilinum,234829,3930115
Pteridium_aquilinum,234946,3940496
Pteridium_aquilinum,235015,3936208
Pteridium_aquilinum,235050,3929668
Pteridium_aquilinum,235071,3943664
Pteridium_aquilinum,235112,3929651
Pteridium_aquilinum,235201,3929519
Pteridium_aquilinum,235215,3943228
Pteridium_aquilinum,235289,3937966
Pteridium_aquilinum,235335,3943168
Pteridium_aquilinum,235418,3929386
Pteridium_aquilinum,235562,3949713
Pteridium_aquilinum,235940,3936198
Pteridium_aquilinum,235995,3942508
Pteridium_aquilinum,236015,3939208
Pteridium_aquilinum,236115,3942528
Pteridium_aquilinum,236147,3942606
Pteridium_aquilinum,237015,3937208
Pteridium_aquilinum,237059,3928666
