Species,x,y
Pycnopsyche_antica,231183,3942401
Pycnopsyche_antica,231279,3942576
Pycnopsyche_antica,234180,3944030
Pycnopsyche_antica,241428,3942384
Pycnopsyche_antica,241446,3942374
Pycnopsyche_antica,241491,3942388
Pycnopsyche_antica,242213,3942561
Pycnopsyche_antica,242229,3940735
Pycnopsyche_antica,242393,3942514
Pycnopsyche_antica,244466,3946059
Pycnopsyche_antica,245076,3943259
Pycnopsyche_antica,247311,3942442
Pycnopsyche_antica,247447,3943781
Pycnopsyche_antica,248536,3943119
Pycnopsyche_antica,254884,3949338
Pycnopsyche_antica,256516,3947509
Pycnopsyche_antica,257264,3946609
Pycnopsyche_antica,261385,3956323
Pycnopsyche_antica,263061,3958055
Pycnopsyche_antica,263148,3957942
Pycnopsyche_antica,264633,3955904
Pycnopsyche_antica,265526,3949769
Pycnopsyche_antica,266378,3956857
Pycnopsyche_antica,272416,3929229
Pycnopsyche_antica,278086,3945649
Pycnopsyche_antica,278096,3945648
Pycnopsyche_antica,278290,3945214
Pycnopsyche_antica,283159,3952196
Pycnopsyche_antica,284454,3954161
Pycnopsyche_antica,284646,3954133
Pycnopsyche_antica,289947,3937460
Pycnopsyche_antica,291838,3932414
Pycnopsyche_antica,291909,3933120
Pycnopsyche_antica,299603,3962004
Pycnopsyche_antica,299920,3961563
Pycnopsyche_antica,307827,3943480
