Species,x,y
Pyrularia_pubera,228435,3938958
Pyrularia_pubera,228466,3935268
Pyrularia_pubera,228535,3938968
Pyrularia_pubera,228835,3938698
Pyrularia_pubera,229402,3934880
Pyrularia_pubera,229515,3934907
Pyrularia_pubera,229565,3934879
Pyrularia_pubera,229590,3934888
Pyrularia_pubera,229626,3935920
Pyrularia_pubera,229953,3933612
Pyrularia_pubera,230264,3934567
Pyrularia_pubera,230366,3939180
Pyrularia_pubera,230405,3937824
Pyrularia_pubera,230525,3938746
Pyrularia_pubera,230588,3938934
Pyrularia_pubera,231597,3933597
Pyrularia_pubera,234049,3940888
Pyrularia_pubera,234135,3940968
Pyrularia_pubera,234325,3939788
Pyrularia_pubera,234360,3943967
Pyrularia_pubera,234435,3941178
Pyrularia_pubera,234627,3939512
Pyrularia_pubera,234635,3939628
Pyrularia_pubera,234885,3939772
Pyrularia_pubera,234946,3940496
Pyrularia_pubera,235032,3940477
Pyrularia_pubera,235071,3943664
Pyrularia_pubera,235122,3941046
Pyrularia_pubera,235280,3944031
Pyrularia_pubera,235315,3945788
Pyrularia_pubera,235323,3941089
Pyrularia_pubera,235528,3943176
Pyrularia_pubera,235665,3938428
Pyrularia_pubera,236041,3943073
Pyrularia_pubera,236898,3942881
Pyrularia_pubera,237463,3937106
Pyrularia_pubera,238426,3945758
Pyrularia_pubera,238761,3931181
Pyrularia_pubera,238894,3946211
Pyrularia_pubera,239118,3946109
Pyrularia_pubera,239211,3930995
Pyrularia_pubera,239325,3950068
Pyrularia_pubera,239503,3938490
Pyrularia_pubera,239522,3931523
Pyrularia_pubera,239530,3929175
Pyrularia_pubera,239593,3938635
Pyrularia_pubera,239670,3929604
Pyrularia_pubera,239723,3929913
Pyrularia_pubera,239778,3946250
Pyrularia_pubera,239859,3930787
Pyrularia_pubera,239895,3930774
Pyrularia_pubera,240019,3929105
Pyrularia_pubera,240059,3935680
Pyrularia_pubera,240123,3930610
Pyrularia_pubera,240171,3938505
Pyrularia_pubera,240172,3938506
Pyrularia_pubera,240190,3941880
Pyrularia_pubera,240190,3941881
Pyrularia_pubera,240192,3930624
Pyrularia_pubera,240588,3941799
Pyrularia_pubera,240612,3945879
Pyrularia_pubera,240739,3929134
Pyrularia_pubera,240827,3942134
Pyrularia_pubera,240827,3942135
Pyrularia_pubera,240891,3942755
Pyrularia_pubera,241044,3942528
Pyrularia_pubera,241224,3944488
Pyrularia_pubera,241294,3941596
Pyrularia_pubera,241294,3941597
Pyrularia_pubera,241298,3942911
Pyrularia_pubera,241566,3944885
Pyrularia_pubera,241665,3933375
Pyrularia_pubera,241822,3945063
Pyrularia_pubera,241823,3945064
Pyrularia_pubera,242014,3935761
Pyrularia_pubera,242016,3935768
Pyrularia_pubera,242116,3934588
Pyrularia_pubera,242136,3936328
Pyrularia_pubera,242140,3934591
Pyrularia_pubera,242141,3934592
Pyrularia_pubera,242224,3944586
Pyrularia_pubera,242350,3934601
Pyrularia_pubera,242372,3934603
Pyrularia_pubera,242556,3936739
Pyrularia_pubera,242606,3936850
Pyrularia_pubera,242607,3936850
Pyrularia_pubera,242621,3937150
Pyrularia_pubera,242622,3930514
Pyrularia_pubera,242622,3937150
Pyrularia_pubera,242660,3936177
Pyrularia_pubera,242682,3936351
Pyrularia_pubera,242696,3937908
Pyrularia_pubera,242697,3937905
Pyrularia_pubera,242745,3934746
Pyrularia_pubera,242908,3939463
Pyrularia_pubera,243046,3937718
Pyrularia_pubera,243046,3937766
Pyrularia_pubera,243066,3937368
Pyrularia_pubera,243074,3937330
Pyrularia_pubera,243079,3937768
Pyrularia_pubera,243083,3937347
Pyrularia_pubera,243084,3937347
Pyrularia_pubera,243115,3937767
Pyrularia_pubera,243134,3936330
Pyrularia_pubera,243135,3936330
Pyrularia_pubera,243140,3936489
Pyrularia_pubera,243141,3936490
Pyrularia_pubera,243166,3937008
Pyrularia_pubera,243182,3937020
Pyrularia_pubera,243213,3936404
Pyrularia_pubera,243214,3936404
Pyrularia_pubera,243266,3936798
Pyrularia_pubera,243267,3936814
Pyrularia_pubera,243268,3936814
Pyrularia_pubera,243345,3936740
Pyrularia_pubera,243345,3936741
Pyrularia_pubera,243376,3936808
Pyrularia_pubera,243396,3936648
Pyrularia_pubera,243399,3936788
Pyrularia_pubera,243400,3936788
Pyrularia_pubera,243416,3936640
Pyrularia_pubera,243466,3936469
Pyrularia_pubera,243467,3936469
Pyrularia_pubera,243529,3937849
Pyrularia_pubera,243705,3936260
Pyrularia_pubera,243799,3937602
Pyrularia_pubera,243978,3937628
