Species,x,y
Quercus_rubra,228105,3938898
Quercus_rubra,228435,3938958
Quercus_rubra,228464,3937022
Quercus_rubra,228466,3935268
Quercus_rubra,228535,3938968
Quercus_rubra,228671,3938902
Quercus_rubra,228818,3936066
Quercus_rubra,228835,3938698
Quercus_rubra,229028,3936705
Quercus_rubra,229058,3938836
Quercus_rubra,229399,3934883
Quercus_rubra,229534,3934904
Quercus_rubra,229769,3935661
Quercus_rubra,229970,3935103
Quercus_rubra,229970,3935758
Quercus_rubra,229974,3934729
Quercus_rubra,230116,3934033
Quercus_rubra,230173,3935804
Quercus_rubra,230294,3939510
Quercus_rubra,230307,3939034
Quercus_rubra,230366,3939180
Quercus_rubra,230369,3939596
Quercus_rubra,230402,3934339
Quercus_rubra,230482,3938516
Quercus_rubra,230525,3938746
Quercus_rubra,230588,3938934
Quercus_rubra,230876,3939208
Quercus_rubra,232621,3933175
Quercus_rubra,232755,3933168
Quercus_rubra,233145,3933578
Quercus_rubra,233155,3933628
Quercus_rubra,233653,3936187
Quercus_rubra,234049,3940888
Quercus_rubra,234135,3940968
Quercus_rubra,234220,3932696
Quercus_rubra,234325,3939788
Quercus_rubra,234335,3944268
Quercus_rubra,234360,3943967
Quercus_rubra,234365,3941058
Quercus_rubra,234370,3936005
Quercus_rubra,234425,3941088
Quercus_rubra,234435,3941178
Quercus_rubra,234545,3941108
Quercus_rubra,234627,3939512
Quercus_rubra,234631,3930456
Quercus_rubra,234644,3940978
Quercus_rubra,234679,3933565
Quercus_rubra,234712,3934398
Quercus_rubra,234735,3941258
Quercus_rubra,234738,3934142
Quercus_rubra,234796,3945458
Quercus_rubra,234798,3935955
Quercus_rubra,234803,3930086
Quercus_rubra,234809,3941179
Quercus_rubra,234862,3941089
Quercus_rubra,234872,3939797
Quercus_rubra,234875,3945468
Quercus_rubra,234903,3940902
Quercus_rubra,234946,3940496
Quercus_rubra,235041,3944298
Quercus_rubra,235050,3929668
Quercus_rubra,235071,3943664
Quercus_rubra,235122,3941046
Quercus_rubra,235137,3944015
Quercus_rubra,235187,3944036
Quercus_rubra,235187,3944037
Quercus_rubra,235201,3929519
Quercus_rubra,235244,3942001
Quercus_rubra,235280,3944031
Quercus_rubra,235315,3945788
Quercus_rubra,235323,3941089
Quercus_rubra,235329,3939887
Quercus_rubra,235372,3942326
Quercus_rubra,235381,3947774
Quercus_rubra,235418,3929386
Quercus_rubra,235425,3938349
Quercus_rubra,235444,3942480
Quercus_rubra,235471,3943140
Quercus_rubra,235515,3929290
Quercus_rubra,235528,3943176
Quercus_rubra,235628,3938674
Quercus_rubra,235649,3945603
Quercus_rubra,235665,3938428
Quercus_rubra,235699,3939007
Quercus_rubra,235700,3943230
Quercus_rubra,235713,3939857
Quercus_rubra,235715,3940099
Quercus_rubra,235820,3938585
Quercus_rubra,235857,3939216
Quercus_rubra,235944,3935957
Quercus_rubra,235984,3948130
Quercus_rubra,235998,3938472
Quercus_rubra,236015,3939208
Quercus_rubra,236147,3942606
Quercus_rubra,236171,3948071
Quercus_rubra,236200,3936044
Quercus_rubra,236437,3936147
Quercus_rubra,236647,3948216
Quercus_rubra,236858,3947239
Quercus_rubra,236898,3942881
Quercus_rubra,237015,3936434
Quercus_rubra,237059,3928666
Quercus_rubra,237087,3936426
Quercus_rubra,237087,3943897
Quercus_rubra,237092,3937750
Quercus_rubra,237114,3947557
Quercus_rubra,237152,3944933
Quercus_rubra,237281,3937532
Quercus_rubra,237281,3947556
Quercus_rubra,237338,3936398
Quercus_rubra,237463,3937106
Quercus_rubra,237562,3936121
Quercus_rubra,237581,3937325
Quercus_rubra,237587,3947501
Quercus_rubra,237624,3936788
Quercus_rubra,237693,3937159
Quercus_rubra,237764,3936770
Quercus_rubra,237823,3947372
Quercus_rubra,237848,3948137
Quercus_rubra,237930,3937174
Quercus_rubra,238015,3936208
Quercus_rubra,238083,3942153
Quercus_rubra,238114,3948485
Quercus_rubra,238170,3937211
Quercus_rubra,238191,3946924
Quercus_rubra,238296,3941874
Quercus_rubra,238309,3946732
Quercus_rubra,238422,3945701
Quercus_rubra,238426,3945758
Quercus_rubra,238547,3934091
Quercus_rubra,238592,3933689
Quercus_rubra,238604,3934083
Quercus_rubra,238609,3945910
Quercus_rubra,238675,3941694
Quercus_rubra,238695,3949328
Quercus_rubra,238733,3944547
Quercus_rubra,238735,3936086
Quercus_rubra,238738,3946119
Quercus_rubra,238742,3933537
Quercus_rubra,238748,3934284
Quercus_rubra,238757,3933175
Quercus_rubra,238760,3946346
Quercus_rubra,238779,3928635
Quercus_rubra,238795,3935881
Quercus_rubra,238818,3936203
Quercus_rubra,238818,3936373
Quercus_rubra,238824,3933403
Quercus_rubra,238857,3931254
Quercus_rubra,238894,3946211
Quercus_rubra,238914,3946267
Quercus_rubra,238925,3934421
Quercus_rubra,238977,3935732
Quercus_rubra,238989,3933097
Quercus_rubra,239002,3928774
Quercus_rubra,239063,3931306
Quercus_rubra,239118,3946109
Quercus_rubra,239121,3935615
Quercus_rubra,239141,3944642
Quercus_rubra,239153,3932570
Quercus_rubra,239156,3934434
Quercus_rubra,239183,3935425
Quercus_rubra,239207,3933067
Quercus_rubra,239209,3932760
Quercus_rubra,239210,3928910
Quercus_rubra,239211,3930995
Quercus_rubra,239227,3928238
Quercus_rubra,239260,3932407
Quercus_rubra,239309,3932904
Quercus_rubra,239353,3928113
Quercus_rubra,239357,3934520
Quercus_rubra,239366,3930955
Quercus_rubra,239384,3932170
Quercus_rubra,239409,3946074
Quercus_rubra,239420,3930937
Quercus_rubra,239421,3946710
Quercus_rubra,239431,3932297
Quercus_rubra,239503,3938490
Quercus_rubra,239507,3929189
Quercus_rubra,239516,3930875
Quercus_rubra,239522,3931523
Quercus_rubra,239545,3931692
Quercus_rubra,239572,3929478
Quercus_rubra,239574,3946144
Quercus_rubra,239587,3934646
Quercus_rubra,239593,3938635
Quercus_rubra,239614,3931914
Quercus_rubra,239632,3935509
Quercus_rubra,239648,3929592
Quercus_rubra,239670,3929604
Quercus_rubra,239686,3944246
Quercus_rubra,239691,3929034
Quercus_rubra,239699,3930338
Quercus_rubra,239718,3934531
Quercus_rubra,239727,3930645
Quercus_rubra,239756,3927725
Quercus_rubra,239773,3932071
Quercus_rubra,239783,3934753
Quercus_rubra,239797,3932210
Quercus_rubra,239800,3947173
Quercus_rubra,239817,3938810
Quercus_rubra,239817,3938811
Quercus_rubra,239825,3937955
Quercus_rubra,239852,3935391
Quercus_rubra,239853,3928928
Quercus_rubra,239863,3935855
Quercus_rubra,239883,3935073
Quercus_rubra,239905,3934575
Quercus_rubra,239920,3941730
Quercus_rubra,239924,3934505
Quercus_rubra,239924,3934606
Quercus_rubra,239938,3927524
Quercus_rubra,240004,3935258
Quercus_rubra,240006,3929025
Quercus_rubra,240028,3935408
Quercus_rubra,240046,3938150
Quercus_rubra,240050,3929039
Quercus_rubra,240056,3934732
Quercus_rubra,240059,3935680
Quercus_rubra,240096,3945906
Quercus_rubra,240116,3935168
Quercus_rubra,240117,3930620
Quercus_rubra,240119,3935181
Quercus_rubra,240119,3935182
Quercus_rubra,240128,3947588
Quercus_rubra,240131,3934553
Quercus_rubra,240132,3934565
Quercus_rubra,240185,3938262
Quercus_rubra,240202,3938267
Quercus_rubra,240205,3929041
Quercus_rubra,240240,3934589
Quercus_rubra,240306,3947734
Quercus_rubra,240341,3943404
Quercus_rubra,240373,3938336
Quercus_rubra,240378,3934581
Quercus_rubra,240412,3938366
Quercus_rubra,240423,3930295
Quercus_rubra,240446,3947951
Quercus_rubra,240464,3943555
Quercus_rubra,240465,3930508
Quercus_rubra,240476,3934531
Quercus_rubra,240477,3934532
Quercus_rubra,240508,3930122
Quercus_rubra,240508,3943448
Quercus_rubra,240536,3938414
Quercus_rubra,240588,3941799
Quercus_rubra,240609,3934574
Quercus_rubra,240682,3929114
