Species,x,y
Rhyacophila_nigrita,238073,3948407
Rhyacophila_nigrita,239485,3929208
Rhyacophila_nigrita,242229,3940735
Rhyacophila_nigrita,242784,3941539
Rhyacophila_nigrita,243069,3936733
Rhyacophila_nigrita,248036,3930288
Rhyacophila_nigrita,249188,3938981
Rhyacophila_nigrita,250661,3941638
Rhyacophila_nigrita,250697,3941615
Rhyacophila_nigrita,251336,3946999
Rhyacophila_nigrita,251626,3940619
Rhyacophila_nigrita,252403,3945445
Rhyacophila_nigrita,252731,3929124
Rhyacophila_nigrita,253226,3928829
Rhyacophila_nigrita,254189,3948005
Rhyacophila_nigrita,254266,3932739
Rhyacophila_nigrita,254276,3932649
Rhyacophila_nigrita,256043,3947740
Rhyacophila_nigrita,256592,3946495
Rhyacophila_nigrita,256680,3946491
Rhyacophila_nigrita,257576,3936109
Rhyacophila_nigrita,257977,3943824
Rhyacophila_nigrita,258835,3940612
Rhyacophila_nigrita,259086,3940879
Rhyacophila_nigrita,259146,3942589
Rhyacophila_nigrita,259147,3942327
Rhyacophila_nigrita,259266,3940699
Rhyacophila_nigrita,262426,3935039
Rhyacophila_nigrita,264901,3929963
Rhyacophila_nigrita,264997,3929717
Rhyacophila_nigrita,265341,3928991
Rhyacophila_nigrita,266279,3956526
Rhyacophila_nigrita,266378,3956857
Rhyacophila_nigrita,266856,3928449
Rhyacophila_nigrita,267016,3942549
Rhyacophila_nigrita,267020,3957173
Rhyacophila_nigrita,267023,3957284
Rhyacophila_nigrita,267353,3927862
Rhyacophila_nigrita,267386,3941879
Rhyacophila_nigrita,267596,3929859
Rhyacophila_nigrita,267886,3931009
Rhyacophila_nigrita,268389,3957581
Rhyacophila_nigrita,268416,3933179
Rhyacophila_nigrita,268465,3957024
Rhyacophila_nigrita,268866,3947259
Rhyacophila_nigrita,269916,3934209
Rhyacophila_nigrita,271016,3944369
Rhyacophila_nigrita,271186,3935119
Rhyacophila_nigrita,272696,3936379
Rhyacophila_nigrita,273565,3952140
Rhyacophila_nigrita,273616,3952070
Rhyacophila_nigrita,273694,3952053
Rhyacophila_nigrita,273696,3951967
Rhyacophila_nigrita,273736,3952050
Rhyacophila_nigrita,273826,3952003
Rhyacophila_nigrita,274978,3939020
Rhyacophila_nigrita,275201,3938511
Rhyacophila_nigrita,275276,3953100
Rhyacophila_nigrita,276270,3945424
Rhyacophila_nigrita,277972,3945677
Rhyacophila_nigrita,278006,3945670
Rhyacophila_nigrita,279266,3935129
Rhyacophila_nigrita,280266,3940545
Rhyacophila_nigrita,280406,3934105
Rhyacophila_nigrita,281116,3944940
Rhyacophila_nigrita,281229,3942516
Rhyacophila_nigrita,281576,3950240
Rhyacophila_nigrita,282946,3948800
Rhyacophila_nigrita,285326,3941000
Rhyacophila_nigrita,285976,3940870
Rhyacophila_nigrita,286844,3961003
Rhyacophila_nigrita,288036,3939189
Rhyacophila_nigrita,288216,3938500
Rhyacophila_nigrita,288275,3938480
Rhyacophila_nigrita,288733,3954030
Rhyacophila_nigrita,289796,3942740
Rhyacophila_nigrita,292387,3933635
Rhyacophila_nigrita,292566,3961977
Rhyacophila_nigrita,293696,3956890
Rhyacophila_nigrita,293897,3945650
Rhyacophila_nigrita,293966,3957197
Rhyacophila_nigrita,294096,3957190
Rhyacophila_nigrita,294116,3959410
Rhyacophila_nigrita,294276,3948270
Rhyacophila_nigrita,295077,3946840
Rhyacophila_nigrita,295167,3943200
Rhyacophila_nigrita,295177,3944970
Rhyacophila_nigrita,295877,3943080
Rhyacophila_nigrita,296207,3943880
Rhyacophila_nigrita,296757,3946640
Rhyacophila_nigrita,296786,3964543
Rhyacophila_nigrita,297307,3940260
Rhyacophila_nigrita,299577,3944670
Rhyacophila_nigrita,299616,3958040
Rhyacophila_nigrita,300176,3959720
Rhyacophila_nigrita,301187,3957814
Rhyacophila_nigrita,302797,3936620
Rhyacophila_nigrita,303247,3947510
Rhyacophila_nigrita,303367,3937090
Rhyacophila_nigrita,303437,3936160
Rhyacophila_nigrita,303566,3936740
Rhyacophila_nigrita,303762,3936295
Rhyacophila_nigrita,304267,3947170
Rhyacophila_nigrita,304280,3947115
Rhyacophila_nigrita,305067,3945610
Rhyacophila_nigrita,305607,3945870
Rhyacophila_nigrita,307046,3956577
Rhyacophila_nigrita,307516,3961210
Rhyacophila_nigrita,308216,3959310
Rhyacophila_nigrita,308657,3944560
Rhyacophila_nigrita,308857,3957330
Rhyacophila_nigrita,309143,3958161
Rhyacophila_nigrita,311308,3945342
Rhyacophila_nigrita,312121,3939600
Rhyacophila_nigrita,312202,3940031
Rhyacophila_nigrita,312209,3939498
Rhyacophila_nigrita,312384,3948991
Rhyacophila_nigrita,312615,3940255
Rhyacophila_nigrita,313562,3940435
Rhyacophila_nigrita,314795,3945375
