Species,x,y
Rubus_canadensis,229691,3938762
Rubus_canadensis,229759,3938772
Rubus_canadensis,232621,3933175
Rubus_canadensis,232997,3933536
Rubus_canadensis,233653,3936187
Rubus_canadensis,234712,3934398
Rubus_canadensis,235122,3941046
Rubus_canadensis,235530,3940119
Rubus_canadensis,235665,3938428
Rubus_canadensis,236079,3939959
Rubus_canadensis,236147,3942606
Rubus_canadensis,237818,3942138
Rubus_canadensis,238547,3934091
Rubus_canadensis,239118,3946109
Rubus_canadensis,239863,3935855
Rubus_canadensis,239905,3934575
Rubus_canadensis,239924,3934606
Rubus_canadensis,240119,3935182
Rubus_canadensis,240127,3934536
Rubus_canadensis,240145,3934851
Rubus_canadensis,240240,3934589
Rubus_canadensis,240265,3943709
Rubus_canadensis,240473,3935625
Rubus_canadensis,240778,3938142
Rubus_canadensis,240791,3941644
Rubus_canadensis,240973,3934638
Rubus_canadensis,241054,3934911
Rubus_canadensis,241219,3941535
Rubus_canadensis,241220,3941536
Rubus_canadensis,241356,3941674
Rubus_canadensis,242116,3934588
Rubus_canadensis,242141,3934592
Rubus_canadensis,242319,3936164
Rubus_canadensis,242350,3934601
Rubus_canadensis,242716,3941992
Rubus_canadensis,242745,3934746
Rubus_canadensis,242752,3934750
Rubus_canadensis,243156,3943688
Rubus_canadensis,243333,3934829
Rubus_canadensis,244132,3943685
Rubus_canadensis,244136,3944352
Rubus_canadensis,244352,3934737
Rubus_canadensis,244733,3934868
Rubus_canadensis,244745,3935574
Rubus_canadensis,245266,3943708
Rubus_canadensis,245597,3936535
Rubus_canadensis,245695,3942114
Rubus_canadensis,246068,3937313
Rubus_canadensis,247233,3937000
Rubus_canadensis,247398,3937435
Rubus_canadensis,247733,3936339
Rubus_canadensis,247792,3937659
Rubus_canadensis,247916,3943008
Rubus_canadensis,248033,3937770
Rubus_canadensis,248491,3939583
Rubus_canadensis,248555,3935681
Rubus_canadensis,248730,3941262
Rubus_canadensis,248817,3938427
Rubus_canadensis,248844,3935307
Rubus_canadensis,248899,3939217
Rubus_canadensis,249061,3938998
Rubus_canadensis,249205,3939271
Rubus_canadensis,249257,3941292
Rubus_canadensis,249306,3941288
Rubus_canadensis,249307,3939001
Rubus_canadensis,249446,3939539
Rubus_canadensis,249447,3939540
Rubus_canadensis,249466,3939118
Rubus_canadensis,249480,3939116
Rubus_canadensis,249676,3938988
Rubus_canadensis,249693,3938984
Rubus_canadensis,249694,3938985
Rubus_canadensis,249741,3938518
Rubus_canadensis,249747,3939814
Rubus_canadensis,249762,3939230
Rubus_canadensis,249881,3939372
Rubus_canadensis,249962,3932794
Rubus_canadensis,250040,3941089
Rubus_canadensis,250068,3941029
Rubus_canadensis,250415,3936299
Rubus_canadensis,250530,3936489
Rubus_canadensis,250564,3939020
Rubus_canadensis,250565,3939021
Rubus_canadensis,250606,3939008
Rubus_canadensis,250916,3947008
Rubus_canadensis,251216,3946908
Rubus_canadensis,251696,3944108
Rubus_canadensis,252665,3939019
Rubus_canadensis,252850,3939060
Rubus_canadensis,253002,3938861
Rubus_canadensis,253024,3938831
Rubus_canadensis,253448,3938935
Rubus_canadensis,253528,3938962
Rubus_canadensis,253763,3938996
Rubus_canadensis,254029,3938986
Rubus_canadensis,254674,3939518
Rubus_canadensis,258770,3943500
Rubus_canadensis,258937,3943587
Rubus_canadensis,259267,3944410
Rubus_canadensis,259276,3944409
Rubus_canadensis,259710,3942348
Rubus_canadensis,259746,3943889
Rubus_canadensis,259746,3943890
Rubus_canadensis,260276,3941969
Rubus_canadensis,260388,3941609
Rubus_canadensis,260389,3941610
Rubus_canadensis,260391,3940890
Rubus_canadensis,260392,3940891
Rubus_canadensis,260396,3940889
Rubus_canadensis,260396,3941619
Rubus_canadensis,260442,3941728
Rubus_canadensis,260446,3941739
Rubus_canadensis,260515,3940957
Rubus_canadensis,260526,3940959
Rubus_canadensis,260622,3941157
Rubus_canadensis,260679,3941217
Rubus_canadensis,260680,3941218
Rubus_canadensis,260686,3939561
Rubus_canadensis,260686,3941209
Rubus_canadensis,260741,3941125
Rubus_canadensis,260741,3941126
Rubus_canadensis,260743,3939607
Rubus_canadensis,260865,3941272
Rubus_canadensis,260903,3941981
Rubus_canadensis,261125,3942711
Rubus_canadensis,261199,3939414
Rubus_canadensis,261214,3939690
Rubus_canadensis,261214,3939691
Rubus_canadensis,261222,3939413
Rubus_canadensis,261273,3939583
Rubus_canadensis,261273,3939584
Rubus_canadensis,261479,3942495
Rubus_canadensis,261620,3941147
Rubus_canadensis,261636,3941149
Rubus_canadensis,261672,3939564
Rubus_canadensis,261692,3939608
Rubus_canadensis,261704,3941361
Rubus_canadensis,262377,3931163
Rubus_canadensis,262550,3931686
Rubus_canadensis,262971,3931996
Rubus_canadensis,263603,3932408
Rubus_canadensis,265515,3935598
Rubus_canadensis,267242,3937543
Rubus_canadensis,267267,3937734
Rubus_canadensis,267395,3938133
Rubus_canadensis,267395,3938464
Rubus_canadensis,267485,3938645
Rubus_canadensis,267628,3938839
Rubus_canadensis,268514,3938660
Rubus_canadensis,269586,3938689
Rubus_canadensis,271559,3938657
Rubus_canadensis,272211,3938395
Rubus_canadensis,272667,3935057
Rubus_canadensis,272717,3935009
Rubus_canadensis,273111,3935117
Rubus_canadensis,273601,3937575
Rubus_canadensis,273873,3938079
Rubus_canadensis,273885,3935740
Rubus_canadensis,273892,3935671
Rubus_canadensis,273897,3935680
Rubus_canadensis,273901,3937473
Rubus_canadensis,273915,3935848
Rubus_canadensis,273943,3935697
Rubus_canadensis,274105,3936780
Rubus_canadensis,274322,3949362
Rubus_canadensis,274894,3947772
Rubus_canadensis,274965,3947446
Rubus_canadensis,275146,3938795
Rubus_canadensis,275288,3947672
Rubus_canadensis,275296,3947179
Rubus_canadensis,275532,3938621
Rubus_canadensis,275569,3945426
Rubus_canadensis,275752,3942648
Rubus_canadensis,275856,3938368
Rubus_canadensis,275899,3947855
Rubus_canadensis,276281,3938295
Rubus_canadensis,276407,3945673
Rubus_canadensis,276620,3938047
Rubus_canadensis,276751,3949248
Rubus_canadensis,276803,3937701
Rubus_canadensis,277238,3951183
Rubus_canadensis,277990,3949473
Rubus_canadensis,278442,3949013
Rubus_canadensis,278450,3948738
Rubus_canadensis,278476,3948819
Rubus_canadensis,278507,3948449
Rubus_canadensis,278616,3946580
Rubus_canadensis,278636,3948511
Rubus_canadensis,278646,3948393
Rubus_canadensis,278852,3948012
Rubus_canadensis,278981,3948221
Rubus_canadensis,279029,3947995
Rubus_canadensis,279098,3953265
Rubus_canadensis,279105,3948206
Rubus_canadensis,279106,3948299
Rubus_canadensis,279158,3949332
Rubus_canadensis,279162,3948545
Rubus_canadensis,279221,3946862
Rubus_canadensis,279261,3948803
Rubus_canadensis,279337,3949810
Rubus_canadensis,279436,3950049
Rubus_canadensis,279496,3948329
Rubus_canadensis,279518,3948429
Rubus_canadensis,279677,3950262
Rubus_canadensis,279758,3950499
Rubus_canadensis,280638,3947008
Rubus_canadensis,282879,3953033
Rubus_canadensis,283713,3952988
Rubus_canadensis,283960,3949058
Rubus_canadensis,284681,3948445
Rubus_canadensis,285318,3947299
Rubus_canadensis,285341,3947623
Rubus_canadensis,295728,3957009
Rubus_canadensis,295781,3956952
Rubus_canadensis,295909,3956982
Rubus_canadensis,296021,3956758
Rubus_canadensis,296061,3958488
Rubus_canadensis,296152,3956910
Rubus_canadensis,298612,3957653
Rubus_canadensis,301640,3942689
Rubus_canadensis,302314,3938693
Rubus_canadensis,302318,3938707
Rubus_canadensis,302758,3957038
Rubus_canadensis,302864,3942982
Rubus_canadensis,303062,3936359
Rubus_canadensis,303971,3936891
Rubus_canadensis,304279,3945619
Rubus_canadensis,304298,3939869
Rubus_canadensis,304537,3936832
Rubus_canadensis,304559,3938147
Rubus_canadensis,304689,3937455
Rubus_canadensis,305060,3938064
Rubus_canadensis,305814,3945383
Rubus_canadensis,305849,3940413
Rubus_canadensis,305860,3936334
Rubus_canadensis,305881,3936337
Rubus_canadensis,306165,3940467
Rubus_canadensis,306238,3942040
Rubus_canadensis,306510,3949202
Rubus_canadensis,306771,3941318
Rubus_canadensis,307159,3942022
Rubus_canadensis,307170,3946003
Rubus_canadensis,307257,3937335
Rubus_canadensis,307317,3936885
Rubus_canadensis,307426,3941402
Rubus_canadensis,307560,3942888
Rubus_canadensis,307866,3937240
Rubus_canadensis,307985,3953006
Rubus_canadensis,308467,3940760
Rubus_canadensis,308927,3940970
Rubus_canadensis,309071,3938923
Rubus_canadensis,309207,3944151
Rubus_canadensis,309207,3954678
Rubus_canadensis,309250,3942066
Rubus_canadensis,309410,3937626
Rubus_canadensis,310029,3942347
Rubus_canadensis,310217,3939310
Rubus_canadensis,310285,3943487
Rubus_canadensis,310567,3944010
Rubus_canadensis,310673,3943754
Rubus_canadensis,310773,3944121
Rubus_canadensis,310847,3939780
Rubus_canadensis,310876,3943946
Rubus_canadensis,310936,3944991
Rubus_canadensis,310939,3943927
Rubus_canadensis,311418,3940064
Rubus_canadensis,314117,3946710
