Species,x,y
Smilax_glauca,228105,3938898
Smilax_glauca,228435,3938958
Smilax_glauca,228535,3938968
Smilax_glauca,228671,3938902
Smilax_glauca,228740,3938484
Smilax_glauca,228797,3938338
Smilax_glauca,228835,3938698
Smilax_glauca,228869,3937761
Smilax_glauca,228907,3937474
Smilax_glauca,228926,3937561
Smilax_glauca,229107,3936477
Smilax_glauca,229268,3935563
Smilax_glauca,229299,3935484
Smilax_glauca,229299,3935543
Smilax_glauca,229384,3935468
Smilax_glauca,229821,3936853
Smilax_glauca,229904,3934989
Smilax_glauca,229910,3934979
Smilax_glauca,229910,3934985
Smilax_glauca,229912,3935024
Smilax_glauca,229913,3935026
Smilax_glauca,229962,3934833
Smilax_glauca,230126,3934847
Smilax_glauca,230199,3934736
Smilax_glauca,230222,3934763
Smilax_glauca,230307,3939034
Smilax_glauca,230362,3939051
Smilax_glauca,230366,3939180
Smilax_glauca,230525,3938746
Smilax_glauca,230567,3934423
Smilax_glauca,230588,3938934
Smilax_glauca,230703,3939382
Smilax_glauca,230742,3934274
Smilax_glauca,230752,3934312
Smilax_glauca,230982,3934072
Smilax_glauca,231015,3934089
Smilax_glauca,231274,3933823
Smilax_glauca,231962,3933235
Smilax_glauca,232621,3933175
Smilax_glauca,232694,3932608
Smilax_glauca,232755,3933168
Smilax_glauca,232997,3933536
Smilax_glauca,233145,3933578
Smilax_glauca,233155,3933628
Smilax_glauca,233385,3936168
Smilax_glauca,233415,3936238
Smilax_glauca,233653,3936187
Smilax_glauca,233766,3936041
Smilax_glauca,234135,3940968
Smilax_glauca,234227,3931049
Smilax_glauca,234259,3931071
Smilax_glauca,234325,3939788
Smilax_glauca,234335,3944268
Smilax_glauca,234365,3941058
Smilax_glauca,234365,3944158
Smilax_glauca,234370,3936005
Smilax_glauca,234375,3941008
Smilax_glauca,234505,3930660
Smilax_glauca,234515,3941158
Smilax_glauca,234545,3941108
Smilax_glauca,234560,3944957
Smilax_glauca,234595,3930436
Smilax_glauca,234627,3939512
Smilax_glauca,234635,3939628
Smilax_glauca,234735,3941258
Smilax_glauca,234803,3930086
Smilax_glauca,234875,3945468
Smilax_glauca,234946,3940496
Smilax_glauca,235015,3936208
Smilax_glauca,235032,3940477
Smilax_glauca,235071,3943664
Smilax_glauca,235112,3929651
Smilax_glauca,235115,3943996
Smilax_glauca,235122,3941046
Smilax_glauca,235168,3929485
Smilax_glauca,235187,3944036
Smilax_glauca,235187,3944037
Smilax_glauca,235215,3943228
Smilax_glauca,235280,3944031
Smilax_glauca,235289,3937966
Smilax_glauca,235315,3945788
Smilax_glauca,235323,3941089
Smilax_glauca,235329,3939887
Smilax_glauca,235335,3943168
Smilax_glauca,235348,3943903
Smilax_glauca,235348,3943904
Smilax_glauca,235418,3929386
Smilax_glauca,235446,3943966
Smilax_glauca,235471,3943140
Smilax_glauca,235515,3929290
Smilax_glauca,235528,3943176
Smilax_glauca,235665,3938428
Smilax_glauca,235700,3943230
Smilax_glauca,235956,3938293
Smilax_glauca,235995,3942508
Smilax_glauca,236015,3939208
Smilax_glauca,236115,3942528
Smilax_glauca,236147,3942606
Smilax_glauca,236898,3942881
Smilax_glauca,236951,3945042
Smilax_glauca,237015,3937208
Smilax_glauca,237059,3928666
Smilax_glauca,237158,3928689
Smilax_glauca,237463,3937106
Smilax_glauca,237491,3928583
Smilax_glauca,237495,3928622
Smilax_glauca,237781,3942019
Smilax_glauca,237817,3942089
Smilax_glauca,237818,3942138
Smilax_glauca,238015,3936208
Smilax_glauca,238083,3942153
Smilax_glauca,238265,3950088
Smilax_glauca,238345,3928418
Smilax_glauca,238422,3945701
Smilax_glauca,238426,3945758
Smilax_glauca,238455,3950181
Smilax_glauca,238585,3948938
Smilax_glauca,238609,3945910
Smilax_glauca,238695,3949328
Smilax_glauca,238725,3949298
Smilax_glauca,238894,3946211
Smilax_glauca,238962,3950523
Smilax_glauca,239118,3946109
Smilax_glauca,239227,3928238
Smilax_glauca,239325,3950068
Smilax_glauca,239410,3928047
Smilax_glauca,239503,3938490
Smilax_glauca,239530,3938570
Smilax_glauca,239593,3938635
Smilax_glauca,239732,3927692
Smilax_glauca,239778,3946250
Smilax_glauca,239817,3938810
Smilax_glauca,239817,3938811
