Species,x,y
Stylogomphus_albistylus,229388,3940397
Stylogomphus_albistylus,229455,3936048
Stylogomphus_albistylus,229683,3940433
Stylogomphus_albistylus,229775,3934928
Stylogomphus_albistylus,231183,3942401
Stylogomphus_albistylus,231279,3942576
Stylogomphus_albistylus,231355,3942164
Stylogomphus_albistylus,234184,3944208
Stylogomphus_albistylus,234193,3944224
Stylogomphus_albistylus,234650,3944698
Stylogomphus_albistylus,238073,3948407
Stylogomphus_albistylus,241428,3942384
Stylogomphus_albistylus,241446,3942374
Stylogomphus_albistylus,241518,3942297
Stylogomphus_albistylus,241957,3942589
Stylogomphus_albistylus,242784,3941539
Stylogomphus_albistylus,247447,3943781
Stylogomphus_albistylus,254386,3950352
Stylogomphus_albistylus,261014,3956000
Stylogomphus_albistylus,261145,3950756
Stylogomphus_albistylus,263061,3958055
Stylogomphus_albistylus,263148,3957942
Stylogomphus_albistylus,264741,3956567
Stylogomphus_albistylus,265838,3956982
Stylogomphus_albistylus,266279,3956526
Stylogomphus_albistylus,268389,3957581
Stylogomphus_albistylus,269059,3959007
Stylogomphus_albistylus,269337,3959222
Stylogomphus_albistylus,271386,3961500
Stylogomphus_albistylus,271546,3954110
Stylogomphus_albistylus,271649,3961160
Stylogomphus_albistylus,282872,3961322
Stylogomphus_albistylus,283195,3959760
Stylogomphus_albistylus,283201,3959982
Stylogomphus_albistylus,283366,3958740
Stylogomphus_albistylus,284102,3959849
Stylogomphus_albistylus,286289,3960462
Stylogomphus_albistylus,286844,3961003
Stylogomphus_albistylus,292577,3962421
Stylogomphus_albistylus,292830,3961638
Stylogomphus_albistylus,293922,3961946
Stylogomphus_albistylus,296786,3964543
Stylogomphus_albistylus,303247,3947510
