Species,x,y
Zanclognatha_cruralis,239142,3928653
Zanclognatha_cruralis,239253,3928719
Zanclognatha_cruralis,244121,3927396
Zanclognatha_cruralis,244121,3927397
Zanclognatha_cruralis,248438,3943416
Zanclognatha_cruralis,248536,3943119
Zanclognatha_cruralis,251770,3926404
Zanclognatha_cruralis,251770,3926405
Zanclognatha_cruralis,253047,3928774
Zanclognatha_cruralis,253047,3928775
Zanclognatha_cruralis,256521,3947351
Zanclognatha_cruralis,263275,3925149
Zanclognatha_cruralis,263275,3925150
Zanclognatha_cruralis,263903,3947885
Zanclognatha_cruralis,263919,3948094
Zanclognatha_cruralis,265687,3950695
Zanclognatha_cruralis,266239,3947971
Zanclognatha_cruralis,266434,3948640
Zanclognatha_cruralis,267754,3927974
Zanclognatha_cruralis,267754,3927975
Zanclognatha_cruralis,268504,3926530
Zanclognatha_cruralis,273826,3952003
Zanclognatha_cruralis,274457,3946720
Zanclognatha_cruralis,275180,3946971
Zanclognatha_cruralis,276344,3946387
Zanclognatha_cruralis,282686,3940320
Zanclognatha_cruralis,282711,3940265
Zanclognatha_cruralis,286398,3940466
Zanclognatha_cruralis,291133,3931709
Zanclognatha_cruralis,291413,3932035
Zanclognatha_cruralis,291781,3932248
Zanclognatha_cruralis,291888,3932912
Zanclognatha_cruralis,298425,3965061
Zanclognatha_cruralis,299626,3962018
Zanclognatha_cruralis,299884,3961587
Zanclognatha_cruralis,300205,3959804
Zanclognatha_cruralis,302929,3937790
Zanclognatha_cruralis,312007,3939804
Zanclognatha_cruralis,312166,3940057
Zanclognatha_cruralis,312180,3940009
Zanclognatha_cruralis,314385,3945734
