Species,x,y
Abies_fraseri,239524,3934649
Abies_fraseri,241359,3930425
Abies_fraseri,246525,3928048
Abies_fraseri,249430,3942690
Abies_fraseri,250304,3941755
Abies_fraseri,268388,3939043
Abies_fraseri,268391,3938695
Abies_fraseri,268464,3939007
Abies_fraseri,268469,3938855
Abies_fraseri,268510,3938977
Abies_fraseri,268514,3938660
Abies_fraseri,268576,3938835
Abies_fraseri,268629,3938628
Abies_fraseri,269257,3938661
Abies_fraseri,269719,3938757
Abies_fraseri,269933,3938661
Abies_fraseri,270045,3938639
Abies_fraseri,270119,3939207
Abies_fraseri,270161,3938623
Abies_fraseri,270283,3938633
Abies_fraseri,270359,3938616
Abies_fraseri,270505,3938963
Abies_fraseri,270513,3938601
Abies_fraseri,270552,3938601
Abies_fraseri,270739,3938609
Abies_fraseri,270932,3937102
Abies_fraseri,271018,3937077
Abies_fraseri,271033,3937264
Abies_fraseri,271145,3937193
Abies_fraseri,271150,3937345
Abies_fraseri,271185,3938653
Abies_fraseri,271272,3937359
Abies_fraseri,271559,3938657
Abies_fraseri,271603,3938623
Abies_fraseri,271755,3938453
Abies_fraseri,271879,3938338
Abies_fraseri,271916,3938325
Abies_fraseri,271968,3938337
Abies_fraseri,272153,3938372
Abies_fraseri,272211,3938395
Abies_fraseri,272304,3967162
Abies_fraseri,272367,3938358
Abies_fraseri,272578,3938299
Abies_fraseri,272788,3938239
Abies_fraseri,272806,3938298
Abies_fraseri,272870,3938284
Abies_fraseri,272948,3936904
Abies_fraseri,272982,3938309
Abies_fraseri,272992,3938245
Abies_fraseri,273000,3938276
Abies_fraseri,273014,3938313
Abies_fraseri,273087,3936619
Abies_fraseri,273105,3937127
Abies_fraseri,273111,3935117
Abies_fraseri,273137,3936905
Abies_fraseri,273245,3938288
Abies_fraseri,273318,3938289
Abies_fraseri,273426,3935367
Abies_fraseri,273481,3938334
Abies_fraseri,273492,3935517
Abies_fraseri,273545,3935596
Abies_fraseri,273546,3935717
Abies_fraseri,273601,3937574
Abies_fraseri,273639,3937689
Abies_fraseri,273660,3937589
Abies_fraseri,273666,3935570
Abies_fraseri,273668,3937728
Abies_fraseri,273677,3937426
Abies_fraseri,273689,3937420
Abies_fraseri,273717,3935591
Abies_fraseri,273728,3936945
Abies_fraseri,273802,3935617
Abies_fraseri,273805,3937296
Abies_fraseri,273873,3938079
Abies_fraseri,273885,3935740
Abies_fraseri,273888,3935916
Abies_fraseri,273892,3935671
Abies_fraseri,273895,3935569
Abies_fraseri,273905,3935579
Abies_fraseri,273908,3936959
Abies_fraseri,273909,3938692
Abies_fraseri,273913,3935615
Abies_fraseri,273915,3935848
Abies_fraseri,273927,3935687
Abies_fraseri,273930,3935655
Abies_fraseri,273936,3935626
Abies_fraseri,273940,3935738
Abies_fraseri,273943,3935697
Abies_fraseri,274048,3936834
Abies_fraseri,274076,3938768
Abies_fraseri,274092,3936234
Abies_fraseri,274100,3937103
Abies_fraseri,274105,3936780
Abies_fraseri,274112,3936435
Abies_fraseri,274130,3936729
Abies_fraseri,274134,3937060
Abies_fraseri,274159,3936861
Abies_fraseri,274302,3938824
Abies_fraseri,274307,3938780
Abies_fraseri,274405,3950212
Abies_fraseri,274508,3938837
Abies_fraseri,274548,3938876
Abies_fraseri,274739,3938908
Abies_fraseri,274743,3939035
Abies_fraseri,274849,3938987
Abies_fraseri,274877,3937994
Abies_fraseri,274900,3939184
Abies_fraseri,274904,3939204
Abies_fraseri,274994,3939452
Abies_fraseri,275018,3939356
Abies_fraseri,275120,3939616
Abies_fraseri,275146,3938795
Abies_fraseri,275157,3939773
Abies_fraseri,275184,3939833
Abies_fraseri,275209,3939951
Abies_fraseri,275282,3940027
Abies_fraseri,275336,3940087
Abies_fraseri,275358,3940467
Abies_fraseri,275381,3940332
Abies_fraseri,275381,3940516
Abies_fraseri,275402,3940297
Abies_fraseri,275413,3943540
Abies_fraseri,275421,3940171
Abies_fraseri,275523,3938655
Abies_fraseri,275532,3938621
Abies_fraseri,275544,3940594
Abies_fraseri,275547,3940636
Abies_fraseri,275564,3938563
Abies_fraseri,275674,3942180
Abies_fraseri,275679,3942962
Abies_fraseri,275689,3941802
Abies_fraseri,275728,3940727
Abies_fraseri,275730,3940721
Abies_fraseri,275752,3942648
Abies_fraseri,275760,3938431
Abies_fraseri,275831,3941368
Abies_fraseri,275843,3941365
Abies_fraseri,275843,3942371
Abies_fraseri,275848,3940868
Abies_fraseri,275856,3938368
Abies_fraseri,275897,3942546
Abies_fraseri,275899,3947855
Abies_fraseri,275912,3940831
Abies_fraseri,275913,3941754
Abies_fraseri,275932,3941202
Abies_fraseri,275935,3941197
Abies_fraseri,275946,3941527
Abies_fraseri,275966,3941014
Abies_fraseri,275986,3941011
Abies_fraseri,276073,3941348
Abies_fraseri,276110,3941668
Abies_fraseri,276117,3938314
Abies_fraseri,276161,3947965
Abies_fraseri,276252,3941360
Abies_fraseri,276281,3938295
Abies_fraseri,276365,3948044
Abies_fraseri,276375,3941022
Abies_fraseri,276419,3937192
Abies_fraseri,276477,3941453
Abies_fraseri,276494,3938199
Abies_fraseri,276511,3937980
Abies_fraseri,276572,3940940
Abies_fraseri,276583,3948115
Abies_fraseri,276587,3937195
Abies_fraseri,276620,3938047
Abies_fraseri,276621,3938005
Abies_fraseri,276696,3937260
Abies_fraseri,276716,3941480
Abies_fraseri,276737,3937831
