Species,x,y
Acronicta_americana,240106,3934601
Acronicta_americana,242517,3942637
Acronicta_americana,244121,3927397
Acronicta_americana,244705,3956218
Acronicta_americana,245059,3956265
Acronicta_americana,246000,3948274
Acronicta_americana,248438,3943416
Acronicta_americana,248532,3943687
Acronicta_americana,249410,3945124
Acronicta_americana,251770,3926404
Acronicta_americana,252164,3929169
Acronicta_americana,252196,3929336
Acronicta_americana,252437,3928875
Acronicta_americana,253047,3928775
Acronicta_americana,256484,3947482
Acronicta_americana,263275,3925149
Acronicta_americana,263903,3947885
Acronicta_americana,263919,3948094
Acronicta_americana,263946,3947793
Acronicta_americana,263946,3947795
Acronicta_americana,263962,3948002
Acronicta_americana,263962,3948004
Acronicta_americana,264155,3945069
Acronicta_americana,264171,3945278
Acronicta_americana,264199,3945002
Acronicta_americana,264215,3945211
Acronicta_americana,264218,3945057
Acronicta_americana,264234,3945266
Acronicta_americana,264277,3945045
Acronicta_americana,264293,3945254
Acronicta_americana,264335,3945031
Acronicta_americana,264351,3945240
Acronicta_americana,266434,3948640
Acronicta_americana,267754,3927974
Acronicta_americana,268504,3926530
Acronicta_americana,270419,3952088
Acronicta_americana,272201,3954485
Acronicta_americana,274071,3926410
Acronicta_americana,276176,3951140
Acronicta_americana,276344,3946387
Acronicta_americana,276499,3934505
Acronicta_americana,280318,3927417
Acronicta_americana,282686,3940320
Acronicta_americana,283068,3939671
Acronicta_americana,283865,3952717
Acronicta_americana,283881,3952927
Acronicta_americana,284081,3953721
Acronicta_americana,284340,3954737
Acronicta_americana,286667,3953270
Acronicta_americana,286683,3953480
Acronicta_americana,290953,3932802
Acronicta_americana,291133,3931709
Acronicta_americana,291266,3932698
Acronicta_americana,291499,3931811
Acronicta_americana,291888,3932912
Acronicta_americana,295061,3960340
Acronicta_americana,299567,3965526
Acronicta_americana,299626,3962018
Acronicta_americana,299884,3961587
Acronicta_americana,304142,3937696
Acronicta_americana,304148,3962020
Acronicta_americana,304159,3937906
Acronicta_americana,307827,3943480
Acronicta_americana,309173,3952488
Acronicta_americana,311854,3946009
Acronicta_americana,312007,3939804
Acronicta_americana,312149,3939847
Acronicta_americana,312166,3940057
Acronicta_americana,312180,3940009
Acronicta_americana,313360,3945702
Acronicta_americana,313758,3945810
Acronicta_americana,314578,3946285
