Species,x,y
Actaea_pachypoda,229297,3934115
Actaea_pachypoda,229464,3936059
Actaea_pachypoda,234875,3945468
Actaea_pachypoda,235348,3943903
Actaea_pachypoda,235348,3943904
Actaea_pachypoda,240145,3934851
Actaea_pachypoda,240281,3935230
Actaea_pachypoda,241036,3948718
Actaea_pachypoda,241182,3934669
Actaea_pachypoda,241185,3935110
Actaea_pachypoda,241433,3934192
Actaea_pachypoda,242216,3950188
Actaea_pachypoda,242396,3934818
Actaea_pachypoda,242634,3935646
Actaea_pachypoda,242682,3936351
Actaea_pachypoda,242745,3934746
Actaea_pachypoda,242860,3935929
Actaea_pachypoda,242972,3940736
Actaea_pachypoda,243466,3936469
Actaea_pachypoda,243467,3936469
Actaea_pachypoda,244534,3936815
Actaea_pachypoda,244733,3934868
Actaea_pachypoda,244745,3935574
Actaea_pachypoda,245234,3934719
Actaea_pachypoda,245386,3936953
Actaea_pachypoda,245538,3939064
Actaea_pachypoda,245653,3928284
Actaea_pachypoda,246041,3935319
Actaea_pachypoda,247621,3930040
Actaea_pachypoda,248033,3937770
Actaea_pachypoda,248063,3941619
Actaea_pachypoda,248491,3939583
Actaea_pachypoda,248817,3938427
Actaea_pachypoda,249141,3939622
Actaea_pachypoda,249204,3939540
Actaea_pachypoda,249762,3939230
Actaea_pachypoda,250146,3941518
Actaea_pachypoda,250211,3941558
Actaea_pachypoda,253832,3928572
Actaea_pachypoda,255302,3930046
Actaea_pachypoda,259156,3943357
Actaea_pachypoda,259746,3943889
Actaea_pachypoda,259746,3943890
Actaea_pachypoda,259746,3943891
Actaea_pachypoda,260388,3941609
Actaea_pachypoda,260389,3941610
Actaea_pachypoda,260391,3940890
Actaea_pachypoda,260392,3940891
Actaea_pachypoda,260396,3940889
Actaea_pachypoda,260396,3941619
Actaea_pachypoda,260442,3941729
Actaea_pachypoda,261125,3942711
Actaea_pachypoda,261672,3939564
Actaea_pachypoda,261692,3939608
Actaea_pachypoda,262965,3927284
Actaea_pachypoda,264077,3926420
Actaea_pachypoda,264104,3925709
Actaea_pachypoda,272085,3933963
Actaea_pachypoda,272264,3932824
Actaea_pachypoda,272460,3932717
Actaea_pachypoda,272733,3930503
Actaea_pachypoda,272780,3929756
Actaea_pachypoda,272901,3929908
Actaea_pachypoda,274286,3946474
Actaea_pachypoda,275393,3932376
Actaea_pachypoda,275716,3946979
Actaea_pachypoda,276297,3932818
Actaea_pachypoda,277238,3951183
Actaea_pachypoda,280966,3928989
Actaea_pachypoda,281096,3957079
Actaea_pachypoda,284532,3954430
Actaea_pachypoda,284552,3954482
Actaea_pachypoda,288101,3938625
Actaea_pachypoda,292082,3935379
Actaea_pachypoda,295906,3956849
Actaea_pachypoda,296167,3956388
Actaea_pachypoda,304537,3936832
Actaea_pachypoda,306238,3942040
Actaea_pachypoda,307170,3946003
Actaea_pachypoda,307426,3941402
Actaea_pachypoda,310847,3939780
Actaea_pachypoda,310936,3944991
Actaea_pachypoda,311278,3943368
Actaea_pachypoda,313363,3940632
