Species,x,y
Arnoglossum_atriplicifolium,228435,3938958
Arnoglossum_atriplicifolium,228740,3938484
Arnoglossum_atriplicifolium,228826,3938688
Arnoglossum_atriplicifolium,228907,3937474
Arnoglossum_atriplicifolium,229081,3939716
Arnoglossum_atriplicifolium,229757,3934914
Arnoglossum_atriplicifolium,230197,3935803
Arnoglossum_atriplicifolium,230506,3937866
Arnoglossum_atriplicifolium,232621,3933175
Arnoglossum_atriplicifolium,234365,3944158
Arnoglossum_atriplicifolium,234798,3935955
Arnoglossum_atriplicifolium,234875,3945468
Arnoglossum_atriplicifolium,235418,3929386
Arnoglossum_atriplicifolium,238880,3928356
Arnoglossum_atriplicifolium,239227,3928238
Arnoglossum_atriplicifolium,239938,3927524
Arnoglossum_atriplicifolium,240244,3927142
Arnoglossum_atriplicifolium,240264,3927177
Arnoglossum_atriplicifolium,241131,3929262
Arnoglossum_atriplicifolium,241330,3934404
Arnoglossum_atriplicifolium,242116,3934588
Arnoglossum_atriplicifolium,242140,3934591
Arnoglossum_atriplicifolium,242141,3934592
Arnoglossum_atriplicifolium,242350,3934601
Arnoglossum_atriplicifolium,242372,3934603
Arnoglossum_atriplicifolium,243008,3927135
Arnoglossum_atriplicifolium,243144,3934897
Arnoglossum_atriplicifolium,243194,3934924
Arnoglossum_atriplicifolium,245150,3943635
Arnoglossum_atriplicifolium,245916,3948308
Arnoglossum_atriplicifolium,250446,3947428
Arnoglossum_atriplicifolium,251116,3947058
Arnoglossum_atriplicifolium,253592,3929385
Arnoglossum_atriplicifolium,257988,3924949
Arnoglossum_atriplicifolium,257989,3924977
Arnoglossum_atriplicifolium,258001,3924961
Arnoglossum_atriplicifolium,260905,3925547
Arnoglossum_atriplicifolium,260928,3925558
Arnoglossum_atriplicifolium,260978,3925665
Arnoglossum_atriplicifolium,261130,3925700
Arnoglossum_atriplicifolium,264264,3934245
Arnoglossum_atriplicifolium,271591,3950463
Arnoglossum_atriplicifolium,272667,3935057
Arnoglossum_atriplicifolium,279046,3956569
Arnoglossum_atriplicifolium,285045,3959191
Arnoglossum_atriplicifolium,285196,3958816
Arnoglossum_atriplicifolium,307178,3959993
Arnoglossum_atriplicifolium,312283,3940000
Arnoglossum_atriplicifolium,314117,3946710
