Species,x,y
Baileya_ophthalmica,246000,3948274
Baileya_ophthalmica,248438,3943416
Baileya_ophthalmica,252196,3929336
Baileya_ophthalmica,256484,3947482
Baileya_ophthalmica,256496,3947275
Baileya_ophthalmica,265526,3949769
Baileya_ophthalmica,266434,3948640
Baileya_ophthalmica,270241,3952388
Baileya_ophthalmica,270419,3952088
Baileya_ophthalmica,270422,3952199
Baileya_ophthalmica,270532,3951831
Baileya_ophthalmica,276499,3934505
Baileya_ophthalmica,282711,3940265
Baileya_ophthalmica,283865,3952717
Baileya_ophthalmica,283881,3952927
Baileya_ophthalmica,284324,3954570
Baileya_ophthalmica,284340,3954737
Baileya_ophthalmica,284587,3954109
Baileya_ophthalmica,284603,3954319
Baileya_ophthalmica,286398,3940466
Baileya_ophthalmica,289947,3937460
Baileya_ophthalmica,290953,3932802
Baileya_ophthalmica,291133,3931709
Baileya_ophthalmica,291266,3932698
Baileya_ophthalmica,291781,3932248
Baileya_ophthalmica,291888,3932912
Baileya_ophthalmica,298425,3965061
Baileya_ophthalmica,299626,3962018
Baileya_ophthalmica,299884,3961587
Baileya_ophthalmica,300205,3959804
Baileya_ophthalmica,307827,3943480
Baileya_ophthalmica,309283,3952834
Baileya_ophthalmica,309517,3952830
Baileya_ophthalmica,311854,3946009
Baileya_ophthalmica,312007,3939804
Baileya_ophthalmica,312149,3939847
Baileya_ophthalmica,312166,3940057
Baileya_ophthalmica,313360,3945702
