Species,x,y
Campanulastrum_americanum,228435,3938958
Campanulastrum_americanum,228826,3938688
Campanulastrum_americanum,229726,3936027
Campanulastrum_americanum,229775,3934909
Campanulastrum_americanum,230307,3939034
Campanulastrum_americanum,230588,3938934
Campanulastrum_americanum,242972,3940736
Campanulastrum_americanum,244745,3935574
Campanulastrum_americanum,244846,3932333
Campanulastrum_americanum,245741,3939623
Campanulastrum_americanum,245836,3947998
Campanulastrum_americanum,246416,3943788
Campanulastrum_americanum,246796,3937178
Campanulastrum_americanum,246867,3940688
Campanulastrum_americanum,250415,3936299
Campanulastrum_americanum,250916,3946808
Campanulastrum_americanum,250916,3947008
Campanulastrum_americanum,251116,3947008
Campanulastrum_americanum,251166,3946978
Campanulastrum_americanum,251216,3946908
Campanulastrum_americanum,256817,3931981
Campanulastrum_americanum,265515,3935597
Campanulastrum_americanum,274037,3946327
Campanulastrum_americanum,274965,3947446
Campanulastrum_americanum,275692,3947786
Campanulastrum_americanum,275716,3946979
Campanulastrum_americanum,276587,3951494
Campanulastrum_americanum,282879,3953033
Campanulastrum_americanum,285045,3959191
Campanulastrum_americanum,301836,3940545
Campanulastrum_americanum,308750,3936933
