Species,x,y
Campostoma_oligolepis,227711,3939777
Campostoma_oligolepis,229483,3940615
Campostoma_oligolepis,229655,3935267
Campostoma_oligolepis,229855,3940773
Campostoma_oligolepis,231146,3942612
Campostoma_oligolepis,231172,3942600
Campostoma_oligolepis,231352,3942498
Campostoma_oligolepis,234112,3944681
Campostoma_oligolepis,234113,3944674
Campostoma_oligolepis,234167,3944351
Campostoma_oligolepis,234175,3944225
Campostoma_oligolepis,234225,3944158
Campostoma_oligolepis,234267,3944709
Campostoma_oligolepis,234371,3944666
Campostoma_oligolepis,234730,3944764
Campostoma_oligolepis,235048,3944969
Campostoma_oligolepis,235095,3944941
Campostoma_oligolepis,239905,3951735
Campostoma_oligolepis,239918,3951239
Campostoma_oligolepis,239995,3951486
Campostoma_oligolepis,240315,3951249
Campostoma_oligolepis,240752,3950652
Campostoma_oligolepis,241125,3950871
Campostoma_oligolepis,253105,3946115
Campostoma_oligolepis,253461,3947290
Campostoma_oligolepis,254042,3947364
Campostoma_oligolepis,254095,3947413
Campostoma_oligolepis,254106,3948397
Campostoma_oligolepis,256101,3950561
Campostoma_oligolepis,256407,3950839
Campostoma_oligolepis,256579,3947199
Campostoma_oligolepis,257011,3946779
Campostoma_oligolepis,257146,3945606
Campostoma_oligolepis,257802,3950554
Campostoma_oligolepis,259645,3951296
Campostoma_oligolepis,260611,3952564
Campostoma_oligolepis,262345,3950530
Campostoma_oligolepis,265463,3950042
Campostoma_oligolepis,299627,3962025
