Species,x,y
Cardellina_canadensis,238925,3934421
Cardellina_canadensis,239183,3935425
Cardellina_canadensis,239924,3934505
Cardellina_canadensis,240203,3934580
Cardellina_canadensis,240378,3934581
Cardellina_canadensis,240797,3930323
Cardellina_canadensis,240825,3934676
Cardellina_canadensis,241227,3934499
Cardellina_canadensis,241298,3942056
Cardellina_canadensis,241717,3933360
Cardellina_canadensis,241934,3945075
Cardellina_canadensis,242001,3934513
Cardellina_canadensis,242353,3944614
Cardellina_canadensis,242869,3934788
Cardellina_canadensis,243104,3934825
Cardellina_canadensis,243578,3934907
Cardellina_canadensis,244652,3931082
Cardellina_canadensis,244910,3933765
Cardellina_canadensis,244944,3931253
Cardellina_canadensis,245540,3936364
Cardellina_canadensis,246785,3929364
Cardellina_canadensis,247648,3929924
Cardellina_canadensis,248520,3945795
Cardellina_canadensis,250332,3926426
Cardellina_canadensis,250441,3928519
Cardellina_canadensis,251903,3928449
Cardellina_canadensis,252015,3942778
Cardellina_canadensis,252199,3940707
Cardellina_canadensis,252203,3940702
Cardellina_canadensis,252218,3942357
Cardellina_canadensis,252254,3940514
Cardellina_canadensis,252334,3940144
Cardellina_canadensis,252334,3940288
Cardellina_canadensis,252576,3939653
Cardellina_canadensis,252613,3939452
Cardellina_canadensis,253322,3938617
Cardellina_canadensis,253360,3927240
Cardellina_canadensis,253680,3938552
Cardellina_canadensis,253750,3937564
Cardellina_canadensis,253788,3936693
Cardellina_canadensis,253932,3938411
Cardellina_canadensis,254089,3937911
Cardellina_canadensis,254260,3938191
Cardellina_canadensis,254276,3944546
Cardellina_canadensis,254477,3928528
Cardellina_canadensis,255109,3946591
Cardellina_canadensis,256272,3947602
Cardellina_canadensis,260073,3940725
Cardellina_canadensis,260100,3947580
Cardellina_canadensis,260234,3940517
Cardellina_canadensis,260401,3941321
Cardellina_canadensis,260412,3941134
Cardellina_canadensis,260511,3940488
Cardellina_canadensis,260614,3940301
Cardellina_canadensis,260741,3940101
Cardellina_canadensis,260839,3953261
Cardellina_canadensis,261042,3941646
Cardellina_canadensis,261240,3941389
Cardellina_canadensis,261650,3941224
Cardellina_canadensis,262219,3942300
Cardellina_canadensis,262768,3942469
Cardellina_canadensis,262944,3944555
Cardellina_canadensis,262971,3942501
Cardellina_canadensis,263144,3944551
Cardellina_canadensis,263327,3944641
Cardellina_canadensis,263334,3942429
Cardellina_canadensis,263570,3944169
Cardellina_canadensis,263606,3931893
Cardellina_canadensis,263695,3944038
Cardellina_canadensis,263849,3940852
Cardellina_canadensis,263992,3942406
Cardellina_canadensis,264038,3933862
Cardellina_canadensis,264214,3942441
Cardellina_canadensis,264466,3942470
Cardellina_canadensis,264683,3942468
Cardellina_canadensis,264696,3945787
Cardellina_canadensis,265064,3943834
Cardellina_canadensis,265245,3943651
Cardellina_canadensis,265379,3946065
Cardellina_canadensis,266263,3935595
Cardellina_canadensis,266622,3935441
Cardellina_canadensis,267039,3935121
Cardellina_canadensis,267716,3927749
Cardellina_canadensis,268163,3938690
Cardellina_canadensis,268391,3938695
Cardellina_canadensis,268834,3938533
Cardellina_canadensis,269257,3938661
Cardellina_canadensis,269691,3931262
Cardellina_canadensis,269914,3931418
Cardellina_canadensis,270114,3931358
Cardellina_canadensis,270143,3931470
Cardellina_canadensis,272153,3938372
Cardellina_canadensis,272436,3951461
Cardellina_canadensis,273083,3936795
Cardellina_canadensis,273145,3950508
Cardellina_canadensis,273230,3936981
Cardellina_canadensis,273267,3938200
Cardellina_canadensis,273292,3936555
Cardellina_canadensis,273301,3935278
Cardellina_canadensis,273464,3935396
Cardellina_canadensis,273582,3935695
Cardellina_canadensis,273656,3935569
Cardellina_canadensis,273728,3936945
Cardellina_canadensis,273802,3935617
Cardellina_canadensis,273867,3926389
Cardellina_canadensis,273888,3935916
Cardellina_canadensis,273909,3938692
Cardellina_canadensis,274048,3936834
Cardellina_canadensis,274223,3949484
Cardellina_canadensis,274399,3949454
Cardellina_canadensis,274417,3945224
Cardellina_canadensis,274644,3945217
Cardellina_canadensis,274994,3939452
Cardellina_canadensis,275017,3949172
Cardellina_canadensis,275118,3943760
Cardellina_canadensis,275148,3944864
Cardellina_canadensis,275184,3939833
Cardellina_canadensis,275192,3944477
Cardellina_canadensis,275216,3944083
Cardellina_canadensis,275234,3943616
Cardellina_canadensis,275282,3940027
Cardellina_canadensis,275297,3948559
Cardellina_canadensis,275305,3944287
Cardellina_canadensis,275381,3940332
Cardellina_canadensis,275517,3945031
Cardellina_canadensis,275517,3945219
Cardellina_canadensis,275523,3948476
Cardellina_canadensis,275553,3943346
Cardellina_canadensis,275584,3948132
Cardellina_canadensis,275611,3947969
Cardellina_canadensis,275615,3948308
Cardellina_canadensis,275619,3941971
Cardellina_canadensis,275619,3943143
Cardellina_canadensis,275679,3942962
Cardellina_canadensis,275684,3945139
Cardellina_canadensis,275728,3940727
Cardellina_canadensis,275821,3942775
Cardellina_canadensis,275913,3941754
Cardellina_canadensis,276073,3941348
Cardellina_canadensis,276161,3947965
Cardellina_canadensis,276283,3944774
Cardellina_canadensis,276287,3945102
Cardellina_canadensis,276331,3949338
Cardellina_canadensis,276344,3945259
Cardellina_canadensis,276361,3949286
Cardellina_canadensis,276364,3945610
Cardellina_canadensis,276416,3949248
Cardellina_canadensis,276472,3946015
Cardellina_canadensis,276696,3937260
Cardellina_canadensis,276788,3943627
Cardellina_canadensis,276808,3930689
Cardellina_canadensis,276862,3949739
Cardellina_canadensis,276886,3941597
Cardellina_canadensis,276903,3949258
Cardellina_canadensis,276942,3940791
Cardellina_canadensis,276962,3949149
Cardellina_canadensis,277315,3948508
Cardellina_canadensis,277574,3949554
Cardellina_canadensis,277699,3940516
Cardellina_canadensis,277796,3949525
Cardellina_canadensis,277819,3949416
Cardellina_canadensis,277846,3940361
Cardellina_canadensis,277859,3948573
Cardellina_canadensis,277962,3940222
Cardellina_canadensis,277964,3949488
Cardellina_canadensis,278002,3940026
Cardellina_canadensis,278016,3949442
Cardellina_canadensis,278021,3939793
Cardellina_canadensis,278110,3949234
Cardellina_canadensis,278117,3949530
Cardellina_canadensis,278143,3950823
Cardellina_canadensis,278225,3948651
Cardellina_canadensis,278267,3949134
Cardellina_canadensis,278321,3950680
Cardellina_canadensis,278329,3943518
Cardellina_canadensis,278372,3943415
Cardellina_canadensis,278430,3949015
Cardellina_canadensis,278439,3948786
Cardellina_canadensis,278507,3950716
Cardellina_canadensis,278544,3946811
Cardellina_canadensis,278639,3939727
Cardellina_canadensis,278674,3950652
Cardellina_canadensis,278699,3948645
Cardellina_canadensis,278766,3943629
Cardellina_canadensis,278790,3950519
Cardellina_canadensis,278836,3939664
Cardellina_canadensis,278837,3946446
Cardellina_canadensis,278846,3947074
Cardellina_canadensis,278889,3950387
Cardellina_canadensis,278902,3948015
Cardellina_canadensis,278911,3939408
Cardellina_canadensis,279033,3950291
Cardellina_canadensis,279063,3949661
Cardellina_canadensis,279092,3949477
Cardellina_canadensis,279100,3949840
Cardellina_canadensis,279130,3947926
Cardellina_canadensis,279142,3949564
Cardellina_canadensis,279152,3950231
Cardellina_canadensis,279164,3949319
Cardellina_canadensis,279180,3949658
Cardellina_canadensis,279277,3949806
Cardellina_canadensis,279339,3949483
Cardellina_canadensis,279386,3950075
Cardellina_canadensis,279392,3943587
Cardellina_canadensis,279475,3948953
Cardellina_canadensis,279475,3949746
Cardellina_canadensis,279545,3949151
Cardellina_canadensis,279552,3949498
Cardellina_canadensis,279581,3950378
Cardellina_canadensis,279593,3949852
Cardellina_canadensis,279656,3950054
Cardellina_canadensis,279666,3949247
Cardellina_canadensis,279670,3950285
Cardellina_canadensis,279743,3949487
Cardellina_canadensis,279752,3943475
Cardellina_canadensis,279804,3948324
Cardellina_canadensis,279831,3949369
Cardellina_canadensis,279898,3938035
Cardellina_canadensis,279914,3949518
Cardellina_canadensis,279958,3943553
Cardellina_canadensis,279960,3950352
Cardellina_canadensis,280004,3950143
Cardellina_canadensis,280154,3943587
Cardellina_canadensis,280182,3950196
