Species,x,y
Chrysopsis_mariana,228797,3938338
Chrysopsis_mariana,228869,3937761
Chrysopsis_mariana,228884,3937815
Chrysopsis_mariana,228907,3937474
Chrysopsis_mariana,228926,3937561
Chrysopsis_mariana,229010,3936840
Chrysopsis_mariana,229047,3936851
Chrysopsis_mariana,229073,3936451
Chrysopsis_mariana,229268,3935563
Chrysopsis_mariana,229299,3935543
Chrysopsis_mariana,229384,3935468
Chrysopsis_mariana,229775,3935130
Chrysopsis_mariana,229950,3944138
Chrysopsis_mariana,230126,3934847
Chrysopsis_mariana,230506,3937866
Chrysopsis_mariana,230607,3934434
Chrysopsis_mariana,230703,3939382
Chrysopsis_mariana,231962,3933235
Chrysopsis_mariana,232621,3933175
Chrysopsis_mariana,232664,3932680
Chrysopsis_mariana,234803,3930086
Chrysopsis_mariana,235940,3936198
Chrysopsis_mariana,235995,3942508
Chrysopsis_mariana,237059,3928666
Chrysopsis_mariana,240917,3927207
Chrysopsis_mariana,241446,3927275
Chrysopsis_mariana,241921,3927281
Chrysopsis_mariana,242086,3942798
Chrysopsis_mariana,243156,3943688
Chrysopsis_mariana,245695,3942114
Chrysopsis_mariana,262301,3925614
Chrysopsis_mariana,297856,3964962
