Species,x,y
Cinygmula_subaequalis,234184,3944208
Cinygmula_subaequalis,241428,3942384
Cinygmula_subaequalis,241518,3942297
Cinygmula_subaequalis,241536,3942286
Cinygmula_subaequalis,241902,3940062
Cinygmula_subaequalis,241957,3942589
Cinygmula_subaequalis,242252,3942581
Cinygmula_subaequalis,242316,3938821
Cinygmula_subaequalis,242784,3941539
Cinygmula_subaequalis,242852,3941515
Cinygmula_subaequalis,247311,3942442
Cinygmula_subaequalis,247447,3943781
Cinygmula_subaequalis,248475,3943452
Cinygmula_subaequalis,248633,3943712
Cinygmula_subaequalis,249659,3942555
Cinygmula_subaequalis,250697,3941615
Cinygmula_subaequalis,251623,3940622
Cinygmula_subaequalis,251626,3940619
Cinygmula_subaequalis,253226,3928829
Cinygmula_subaequalis,257977,3943824
Cinygmula_subaequalis,258835,3940612
Cinygmula_subaequalis,259086,3940879
Cinygmula_subaequalis,259146,3942589
Cinygmula_subaequalis,266045,3947815
Cinygmula_subaequalis,266058,3949295
Cinygmula_subaequalis,273736,3952050
Cinygmula_subaequalis,276270,3945424
Cinygmula_subaequalis,293718,3957028
Cinygmula_subaequalis,294026,3957240
Cinygmula_subaequalis,299516,3962167
Cinygmula_subaequalis,300176,3959720
Cinygmula_subaequalis,300405,3959249
Cinygmula_subaequalis,302797,3936620
Cinygmula_subaequalis,303247,3947510
Cinygmula_subaequalis,303367,3937090
Cinygmula_subaequalis,303437,3936160
Cinygmula_subaequalis,308657,3944560
Cinygmula_subaequalis,309911,3944796
Cinygmula_subaequalis,311308,3945342
