Species,x,y
Coccyzus_americanus,235302,3942105
Coccyzus_americanus,235381,3947774
Coccyzus_americanus,235514,3947552
Coccyzus_americanus,235521,3947951
Coccyzus_americanus,235661,3947788
Coccyzus_americanus,235820,3938585
Coccyzus_americanus,235891,3947407
Coccyzus_americanus,235984,3948130
Coccyzus_americanus,237114,3947557
Coccyzus_americanus,237450,3947605
Coccyzus_americanus,237587,3947501
Coccyzus_americanus,237800,3936951
Coccyzus_americanus,237984,3946989
Coccyzus_americanus,238114,3948485
Coccyzus_americanus,238219,3936336
Coccyzus_americanus,238510,3945714
Coccyzus_americanus,238584,3945936
Coccyzus_americanus,238656,3941673
Coccyzus_americanus,238855,3941843
Coccyzus_americanus,239061,3941998
Coccyzus_americanus,239526,3946880
Coccyzus_americanus,239574,3946144
Coccyzus_americanus,240808,3938616
Coccyzus_americanus,241024,3938689
Coccyzus_americanus,241259,3938722
Coccyzus_americanus,241462,3938811
Coccyzus_americanus,242180,3943123
Coccyzus_americanus,242182,3942865
Coccyzus_americanus,243214,3943924
Coccyzus_americanus,244549,3948644
Coccyzus_americanus,244720,3928311
Coccyzus_americanus,244741,3928477
Coccyzus_americanus,244791,3948937
Coccyzus_americanus,244812,3943094
Coccyzus_americanus,244842,3927869
Coccyzus_americanus,244981,3928985
Coccyzus_americanus,245122,3930343
Coccyzus_americanus,245150,3930146
Coccyzus_americanus,245488,3948279
Coccyzus_americanus,245818,3947986
Coccyzus_americanus,245872,3944169
Coccyzus_americanus,246017,3945959
Coccyzus_americanus,246133,3945792
Coccyzus_americanus,246228,3927637
Coccyzus_americanus,246278,3947833
Coccyzus_americanus,246279,3944019
Coccyzus_americanus,246390,3947667
Coccyzus_americanus,246419,3927722
Coccyzus_americanus,246498,3945513
Coccyzus_americanus,246523,3942326
Coccyzus_americanus,246643,3945606
Coccyzus_americanus,246905,3944355
Coccyzus_americanus,246919,3947371
Coccyzus_americanus,247201,3947040
Coccyzus_americanus,247364,3928544
Coccyzus_americanus,247748,3943635
Coccyzus_americanus,248651,3945631
Coccyzus_americanus,248747,3926593
Coccyzus_americanus,248796,3926530
Coccyzus_americanus,248849,3944498
Coccyzus_americanus,248851,3924894
Coccyzus_americanus,248870,3926467
Coccyzus_americanus,248904,3928593
Coccyzus_americanus,249739,3945976
Coccyzus_americanus,249785,3946370
Coccyzus_americanus,249979,3946472
Coccyzus_americanus,250149,3947212
Coccyzus_americanus,250256,3947595
Coccyzus_americanus,250332,3926426
Coccyzus_americanus,250378,3947775
Coccyzus_americanus,251116,3944713
Coccyzus_americanus,251286,3947904
Coccyzus_americanus,251343,3945594
Coccyzus_americanus,251506,3946302
Coccyzus_americanus,251597,3947571
Coccyzus_americanus,251821,3946786
Coccyzus_americanus,251985,3948454
Coccyzus_americanus,252054,3947272
Coccyzus_americanus,252149,3942426
Coccyzus_americanus,252188,3947177
Coccyzus_americanus,252462,3948759
Coccyzus_americanus,252792,3949037
Coccyzus_americanus,252836,3944492
Coccyzus_americanus,253021,3944530
Coccyzus_americanus,253187,3949008
Coccyzus_americanus,253310,3926405
Coccyzus_americanus,253364,3927550
Coccyzus_americanus,253374,3944132
Coccyzus_americanus,253692,3944847
Coccyzus_americanus,253854,3944877
Coccyzus_americanus,253907,3926970
Coccyzus_americanus,254159,3944491
Coccyzus_americanus,254333,3949460
Coccyzus_americanus,254391,3944767
Coccyzus_americanus,254405,3949580
Coccyzus_americanus,255366,3946842
Coccyzus_americanus,255465,3947017
Coccyzus_americanus,255754,3947267
Coccyzus_americanus,255825,3947399
Coccyzus_americanus,255844,3951481
Coccyzus_americanus,256309,3928111
Coccyzus_americanus,256487,3947503
Coccyzus_americanus,257012,3947944
Coccyzus_americanus,257120,3948008
Coccyzus_americanus,260115,3925763
Coccyzus_americanus,260346,3925774
Coccyzus_americanus,260416,3953073
Coccyzus_americanus,261078,3953267
Coccyzus_americanus,261320,3953352
Coccyzus_americanus,261490,3953198
Coccyzus_americanus,261720,3948963
Coccyzus_americanus,262033,3953248
Coccyzus_americanus,262408,3925693
Coccyzus_americanus,262618,3953531
Coccyzus_americanus,262686,3925734
Coccyzus_americanus,263069,3953119
Coccyzus_americanus,263376,3953048
Coccyzus_americanus,263401,3952674
Coccyzus_americanus,263953,3926180
Coccyzus_americanus,264140,3951815
Coccyzus_americanus,264285,3951723
Coccyzus_americanus,264564,3926641
Coccyzus_americanus,265204,3953766
Coccyzus_americanus,265660,3947530
Coccyzus_americanus,266440,3950637
Coccyzus_americanus,267063,3926892
Coccyzus_americanus,268003,3947073
Coccyzus_americanus,268858,3927095
Coccyzus_americanus,269463,3926320
Coccyzus_americanus,269493,3947503
Coccyzus_americanus,269578,3926474
Coccyzus_americanus,269703,3953572
Coccyzus_americanus,269744,3948474
Coccyzus_americanus,270885,3952390
Coccyzus_americanus,271504,3949171
Coccyzus_americanus,271742,3951706
Coccyzus_americanus,271846,3951968
Coccyzus_americanus,271905,3926996
Coccyzus_americanus,271993,3952189
Coccyzus_americanus,272206,3951594
Coccyzus_americanus,272277,3952474
Coccyzus_americanus,272304,3967162
Coccyzus_americanus,272429,3951335
Coccyzus_americanus,272436,3951461
Coccyzus_americanus,272501,3952604
Coccyzus_americanus,272569,3951847
Coccyzus_americanus,272680,3951742
Coccyzus_americanus,272682,3951974
Coccyzus_americanus,272706,3952185
Coccyzus_americanus,272720,3951238
Coccyzus_americanus,272916,3951197
Coccyzus_americanus,272921,3935058
Coccyzus_americanus,273141,3951080
Coccyzus_americanus,274223,3949484
Coccyzus_americanus,274239,3949738
Coccyzus_americanus,274290,3950060
Coccyzus_americanus,274340,3950408
Coccyzus_americanus,276178,3951093
Coccyzus_americanus,276264,3953007
Coccyzus_americanus,276441,3951318
Coccyzus_americanus,276485,3952944
Coccyzus_americanus,276609,3954718
Coccyzus_americanus,276723,3951423
Coccyzus_americanus,277595,3953075
Coccyzus_americanus,278586,3927051
Coccyzus_americanus,278883,3953697
Coccyzus_americanus,279806,3950509
Coccyzus_americanus,279906,3938252
Coccyzus_americanus,283169,3939755
Coccyzus_americanus,283748,3939677
Coccyzus_americanus,283974,3943933
Coccyzus_americanus,284087,3939411
Coccyzus_americanus,284132,3939607
Coccyzus_americanus,284588,3933235
Coccyzus_americanus,285069,3956124
Coccyzus_americanus,285476,3958580
Coccyzus_americanus,286518,3958721
Coccyzus_americanus,287630,3936518
Coccyzus_americanus,288372,3954488
Coccyzus_americanus,288919,3936559
Coccyzus_americanus,289773,3936765
Coccyzus_americanus,290944,3958580
Coccyzus_americanus,290990,3944416
Coccyzus_americanus,291277,3936602
Coccyzus_americanus,291425,3936493
Coccyzus_americanus,291427,3959899
Coccyzus_americanus,293033,3958925
Coccyzus_americanus,297583,3959535
Coccyzus_americanus,297918,3959544
Coccyzus_americanus,298482,3958019
Coccyzus_americanus,299108,3952067
Coccyzus_americanus,302264,3957434
Coccyzus_americanus,304352,3939298
Coccyzus_americanus,304617,3936750
Coccyzus_americanus,304674,3939289
Coccyzus_americanus,304890,3939638
Coccyzus_americanus,306099,3959858
Coccyzus_americanus,306622,3959968
Coccyzus_americanus,306965,3960028
Coccyzus_americanus,306999,3959804
Coccyzus_americanus,307139,3960242
Coccyzus_americanus,307528,3960404
Coccyzus_americanus,307916,3960460
Coccyzus_americanus,308485,3956139
Coccyzus_americanus,309609,3952798
Coccyzus_americanus,311333,3942114
Coccyzus_americanus,314022,3944739
