Species,x,y
Cornus_florida,227470,3939805
Cornus_florida,228105,3938898
Cornus_florida,228321,3942087
Cornus_florida,228435,3938958
Cornus_florida,228466,3935268
Cornus_florida,228487,3934437
Cornus_florida,228535,3938968
Cornus_florida,228635,3938622
Cornus_florida,228789,3936538
Cornus_florida,228808,3936590
Cornus_florida,228826,3938688
Cornus_florida,228830,3936122
Cornus_florida,228835,3938698
Cornus_florida,228901,3936932
Cornus_florida,228968,3936040
Cornus_florida,229056,3938781
Cornus_florida,229125,3938550
Cornus_florida,229330,3938567
Cornus_florida,229565,3934879
Cornus_florida,229590,3934888
Cornus_florida,229590,3936346
Cornus_florida,229695,3934995
Cornus_florida,229729,3934900
Cornus_florida,229757,3934914
Cornus_florida,229767,3934915
Cornus_florida,229775,3934909
Cornus_florida,229791,3934875
Cornus_florida,229815,3934823
Cornus_florida,229894,3935280
Cornus_florida,229904,3934713
Cornus_florida,229953,3933612
Cornus_florida,229970,3935103
Cornus_florida,229996,3935055
Cornus_florida,230057,3935093
Cornus_florida,230062,3934530
Cornus_florida,230078,3934268
Cornus_florida,230109,3934296
Cornus_florida,230112,3935079
Cornus_florida,230137,3934161
Cornus_florida,230187,3935071
Cornus_florida,230199,3934736
Cornus_florida,230278,3935057
Cornus_florida,230307,3939034
Cornus_florida,230313,3933778
Cornus_florida,230362,3939051
Cornus_florida,230366,3939180
Cornus_florida,230401,3933756
Cornus_florida,230429,3938791
Cornus_florida,230455,3937767
Cornus_florida,230506,3937866
Cornus_florida,230525,3938746
Cornus_florida,230588,3938934
Cornus_florida,230703,3939382
Cornus_florida,230717,3933727
Cornus_florida,230786,3933956
Cornus_florida,230795,3933951
Cornus_florida,230832,3934630
Cornus_florida,230851,3935195
Cornus_florida,230876,3939208
Cornus_florida,230968,3934696
Cornus_florida,232621,3933175
Cornus_florida,232755,3933168
Cornus_florida,232997,3933536
Cornus_florida,233415,3936238
Cornus_florida,233525,3947183
Cornus_florida,233653,3936187
Cornus_florida,233690,3946769
Cornus_florida,234049,3940888
Cornus_florida,234325,3939788
Cornus_florida,234335,3944268
Cornus_florida,234365,3944158
Cornus_florida,234435,3941178
Cornus_florida,234615,3940364
Cornus_florida,234627,3939512
Cornus_florida,234667,3944076
Cornus_florida,234735,3941258
Cornus_florida,234875,3945468
Cornus_florida,234885,3939772
Cornus_florida,235032,3940477
Cornus_florida,235041,3944298
Cornus_florida,235057,3941843
Cornus_florida,235122,3941046
Cornus_florida,235150,3943700
Cornus_florida,235181,3935999
Cornus_florida,235187,3944036
Cornus_florida,235187,3944037
Cornus_florida,235280,3944031
Cornus_florida,235315,3945788
Cornus_florida,235323,3941089
Cornus_florida,235329,3939887
Cornus_florida,235333,3944042
Cornus_florida,235333,3944043
Cornus_florida,235335,3943168
Cornus_florida,235336,3943300
Cornus_florida,235348,3943903
Cornus_florida,235348,3943904
Cornus_florida,235372,3942326
Cornus_florida,235381,3947774
Cornus_florida,235425,3938349
Cornus_florida,235444,3942480
Cornus_florida,235446,3943966
Cornus_florida,235471,3943140
Cornus_florida,235528,3943176
Cornus_florida,235561,3942616
Cornus_florida,235632,3947354
Cornus_florida,235661,3947788
Cornus_florida,235665,3938428
Cornus_florida,235690,3942734
Cornus_florida,235700,3943230
Cornus_florida,235713,3939857
Cornus_florida,235927,3942957
Cornus_florida,235944,3935957
Cornus_florida,235956,3938293
Cornus_florida,236011,3946429
Cornus_florida,236147,3942606
Cornus_florida,236171,3948071
Cornus_florida,236526,3946955
Cornus_florida,236838,3937767
Cornus_florida,236849,3947383
Cornus_florida,236898,3942881
Cornus_florida,236951,3945042
Cornus_florida,236968,3942820
Cornus_florida,237015,3936434
Cornus_florida,237087,3936426
Cornus_florida,237087,3943897
Cornus_florida,237092,3937750
Cornus_florida,237117,3937687
Cornus_florida,237208,3936405
Cornus_florida,237271,3944800
Cornus_florida,237281,3937532
Cornus_florida,237281,3947556
Cornus_florida,237382,3942497
Cornus_florida,237450,3947605
Cornus_florida,237452,3937481
Cornus_florida,237463,3937106
Cornus_florida,237565,3942369
Cornus_florida,237693,3937159
Cornus_florida,237764,3936770
Cornus_florida,237780,3942262
Cornus_florida,237817,3942089
Cornus_florida,237818,3942138
Cornus_florida,237848,3948137
Cornus_florida,237984,3946989
Cornus_florida,238083,3942153
Cornus_florida,238141,3941945
Cornus_florida,238191,3946924
Cornus_florida,238273,3941879
Cornus_florida,238344,3946373
Cornus_florida,238345,3928418
Cornus_florida,238368,3946579
Cornus_florida,238422,3945701
Cornus_florida,238426,3945758
Cornus_florida,238468,3948924
Cornus_florida,238487,3941734
Cornus_florida,238510,3945714
Cornus_florida,238568,3946442
Cornus_florida,238584,3945936
Cornus_florida,238609,3945910
Cornus_florida,238695,3949328
Cornus_florida,238725,3949298
Cornus_florida,238760,3946346
Cornus_florida,238797,3928641
Cornus_florida,238846,3941819
Cornus_florida,238857,3931254
Cornus_florida,238863,3939031
Cornus_florida,238894,3946211
Cornus_florida,239061,3941998
Cornus_florida,239063,3931306
Cornus_florida,239080,3946438
Cornus_florida,239118,3946109
Cornus_florida,239153,3946373
Cornus_florida,239173,3946086
Cornus_florida,239186,3930977
Cornus_florida,239209,3932760
Cornus_florida,239210,3928910
Cornus_florida,239260,3932407
Cornus_florida,239314,3950720
Cornus_florida,239325,3950068
Cornus_florida,239516,3930875
Cornus_florida,239530,3929175
Cornus_florida,239545,3931692
Cornus_florida,239596,3930786
Cornus_florida,239599,3937842
Cornus_florida,239670,3929604
Cornus_florida,239723,3929913
Cornus_florida,239727,3930645
Cornus_florida,239771,3946232
Cornus_florida,239778,3937931
Cornus_florida,239778,3946250
Cornus_florida,239793,3930728
Cornus_florida,239817,3938810
Cornus_florida,239817,3938811
Cornus_florida,239895,3930774
Cornus_florida,239920,3941730
Cornus_florida,240008,3946141
Cornus_florida,240019,3929105
Cornus_florida,240096,3945906
Cornus_florida,240123,3930610
Cornus_florida,240150,3941823
Cornus_florida,240184,3938271
Cornus_florida,240190,3941880
Cornus_florida,240190,3941881
Cornus_florida,240302,3941820
Cornus_florida,240343,3929007
Cornus_florida,240372,3929025
Cornus_florida,240423,3930295
Cornus_florida,240508,3943448
Cornus_florida,240525,3929024
Cornus_florida,240549,3948132
Cornus_florida,240588,3941799
Cornus_florida,240612,3945879
Cornus_florida,240616,3938503
Cornus_florida,240651,3938535
Cornus_florida,240709,3930172
Cornus_florida,240791,3941644
Cornus_florida,240827,3942134
Cornus_florida,240827,3942135
Cornus_florida,240916,3938118
Cornus_florida,240972,3938664
Cornus_florida,240990,3945596
Cornus_florida,241029,3938350
Cornus_florida,241035,3945554
Cornus_florida,241036,3948718
Cornus_florida,241065,3938678
Cornus_florida,241159,3938692
Cornus_florida,241166,3930389
Cornus_florida,241167,3941674
Cornus_florida,241168,3941674
Cornus_florida,241219,3941535
Cornus_florida,241220,3941536
Cornus_florida,241222,3945413
Cornus_florida,241224,3944488
Cornus_florida,241259,3938722
Cornus_florida,241294,3941596
Cornus_florida,241294,3941597
Cornus_florida,241298,3942911
Cornus_florida,241341,3934010
Cornus_florida,241354,3945073
Cornus_florida,241354,3945074
Cornus_florida,241356,3941674
Cornus_florida,241357,3944761
Cornus_florida,241377,3938759
Cornus_florida,241379,3945181
Cornus_florida,241381,3944980
Cornus_florida,241402,3942061
Cornus_florida,241403,3942062
Cornus_florida,241450,3949296
Cornus_florida,241496,3930462
Cornus_florida,241535,3942550
Cornus_florida,241566,3944885
Cornus_florida,241623,3933424
Cornus_florida,241628,3933632
Cornus_florida,241665,3942702
Cornus_florida,241680,3930477
Cornus_florida,241758,3945171
Cornus_florida,241758,3945172
Cornus_florida,241795,3942201
Cornus_florida,241822,3945063
Cornus_florida,241822,3945091
Cornus_florida,241823,3945064
Cornus_florida,241863,3930515
Cornus_florida,241902,3940185
Cornus_florida,241952,3939665
Cornus_florida,241952,3939948
Cornus_florida,241959,3945163
Cornus_florida,242026,3944066
Cornus_florida,242052,3930611
Cornus_florida,242058,3939156
Cornus_florida,242071,3930329
Cornus_florida,242086,3942798
Cornus_florida,242099,3943470
Cornus_florida,242116,3934588
Cornus_florida,242130,3940599
Cornus_florida,242136,3936328
Cornus_florida,242198,3942578
Cornus_florida,242216,3950188
Cornus_florida,242224,3944586
Cornus_florida,242282,3943036
Cornus_florida,242316,3938658
Cornus_florida,242376,3938781
Cornus_florida,242393,3930500
Cornus_florida,242428,3938772
Cornus_florida,242516,3938808
Cornus_florida,242622,3930514
Cornus_florida,242671,3938160
Cornus_florida,242672,3938161
Cornus_florida,242678,3942064
Cornus_florida,242682,3936351
Cornus_florida,242696,3937908
Cornus_florida,242697,3937905
Cornus_florida,242716,3941992
Cornus_florida,242802,3942181
Cornus_florida,242804,3939405
Cornus_florida,242814,3930670
Cornus_florida,242852,3941192
Cornus_florida,242856,3937445
Cornus_florida,242856,3937446
Cornus_florida,242896,3941480
Cornus_florida,242904,3937059
Cornus_florida,242972,3940736
Cornus_florida,242980,3937527
Cornus_florida,242981,3937528
Cornus_florida,243027,3936731
