Species,x,y
Costaconvexa_centrostrigaria,242517,3942637
Costaconvexa_centrostrigaria,242847,3941517
Costaconvexa_centrostrigaria,248438,3943416
Costaconvexa_centrostrigaria,248710,3943571
Costaconvexa_centrostrigaria,253047,3928775
Costaconvexa_centrostrigaria,256521,3947351
Costaconvexa_centrostrigaria,263275,3925149
Costaconvexa_centrostrigaria,266239,3947971
Costaconvexa_centrostrigaria,267754,3927974
Costaconvexa_centrostrigaria,268504,3926530
Costaconvexa_centrostrigaria,270422,3952199
Costaconvexa_centrostrigaria,278245,3942907
Costaconvexa_centrostrigaria,280351,3943512
Costaconvexa_centrostrigaria,282639,3940680
Costaconvexa_centrostrigaria,285906,3940823
Costaconvexa_centrostrigaria,290364,3937609
Costaconvexa_centrostrigaria,291133,3931709
Costaconvexa_centrostrigaria,291266,3932698
Costaconvexa_centrostrigaria,291499,3931811
Costaconvexa_centrostrigaria,291781,3932248
Costaconvexa_centrostrigaria,291888,3932912
Costaconvexa_centrostrigaria,298425,3965061
Costaconvexa_centrostrigaria,299437,3965815
Costaconvexa_centrostrigaria,299884,3961587
Costaconvexa_centrostrigaria,300709,3958391
Costaconvexa_centrostrigaria,311199,3945024
Costaconvexa_centrostrigaria,311516,3938580
Costaconvexa_centrostrigaria,312007,3939804
Costaconvexa_centrostrigaria,312180,3940009
Costaconvexa_centrostrigaria,312279,3939198
