Species,x,y
Diadophis_punctatus,234053,3944621
Diadophis_punctatus,234054,3944435
Diadophis_punctatus,234054,3944737
Diadophis_punctatus,234080,3944586
Diadophis_punctatus,234172,3944827
Diadophis_punctatus,234506,3943953
Diadophis_punctatus,234507,3943949
Diadophis_punctatus,234513,3943974
Diadophis_punctatus,234520,3943959
Diadophis_punctatus,237206,3936401
Diadophis_punctatus,237308,3936415
Diadophis_punctatus,237308,3936416
Diadophis_punctatus,239169,3928842
Diadophis_punctatus,239214,3928868
Diadophis_punctatus,240996,3955085
Diadophis_punctatus,241916,3942185
Diadophis_punctatus,241921,3942420
Diadophis_punctatus,242158,3943068
Diadophis_punctatus,243523,3944479
Diadophis_punctatus,243523,3944480
Diadophis_punctatus,245130,3945901
Diadophis_punctatus,245690,3944466
Diadophis_punctatus,245730,3944146
Diadophis_punctatus,245754,3944139
Diadophis_punctatus,245756,3944226
Diadophis_punctatus,245774,3944142
Diadophis_punctatus,246037,3944303
Diadophis_punctatus,247096,3942476
Diadophis_punctatus,247324,3942476
Diadophis_punctatus,247354,3942420
Diadophis_punctatus,247355,3942471
Diadophis_punctatus,247487,3942369
Diadophis_punctatus,247505,3930915
Diadophis_punctatus,249617,3946238
Diadophis_punctatus,251386,3944137
Diadophis_punctatus,251400,3944315
Diadophis_punctatus,251461,3944266
Diadophis_punctatus,251466,3944261
Diadophis_punctatus,251478,3944243
Diadophis_punctatus,251480,3944248
Diadophis_punctatus,251498,3944266
Diadophis_punctatus,251626,3947563
Diadophis_punctatus,252570,3947033
Diadophis_punctatus,252580,3946852
Diadophis_punctatus,252593,3947056
Diadophis_punctatus,252631,3947205
Diadophis_punctatus,252635,3947163
Diadophis_punctatus,252637,3947069
Diadophis_punctatus,252645,3947164
Diadophis_punctatus,252656,3945650
Diadophis_punctatus,252700,3947247
Diadophis_punctatus,252712,3947564
Diadophis_punctatus,252917,3947788
Diadophis_punctatus,256382,3947545
Diadophis_punctatus,256441,3947550
Diadophis_punctatus,256487,3947503
Diadophis_punctatus,256533,3947440
Diadophis_punctatus,256574,3947332
Diadophis_punctatus,257013,3945812
Diadophis_punctatus,259764,3947867
Diadophis_punctatus,260914,3951889
Diadophis_punctatus,260927,3951906
Diadophis_punctatus,261077,3951935
Diadophis_punctatus,261983,3953396
Diadophis_punctatus,262022,3953169
Diadophis_punctatus,262024,3953170
Diadophis_punctatus,262409,3950408
Diadophis_punctatus,262575,3949676
Diadophis_punctatus,266053,3947446
Diadophis_punctatus,266099,3947734
Diadophis_punctatus,266175,3947856
Diadophis_punctatus,266192,3948557
Diadophis_punctatus,273634,3952279
Diadophis_punctatus,273636,3952053
Diadophis_punctatus,273695,3952015
Diadophis_punctatus,274043,3937957
Diadophis_punctatus,275002,3951115
Diadophis_punctatus,275591,3938603
Diadophis_punctatus,277793,3928749
Diadophis_punctatus,280012,3929379
Diadophis_punctatus,280779,3943819
Diadophis_punctatus,283103,3951676
Diadophis_punctatus,284361,3953041
Diadophis_punctatus,285151,3953968
Diadophis_punctatus,286691,3953635
Diadophis_punctatus,287627,3953940
Diadophis_punctatus,309012,3958140
Diadophis_punctatus,312129,3940362
Diadophis_punctatus,312182,3940000
Diadophis_punctatus,312208,3941492
Diadophis_punctatus,312469,3939856
Diadophis_punctatus,312502,3939245
Diadophis_punctatus,313081,3940057
Diadophis_punctatus,313186,3940115
Diadophis_punctatus,313448,3940098
Diadophis_punctatus,313581,3939953
